,zone1_generic_heat_thermal_power,zone2_generic_heat_thermal_power,zone3_generic_heat_thermal_power,zone4_generic_heat_thermal_power,zone1_generic_cool_thermal_power,zone2_generic_cool_thermal_power,zone3_generic_cool_thermal_power,zone4_generic_cool_thermal_power,zone1_ahu_heat_air_flow,zone2_ahu_heat_air_flow,zone3_ahu_heat_air_flow,zone4_ahu_heat_air_flow,zone1_ahu_cool_air_flow,zone2_ahu_cool_air_flow,zone3_ahu_cool_air_flow,zone4_ahu_cool_air_flow,zone1_tu_heat_air_flow,zone2_tu_heat_air_flow,zone3_tu_heat_air_flow,zone4_tu_heat_air_flow,zone1_tu_cool_air_flow,zone2_tu_cool_air_flow,zone3_tu_cool_air_flow,zone4_tu_cool_air_flow
zone1_temperature,0.0002500597927453434,1.5002560470662883e-06,3.566186957475314e-05,2.0602381211589663e-07,-0.0002500597927453434,-1.5002560470662883e-06,-3.566186957475314e-05,-2.0602381211589663e-07,1.5141433025471474,0.009084237896992258,0.21593707800882714,0.0012474999353382686,-1.5141433025471474,-0.009084237896992258,-0.21593707800882714,-0.0012474999353382686,1.5141433025471474,0.009084237896992258,0.21593707800882714,0.0012474999353382686,-1.5141433025471474,-0.009084237896992258,-0.21593707800882714,-0.0012474999353382686
zone2_temperature,1.5002560470662507e-06,0.0002788087847527211,2.0346343513719603e-07,4.018441004298266e-05,-1.5002560470662507e-06,-0.0002788087847527211,-2.0346343513719603e-07,-4.018441004298266e-05,0.00908423789699203,1.68822204277582,0.001231996532685114,0.2433216258615154,-0.00908423789699203,-1.68822204277582,-0.001231996532685114,-0.2433216258615154,0.00908423789699203,1.68822204277582,0.001231996532685114,0.2433216258615154,-0.00908423789699203,-1.68822204277582,-0.001231996532685114,-0.2433216258615154
zone3_temperature,3.566186957475832e-05,2.0346343513766656e-07,0.0009416638544092631,2.6942856093482436e-08,-3.566186957475832e-05,-2.0346343513766656e-07,-0.0009416638544092631,-2.6942856093482436e-08,0.21593707800885847,0.0012319965326879631,5.70189234642989,0.00016314236150304784,-0.21593707800885847,-0.0012319965326879631,-5.70189234642989,-0.00016314236150304784,0.21593707800885847,0.0012319965326879631,5.70189234642989,0.00016314236150304784,-0.21593707800885847,-0.0012319965326879631,-5.70189234642989,-0.00016314236150304784
zone4_temperature,2.0602381211579102e-07,4.018441004298414e-05,2.6942856093215856e-08,0.0006896243410890277,-2.0602381211579102e-07,-4.018441004298414e-05,-2.6942856093215856e-08,-0.0006896243410890277,0.001247499935337629,0.24332162586152434,0.00016314236150143368,4.175761588336699,-0.001247499935337629,-0.24332162586152434,-0.00016314236150143368,-4.175761588336699,0.001247499935337629,0.24332162586152434,0.00016314236150143368,4.175761588336699,-0.001247499935337629,-0.24332162586152434,-0.00016314236150143368,-4.175761588336699
surface_adiabatic_1_temperature,3.580291748221887e-06,1.610502966252716e-08,4.3449855937166937e-07,1.8669174483970497e-09,-3.580291748221887e-06,-1.610502966252716e-08,-4.3449855937166937e-07,-1.8669174483970497e-09,0.02167911407195205,9.751796773530976e-05,0.0026309430893153795,1.1304418514725187e-05,-0.02167911407195205,-9.751796773530976e-05,-0.0026309430893153795,-1.1304418514725187e-05,0.02167911407195205,9.751796773530976e-05,0.0026309430893153795,1.1304418514725187e-05,-0.02167911407195205,-9.751796773530976e-05,-0.0026309430893153795,-1.1304418514725187e-05
surface_adiabatic_2_temperature,1.7970722361408188e-06,8.078085473010503e-09,2.1799210251615325e-07,9.36073422276488e-10,-1.7970722361408188e-06,-8.078085473010503e-09,-2.1799210251615325e-07,-9.36073422276488e-10,0.010881497023862175,4.891381729976272e-05,0.0013199694297481226,5.66804158106192e-06,-0.010881497023862175,-4.891381729976272e-05,-0.0013199694297481226,-5.66804158106192e-06,0.010881497023862175,4.891381729976272e-05,0.0013199694297481226,5.66804158106192e-06,-0.010881497023862175,-4.891381729976272e-05,-0.0013199694297481226,-5.66804158106192e-06
surface_adiabatic_3_temperature,1.6451392036608214e-06,7.394691582572146e-09,1.9955441443535334e-07,8.568558502233662e-10,-1.6451392036608214e-06,-7.394691582572146e-09,-1.9955441443535334e-07,-8.568558502233662e-10,0.00996152352056673,4.477578186892217e-05,0.0012083269237078691,5.18836928008376e-06,-0.00996152352056673,-4.477578186892217e-05,-0.0012083269237078691,-5.18836928008376e-06,0.00996152352056673,4.477578186892217e-05,0.0012083269237078691,5.18836928008376e-06,-0.00996152352056673,-4.477578186892217e-05,-0.0012083269237078691,-5.18836928008376e-06
surface_adiabatic_4_temperature,1.645139203656363e-06,7.394691582267643e-09,1.9955441443589743e-07,8.568558503336033e-10,-1.645139203656363e-06,-7.394691582267643e-09,-1.9955441443589743e-07,-8.568558503336033e-10,0.009961523520539734,4.4775781867078355e-05,0.0012083269237111636,5.1883692807512595e-06,-0.009961523520539734,-4.4775781867078355e-05,-0.0012083269237111636,-5.1883692807512595e-06,0.009961523520539734,4.4775781867078355e-05,0.0012083269237111636,5.1883692807512595e-06,-0.009961523520539734,-4.4775781867078355e-05,-0.0012083269237111636,-5.1883692807512595e-06
surface_adiabatic_5_temperature,3.50437899115957e-06,1.5763090306060522e-08,4.252777685121038e-07,1.8272502451956175e-09,-3.50437899115957e-06,-1.5763090306060522e-08,-4.252777685121038e-07,-1.8272502451956175e-09,0.02121945283884509,9.544748218948471e-05,0.002575110048061853,1.1064228640940114e-05,-0.02121945283884509,-9.544748218948471e-05,-0.002575110048061853,-1.1064228640940114e-05,0.02121945283884509,9.544748218948471e-05,0.002575110048061853,1.1064228640940114e-05,-0.02121945283884509,-9.544748218948471e-05,-0.002575110048061853,-1.1064228640940114e-05
surface_adiabatic_6_temperature,3.504378991158766e-06,1.5763090306049686e-08,4.25277768511617e-07,1.8272502451084533e-09,-3.504378991158766e-06,-1.5763090306049686e-08,-4.25277768511617e-07,-1.8272502451084533e-09,0.021219452838840223,9.544748218941909e-05,0.002575110048058905,1.1064228640412323e-05,-0.021219452838840223,-9.544748218941909e-05,-0.002575110048058905,-1.1064228640412323e-05,0.021219452838840223,9.544748218941909e-05,0.002575110048058905,1.1064228640412323e-05,-0.021219452838840223,-9.544748218941909e-05,-0.002575110048058905,-1.1064228640412323e-05
