,ambient_air_temperature,sky_temperature,irradiation_horizontal,irradiation_east,irradiation_south,irradiation_west,irradiation_north,storage_ambient_air_temperature,internal_gain_default_occupancy,internal_gain_default_appliances,constant
zone1_temperature,0.033363635878393874,0.0008691068593120949,0.0,4.3625171976629335e-06,1.551095875429024e-05,2.654780966645542e-05,2.7241771540248062e-06,0.0,0.0,2.452670370235052,0.0
zone2_temperature,0.04472898273194257,0.0017738291878551802,0.0,2.2603874618177402e-05,1.8841398839284344e-05,3.80470510649763e-06,1.2354786848553152e-05,0.0,0.0,2.653201090476403,0.0
zone3_temperature,0.05360890665479104,0.003548760742829591,0.0,6.209619912878272e-07,3.229149875942845e-05,1.0884582320486737e-05,3.878341434937693e-07,0.0,0.0,2.3965704133068213,0.0
zone4_temperature,0.0541353099428729,0.0035465017828696464,0.0,8.578996502561383e-06,3.387838755431566e-05,5.475860852265912e-07,1.7826729523625166e-06,0.0,0.0,2.46903033388158,0.0
surface_adiabatic_1_temperature,0.0004725906318741594,1.2105866085826168e-05,0.0,6.19574887317552e-08,2.172758287483215e-07,4.4109489875475055e-06,3.872506849080822e-08,0.0,0.0,0.03489857838553163,0.0
surface_adiabatic_2_temperature,0.00023720341104991954,6.075943316966142e-06,0.0,3.1098138398589316e-08,1.0905399048203083e-07,2.2156243946000117e-06,1.943719473283971e-08,0.0,0.0,0.017516536216115326,0.0
surface_adiabatic_3_temperature,0.00021714862711756736,5.56222234317362e-06,0.0,2.8468917550522432e-08,9.983371637477953e-08,2.028430723006674e-06,1.77938619451979e-08,0.0,0.0,0.01603558418598123,0.0
surface_adiabatic_4_temperature,0.0002171486271170008,5.562222343161456e-06,0.0,2.8468917550427375e-08,9.983371637451794e-08,2.0284307230062694e-06,1.779386194514026e-08,0.0,0.0,0.01603558418593792,0.0
surface_adiabatic_5_temperature,0.00046256980131723335,1.1849151882840544e-05,0.0,6.064376806784806e-08,2.1266858468816306e-07,4.317558362133353e-06,3.790396134679427e-08,0.0,0.0,0.03415860323655301,0.0
surface_adiabatic_6_temperature,0.00046256980131710015,1.1849151882835982e-05,0.0,6.064376806783311e-08,2.12668584688106e-07,4.317558362133324e-06,3.7903961346785086e-08,0.0,0.0,0.034158603236543995,0.0
surface_adiabatic_7_temperature,0.0006232878069412071,2.4523464772594433e-05,0.0,5.268793296741848e-06,7.17017683448787e-07,9.703122074285745e-07,3.2769331029443633e-06,0.0,0.0,0.0370852909764344,0.0
surface_adiabatic_8_temperature,0.0002863811608741011,1.1267529105591198e-05,0.0,2.422970772156142e-06,3.296409311355435e-07,4.4622133927412503e-07,1.506980239824071e-06,0.0,0.0,0.01703965431301568,0.0
surface_adiabatic_9_temperature,0.0002863811608738377,1.1267529105582306e-05,0.0,2.4229707721558958e-06,3.296409311354248e-07,4.462213392740768e-07,1.5069802398239258e-06,0.0,0.0,0.01703965431299918,0.0
surface_adiabatic_10_temperature,0.0006100706936483732,2.400341360477621e-05,0.0,5.157244145555876e-06,7.018292236487592e-07,9.497692350284798e-07,3.2075558205720728e-06,0.0,0.0,0.03629889058077372,0.0
surface_adiabatic_11_temperature,0.0006100706936482352,2.4003413604770666e-05,0.0,5.1572441455559466e-06,7.018292236487132e-07,9.497692350284893e-07,3.207555820572124e-06,0.0,0.0,0.036298890580765505,0.0
surface_adiabatic_12_temperature,0.0008420545783201219,5.644757931486757e-05,0.0,7.509675066934598e-09,1.6736900537416752e-05,3.986236585360083e-06,4.6944414737665755e-09,0.0,0.0,0.03717219199314929,0.0
surface_adiabatic_13_temperature,0.0003870203243382913,2.594495630672126e-05,0.0,3.4489616429686622e-09,7.697093561158982e-06,1.8331964795944745e-06,2.156015476979353e-09,0.0,0.0,0.017084292185224833,0.0
surface_adiabatic_14_temperature,0.0008242086984548619,5.52513417670081e-05,0.0,7.350303269190389e-09,1.6382574261624364e-05,3.901844459101602e-06,4.594815418373311e-09,0.0,0.0,0.03638434362599956,0.0
surface_adiabatic_15_temperature,0.0008242086984548139,5.525134176700482e-05,0.0,7.35030326918721e-09,1.638257426162454e-05,3.901844459101645e-06,4.594815418371515e-09,0.0,0.0,0.036384343625997524,0.0
surface_adiabatic_16_temperature,0.0008401986049949093,5.568277195268432e-05,0.0,2.9543884159193256e-06,1.7131238485203075e-05,6.012925468839929e-09,1.9730295930213568e-08,0.0,0.0,0.03802213310543945,0.0
