,zone1_temperature,zone2_temperature,zone3_temperature,zone4_temperature,surface_adiabatic_1_temperature,surface_adiabatic_2_temperature,surface_adiabatic_3_temperature,surface_adiabatic_4_temperature,surface_adiabatic_5_temperature,surface_adiabatic_6_temperature,surface_adiabatic_7_temperature,surface_adiabatic_8_temperature,surface_adiabatic_9_temperature,surface_adiabatic_10_temperature,surface_adiabatic_11_temperature,surface_adiabatic_12_temperature,surface_adiabatic_13_temperature,surface_adiabatic_14_temperature,surface_adiabatic_15_temperature,surface_adiabatic_16_temperature,surface_adiabatic_17_temperature,surface_adiabatic_18_temperature,surface_adiabatic_19_temperature,surface_exterior_1_temperature,surface_exterior_2_temperature,surface_exterior_3_temperature,surface_exterior_4_temperature,surface_exterior_5_temperature,surface_exterior_6_temperature,surface_exterior_7_temperature,surface_exterior_8_temperature,surface_exterior_9_temperature,surface_interior_1_temperature,surface_interior_2_temperature,surface_interior_3_temperature
2017-01-02 00:00:00,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
2017-01-02 00:30:00,26.5587262612,26.5847619949,26.4888041801,26.5061270362,26.0079556488,26.0039931612,26.0036555561,26.0036555561,26.0077869611,26.0077869611,26.0081791564,26.0037581002,26.0037581002,26.0080057165,26.0080057165,26.0075523932,26.0034710342,26.0073923205,26.0073923205,26.007773336,26.0035725293,26.0076085764,26.0076085764,25.9847461913,25.9848463356,25.9848463356,25.9848463356,25.9848463356,25.9845654857,25.9845654857,25.9846645116,25.9846645116,26.0080674026,26.007754021,26.0079762462
2017-01-02 01:00:00,26.6086696162,26.6505490071,26.5528983997,26.572100188,26.0188236766,26.0094891422,26.0086900758,26.0086900758,26.0184279519,26.0184279519,26.0197346337,26.0091097062,26.0091097062,26.0193196815,26.0193196815,26.0174231925,26.0080450604,26.0170570369,26.0170570369,26.0179753484,26.0082998775,26.0175975775,26.0175975775,25.9798214164,25.9802297761,25.9802297761,25.9802297761,25.9802297761,25.9791934326,25.9791934326,25.9794410303,25.9794410303,26.0192791551,26.0181234346,26.018854991
2017-01-02 01:30:00,26.6112084992,26.6539065736,26.5541514826,26.5737588542,26.029739374,26.0150593347,26.0137964901,26.0137964901,26.0291197428,26.0291197428,26.0314183606,26.014573517,26.014573517,26.0307635914,26.0307635914,26.0273089608,26.0126713763,26.0267401656,26.0267401656,26.0282104824,26.0130893965,26.0276228865,26.0276228865,25.9750942208,25.9758472548,25.9758472548,25.9758472548,25.9758472548,25.9740038271,25.9740038271,25.9744082925,25.9744082925,26.0305788673,26.0285241674,26.0298144215
2017-01-02 02:00:00,26.6380023846,26.682604512,26.5786814195,26.5992904759,26.0408456831,26.0207748783,26.019039916,26.019039916,26.0400021583,26.0400021583,26.0433026031,26.0201823819,26.0201823819,26.0424081077,26.0424081077,26.0373964018,26.0174351388,26.0366243629,26.0366243629,26.0386553471,26.0180216495,26.0378572812,26.0378572812,25.9702594013,25.9713619173,25.9713619173,25.9713619173,25.9713619173,25.9687110983,25.9687110983,25.9692762054,25.9692762054,26.0420741431,26.0391210425,26.0409789751
2017-01-02 02:30:00,26.6474070198,26.6929969381,26.5868832568,26.6079985054,26.0519937867,26.0265616802,26.0243526099,26.0243526099,26.0509295515,26.0509295515,26.0552410632,26.0258697506,26.0258697506,26.0541100496,26.0541100496,26.0474969669,26.0222503657,26.0465250979,26.0465250979,26.0491191475,26.0230096527,26.0481140337,26.0481140337,25.965619918,25.9670778459,25.9670778459,25.9670778459,25.9670778459,25.963600383,25.963600383,25.9643289015,25.9643289015,26.0536174249,26.0497453768,26.0521801053
2017-01-02 03:00:00,26.6584850911,26.7054848802,26.5978592807,26.6194889016,26.063133378,26.0323940845,26.0297110918,26.0297110918,26.0618526137,26.0618526137,26.0671801334,26.0316106411,26.0316106411,26.0658168761,26.0658168761,26.0576060891,26.027114542,26.0564378311,26.0564378311,26.0595938391,26.0280493009,26.0583851999,26.0583851999,25.9615160678,25.9633338564,25.9633338564,25.9633338564,25.9633338564,25.9590324773,25.9590324773,25.9599256178,25.9599256178,26.0651567557,26.0603697336,26.0633869863
2017-01-02 03:30:00,26.6777525298,26.7264778549,26.615889993,26.6383024179,26.0743883854,26.0383338033,26.0351718557,26.0351718557,26.0728925707,26.0728925707,26.079248233,26.0374636243,26.0374636243,26.0776542073,26.0776542073,26.0678400002,26.0320807574,26.0664762696,26.0664762696,26.0701995784,26.0331954843,26.0687883268,26.0687883268,25.9576280587,25.959812168,25.959812168,25.959812168,25.959812168,25.9546841577,25.9546841577,25.955744888,25.955744888,26.0768183092,26.0711141928,26.0747239057
2017-01-02 04:00:00,26.6709359327,26.7187317085,26.6069211008,26.6293897795,26.0854201236,26.0442109779,26.0405794515,26.0405794515,26.083717897,26.083717897,26.0910793624,26.0432607436,26.0432607436,26.0892637834,26.0892637834,26.0777979386,26.0369650539,26.0762481324,26.0762481324,26.0805289639,26.0382612141,26.0789246349,26.0789246349,25.9532524098,25.9557970591,25.9557970591,25.9557970591,25.9557970591,25.949824126,25.949824126,25.9510524387,25.9510524387,26.088249743,26.0816090311,26.0858041631
2017-01-02 04:30:00,26.6801463069,26.7287032702,26.6152941287,26.6382152634,26.0963505143,26.050085113,26.0459882576,26.0459882576,26.094447756,26.094447756,26.1027968368,26.0490568922,26.0490568922,26.1007661189,26.1007661189,26.0876770255,26.0418562305,26.08594618,26.08594618,26.0907777122,26.0433346179,26.0889855069,26.0889855069,25.948999282,25.9518992988,25.9518992988,25.9518992988,25.9518992988,25.9450962376,25.9450962376,25.9464914915,25.9464914915,26.0995736756,26.0920137699,26.0967872745
