internal_gain_type,time,internal_gain_occupancy,internal_gain_appliances
internal_gain_default,2016-10-01T00:00:00,10.0,0.24403
internal_gain_default,2016-10-01T00:10:00,10.0,0.24403
internal_gain_default,2016-10-01T00:20:00,10.0,0.24816
internal_gain_default,2016-10-01T00:30:00,10.0,0.24384
internal_gain_default,2016-10-01T00:40:00,10.0,0.24268
internal_gain_default,2016-10-01T00:50:00,10.0,0.24638
internal_gain_default,2016-10-01T01:00:00,10.0,0.24149
internal_gain_default,2016-10-01T01:10:00,10.0,0.24753
internal_gain_default,2016-10-01T01:20:00,10.0,0.24835
internal_gain_default,2016-10-01T01:30:00,10.0,0.24841
internal_gain_default,2016-10-01T01:40:00,10.0,0.2473
internal_gain_default,2016-10-01T01:50:00,10.0,0.24643
internal_gain_default,2016-10-01T02:00:00,10.0,0.2459
internal_gain_default,2016-10-01T02:10:00,10.0,0.243
internal_gain_default,2016-10-01T02:20:00,10.0,0.2445
internal_gain_default,2016-10-01T02:30:00,10.0,0.24325
internal_gain_default,2016-10-01T02:40:00,10.0,0.24037
internal_gain_default,2016-10-01T02:50:00,10.0,0.24503
internal_gain_default,2016-10-01T03:00:00,10.0,0.24498
internal_gain_default,2016-10-01T03:10:00,10.0,0.24601
internal_gain_default,2016-10-01T03:20:00,10.0,0.24009
internal_gain_default,2016-10-01T03:30:00,10.0,0.24311
internal_gain_default,2016-10-01T03:40:00,10.0,0.24655
internal_gain_default,2016-10-01T03:50:00,10.0,0.24416
internal_gain_default,2016-10-01T04:00:00,10.0,0.24416
internal_gain_default,2016-10-01T04:10:00,10.0,0.23973
internal_gain_default,2016-10-01T04:20:00,10.0,0.24121
internal_gain_default,2016-10-01T04:30:00,10.0,0.23971
internal_gain_default,2016-10-01T04:40:00,10.0,0.23968
internal_gain_default,2016-10-01T04:50:00,10.0,0.24002
internal_gain_default,2016-10-01T05:00:00,10.0,0.24129
internal_gain_default,2016-10-01T05:10:00,10.0,0.24391
internal_gain_default,2016-10-01T05:20:00,10.0,0.24376
internal_gain_default,2016-10-01T05:30:00,10.0,0.24312
internal_gain_default,2016-10-01T05:40:00,10.0,0.23882
internal_gain_default,2016-10-01T05:50:00,10.0,0.2426
internal_gain_default,2016-10-01T06:00:00,10.0,0.24336
internal_gain_default,2016-10-01T06:10:00,10.0,0.24173
internal_gain_default,2016-10-01T06:20:00,10.0,0.23943
internal_gain_default,2016-10-01T06:30:00,10.0,0.24583
internal_gain_default,2016-10-01T06:40:00,10.0,0.24643
internal_gain_default,2016-10-01T06:50:00,10.0,0.24392
internal_gain_default,2016-10-01T07:00:00,10.0,0.24196
