scenario_name,building_name,parameter_set,linearization_type,demand_controlled_ventilation_type,co2_model_type,humidity_model_type,heating_cooling_session,price_type,time_start,time_end,time_step
scenario_default,create_level_8_4a,parameters_default,linearization_default,,,,,wholesale_market,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
scenario_full,create_level_8_4a,parameters_default,linearization_default,demand_controlled_ventilation_default,co2_model_default,humidity_model_default,cooling,wholesale_market,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
validation_1zone_no_window_no_mass,validation_1zone_no_window_no_mass,parameters_default,linearization_default,,,,,,2017-01-01T00:00:00,2017-02-01T00:00:00,00:30:00
validation_1zone_no_window,validation_1zone_no_window,parameters_default,linearization_default,,,,,,2017-01-01T00:00:00,2017-02-01T00:00:00,00:30:00
paper_pesgm_2020,create_level_8_4a,parameters_default,linearization_default,,,,,,2017-01-02T00:00:00,2017-01-03T00:00:00,00:30:00
wtp_mix_medium_density_1,wtp_mix_medium_density_1,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_2,wtp_mix_medium_density_2,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_3,wtp_mix_medium_density_3,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_4,wtp_mix_medium_density_4,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_5,wtp_mix_medium_density_5,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_6,wtp_mix_medium_density_6,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_7,wtp_mix_medium_density_7,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_8,wtp_mix_medium_density_8,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_9,wtp_mix_medium_density_9,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_10,wtp_mix_medium_density_10,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_11,wtp_mix_medium_density_11,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_12,wtp_mix_medium_density_12,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_13,wtp_mix_medium_density_13,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_14,wtp_mix_medium_density_14,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_15,wtp_mix_medium_density_15,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_16,wtp_mix_medium_density_16,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_17,wtp_mix_medium_density_17,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_18,wtp_mix_medium_density_18,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_19,wtp_mix_medium_density_19,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_20,wtp_mix_medium_density_20,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_21,wtp_mix_medium_density_21,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
wtp_mix_medium_density_22,wtp_mix_medium_density_22,parameters_default,linearization_default,,,,,,2017-01-01T00:30:00,2018-01-01T00:00:00,00:30:00
