surface_type,heat_capacity,thermal_resistance_surface,irradiation_gain_coefficient,emissivity,window_type,window_wall_ratio,sky_view_factor
create_exterior_wall_concrete,heat_capacity_exterior_wall_concrete,thermal_resistance_exterior_wall_concrete,irradiation_gain_coefficient_exterior_wall_concrete,emissivity_exterior_wall_concrete,create_exterior_window,0,0.5
create_interior_wall_concrete,heat_capacity_interior_wall_concrete,thermal_resistance_interior_wall_concrete,irradiation_gain_coefficient_interior_wall_concrete,emissivity_interior_wall_concrete,create_interior_window,0,
create_interior_column_concrete,heat_capacity_interior_wall_concrete,thermal_resistance_interior_wall_concrete,irradiation_gain_coefficient_interior_wall_concrete,emissivity_interior_column,create_interior_window,0,
create_exterior_wall_curtain_window,heat_capacity_exterior_wall_curtain,thermal_resistance_exterior_wall_curtain,irradiation_gain_coefficient_exterior_wall_curtain,emissivity_exterior_wall_curtain,create_exterior_window,0.552,0.5
create_interior_wall_gypsum_window,heat_capacity_interior_wall_window_gypsum,thermal_resistance_interior_wall_window_gypsum,irradiation_gain_coefficient_interior_wall_gypsum,emissivity_interior_wall_window_gypsum,create_interior_window,0.5,
create_interior_wall_gypsum,heat_capacity_interior_wall_window_gypsum,thermal_resistance_interior_wall_window_gypsum,irradiation_gain_coefficient_interior_wall_gypsum,emissivity_interior_wall_gypsum,create_interior_window,0,
create_interior_base_ceiling_concrete,heat_capacity_base_ceiling,thermal_resistance_base_ceiling,irradiation_gain_coefficient_base_ceiling,emissivity_base_ceiling,create_interior_window,0,
validation_wall_no_window_no_mass,0,2.290965,0.75,0.9,create_interior_window,0,0.5
validation_floor,190471.40,0.0586839441,0.65,0.9,create_interior_window,0,
validation_roof_no_mass,0,5.456,0.75,0.9,create_interior_window,0,1.0
validation_wall_no_window,1904.7140,2.290965,0.75,0.9,create_interior_window,0,0.5
validation_roof,1904.7140,5.456,0.75,0.9,create_interior_window,0,1.0
wtp_wall,0.0,0.00127183,0.6,0.95,wtp_window,0.29,0.5
wtp_roof,0.0,0.748398,0.6,0.94,wtp_window,0.0,1.0
