building_name,zone_name,zone_adjacent_name,surface_name,surface_type,surface_area,surface_comment
create_level8_2zones,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level8_3zones,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level8_3zones,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,30.96,6.45
create_level8_4zones_a,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level8_4zones_a,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,82.368,17.16
create_level8_4zones_a,zone2,zone4,surface_interior_3,interior_wall_window_gypsum,114.432,23.84
create_level8_5zones,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level8_5zones,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,82.368,17.16
create_level8_5zones,zone2,zone4,surface_interior_3,interior_wall_window_gypsum,114.432,23.84
create_level8_6zones_a,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,82.368,17.16
create_level8_6zones_a,zone2,zone4,surface_interior_2,interior_wall_window_gypsum,114.432,23.84
create_level8_6zones_a,zone2,zone5,surface_interior_3,interior_wall_window_gypsum,20.016,4.17
create_level8_6zones_b,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level8_6zones_b,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,50.352,7.29+3.2
create_level8_6zones_b,zone1,zone4,surface_interior_3,interior_wall_window_gypsum,30.624,3.2+3.18
create_level8_6zones_b,zone2,zone5,surface_interior_4,interior_wall_window_gypsum,62.16,3.25+3.2+6.5
create_level8_6zones_b,zone2,zone6,surface_interior_5,interior_wall_window_gypsum,50.352,3.2+7.29
create_level8_6zones_b,zone3,zone4,surface_interior_6,interior_wall_gypsum,11.94,3.98
create_level8_6zones_b,zone5,zone6,surface_interior_7,interior_wall_gypsum,12.0,4
create_level8_7zones_a,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,82.368,17.16
create_level8_7zones_a,zone2,zone4,surface_interior_2,interior_wall_window_gypsum,114.432,23.84
create_level8_7zones_a,zone2,zone6,surface_interior_3,interior_wall_window_gypsum,20.016,4.17
create_level8_7zones_b,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level8_7zones_b,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,50.352,7.29+3.2
create_level8_7zones_b,zone1,zone4,surface_interior_3,interior_wall_window_gypsum,30.624,3.2+3.18
create_level8_7zones_b,zone2,zone5,surface_interior_4,interior_wall_window_gypsum,62.16,3.25+3.2+6.5
create_level8_7zones_b,zone2,zone6,surface_interior_5,interior_wall_window_gypsum,50.352,3.2+7.29
create_level8_7zones_b,zone3,zone4,surface_interior_6,interior_wall_gypsum,11.94,3.98
create_level8_7zones_b,zone5,zone6,surface_interior_7,interior_wall_gypsum,12.0,4
create_level8_8zones,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,50.352,7.29+3.2
create_level8_8zones,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,30.624,3.2+3.18
create_level8_8zones,zone2,zone5,surface_interior_3,interior_wall_window_gypsum,62.16,3.25+3.2+6.5
create_level8_8zones,zone2,zone6,surface_interior_4,interior_wall_window_gypsum,50.352,3.2+7.29
create_level8_8zones,zone2,zone7,surface_interior_5,interior_wall_window_gypsum,20.016,4.17
create_level8_8zones,zone3,zone4,surface_interior_6,interior_wall_gypsum,11.94,3.98
create_level8_8zones,zone5,zone6,surface_interior_7,interior_wall_gypsum,12.0,4
create_level8_9zones_a,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,50.352,7.29+3.2
create_level8_9zones_a,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,30.624,3.2+3.18
create_level8_9zones_a,zone2,zone5,surface_interior_3,interior_wall_window_gypsum,62.16,3.25+3.2+6.5
create_level8_9zones_a,zone2,zone6,surface_interior_4,interior_wall_window_gypsum,50.352,3.2+7.29
create_level8_9zones_a,zone2,zone8,surface_interior_5,interior_wall_window_gypsum,20.016,4.17
create_level8_9zones_a,zone3,zone4,surface_interior_6,interior_wall_gypsum,11.94,3.98
create_level8_9zones_a,zone5,zone6,surface_interior_7,interior_wall_gypsum,12.0,4
create_level8_9zones_b,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level8_9zones_b,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,34.992,7.29
create_level8_9zones_b,zone1,zone4,surface_interior_3,interior_wall_window_gypsum,30.72,3.2+3.2
create_level8_9zones_b,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,15.264,3.18
create_level8_9zones_b,zone2,zone6,surface_interior_5,interior_wall_window_gypsum,30.96,3.25+3.2
create_level8_9zones_b,zone2,zone7,surface_interior_6,interior_wall_window_gypsum,46.56,6.5+3.2
create_level8_9zones_b,zone2,zone8,surface_interior_7,interior_wall_window_gypsum,34.992,7.29
create_level8_9zones_b,zone3,zone4,surface_interior_8,interior_wall_gypsum,11.94,3.98
create_level8_9zones_b,zone4,zone5,surface_interior_9,interior_wall_gypsum,11.94,3.98
create_level8_9zones_b,zone6,zone7,surface_interior_10,interior_wall_gypsum,12.0,4
create_level8_9zones_b,zone7,zone8,surface_interior_11,interior_wall_gypsum,12.0,4
create_level8_10zones,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,34.992,7.29
create_level8_10zones,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,30.72,3.2+3.2
create_level8_10zones,zone1,zone5,surface_interior_3,interior_wall_window_gypsum,15.264,3.18
create_level8_10zones,zone2,zone6,surface_interior_4,interior_wall_window_gypsum,30.96,3.25+3.2
create_level8_10zones,zone2,zone7,surface_interior_5,interior_wall_window_gypsum,46.56,6.5+3.2
create_level8_10zones,zone2,zone8,surface_interior_6,interior_wall_window_gypsum,34.992,7.29
create_level8_10zones,zone2,zone9,surface_interior_7,interior_wall_window_gypsum,20.016,4.17
create_level8_10zones,zone3,zone4,surface_interior_8,interior_wall_gypsum,11.94,3.98
create_level8_10zones,zone4,zone5,surface_interior_9,interior_wall_gypsum,11.94,3.98
create_level8_10zones,zone6,zone7,surface_interior_10,interior_wall_gypsum,12.0,4
create_level8_10zones,zone7,zone8,surface_interior_11,interior_wall_gypsum,12.0,4
create_level8_11zones_a,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,34.992,7.29
create_level8_11zones_a,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,30.72,3.2+3.2
create_level8_11zones_a,zone1,zone5,surface_interior_3,interior_wall_window_gypsum,15.264,3.18
create_level8_11zones_a,zone2,zone6,surface_interior_4,interior_wall_window_gypsum,30.96,3.25+3.2
create_level8_11zones_a,zone2,zone7,surface_interior_5,interior_wall_window_gypsum,46.56,6.5+3.2
create_level8_11zones_a,zone2,zone8,surface_interior_6,interior_wall_window_gypsum,34.992,7.29
create_level8_11zones_a,zone2,zone10,surface_interior_7,interior_wall_window_gypsum,20.016,4.17
create_level8_11zones_a,zone3,zone4,surface_interior_8,interior_wall_gypsum,11.94,3.98
create_level8_11zones_a,zone4,zone5,surface_interior_9,interior_wall_gypsum,11.94,3.98
create_level8_11zones_a,zone6,zone7,surface_interior_10,interior_wall_gypsum,12.0,4
create_level8_11zones_a,zone7,zone8,surface_interior_11,interior_wall_gypsum,12.0,4
create_level8_11zones_b,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level8_11zones_b,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,34.992,7.29
create_level8_11zones_b,zone1,zone4,surface_interior_3,interior_wall_window_gypsum,15.36,3.2
create_level8_11zones_b,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,15.36,3.2
create_level8_11zones_b,zone1,zone6,surface_interior_5,interior_wall_window_gypsum,15.264,3.18
create_level8_11zones_b,zone2,zone7,surface_interior_6,interior_wall_window_gypsum,30.96,3.25+3.2
create_level8_11zones_b,zone2,zone8,surface_interior_7,interior_wall_window_gypsum,31.2,6.5
create_level8_11zones_b,zone2,zone9,surface_interior_8,interior_wall_window_gypsum,15.36,3.2
create_level8_11zones_b,zone2,zone10,surface_interior_9,interior_wall_window_gypsum,34.992,7.29
create_level8_11zones_b,zone3,zone4,surface_interior_10,interior_wall_gypsum,11.94,3.98
create_level8_11zones_b,zone4,zone5,surface_interior_11,interior_wall_gypsum,11.94,3.98
create_level8_11zones_b,zone5,zone6,surface_interior_12,interior_wall_gypsum,11.94,3.98
create_level8_11zones_b,zone7,zone8,surface_interior_13,interior_wall_gypsum,12.0,4
create_level8_11zones_b,zone8,zone9,surface_interior_14,interior_wall_gypsum,12.0,4
create_level8_11zones_b,zone9,zone10,surface_interior_15,interior_wall_gypsum,12.0,4
create_level8_11zones_c,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level8_11zones_c,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,34.992,7.29
create_level8_11zones_c,zone1,zone4,surface_interior_3,interior_wall_window_gypsum,15.36,3.2
create_level8_11zones_c,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,15.36,3.2
create_level8_11zones_c,zone1,zone6,surface_interior_5,interior_wall_window_gypsum,15.264,3.18
create_level8_11zones_c,zone2,zone7,surface_interior_6,interior_wall_window_gypsum,30.96,3.25+3.2
create_level8_11zones_c,zone2,zone9,surface_interior_7,interior_wall_window_gypsum,31.2,6.5
create_level8_11zones_c,zone2,zone10,surface_interior_8,interior_wall_window_gypsum,15.36,3.2
create_level8_11zones_c,zone2,zone11,surface_interior_9,interior_wall_window_gypsum,34.992,7.29
create_level8_11zones_c,zone3,zone4,surface_interior_10,interior_wall_gypsum,11.94,3.98
create_level8_11zones_c,zone4,zone5,surface_interior_11,interior_wall_gypsum,11.94,3.98
create_level8_11zones_c,zone5,zone6,surface_interior_12,interior_wall_gypsum,11.94,3.98
create_level8_11zones_c,zone7,zone8,surface_interior_13,interior_wall_gypsum,12.0,4
create_level8_11zones_c,zone8,zone9,surface_interior_14,interior_wall_gypsum,12.0,4
create_level8_11zones_c,zone9,zone10,surface_interior_15,interior_wall_gypsum,12.0,4
create_level8_11zones_c,zone10,zone11,surface_interior_16,interior_wall_gypsum,12.0,4
create_level8_12zones_a,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,34.992,7.29
create_level8_12zones_a,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,15.36,3.2
create_level8_12zones_a,zone1,zone5,surface_interior_3,interior_wall_window_gypsum,15.36,3.2
create_level8_12zones_a,zone1,zone6,surface_interior_4,interior_wall_window_gypsum,15.264,3.18
create_level8_12zones_a,zone2,zone7,surface_interior_5,interior_wall_window_gypsum,30.96,3.25+3.2
create_level8_12zones_a,zone2,zone8,surface_interior_6,interior_wall_window_gypsum,31.2,6.5
create_level8_12zones_a,zone2,zone9,surface_interior_7,interior_wall_window_gypsum,15.36,3.2
create_level8_12zones_a,zone2,zone10,surface_interior_8,interior_wall_window_gypsum,34.992,7.29
create_level8_12zones_a,zone2,zone11,surface_interior_9,interior_wall_window_gypsum,20.016,4.17
create_level8_12zones_a,zone3,zone4,surface_interior_10,interior_wall_gypsum,11.94,3.98
create_level8_12zones_a,zone4,zone5,surface_interior_11,interior_wall_gypsum,11.94,3.98
create_level8_12zones_a,zone5,zone6,surface_interior_12,interior_wall_gypsum,11.94,3.98
create_level8_12zones_a,zone7,zone8,surface_interior_13,interior_wall_gypsum,12.0,4
create_level8_12zones_a,zone8,zone9,surface_interior_14,interior_wall_gypsum,12.0,4
create_level8_12zones_a,zone9,zone10,surface_interior_15,interior_wall_gypsum,12.0,4
create_level8_12zones_b,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level8_12zones_b,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,34.992,7.29
create_level8_12zones_b,zone1,zone4,surface_interior_3,interior_wall_window_gypsum,15.36,3.2
create_level8_12zones_b,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,15.36,3.2
create_level8_12zones_b,zone1,zone6,surface_interior_5,interior_wall_window_gypsum,15.264,3.18
create_level8_12zones_b,zone2,zone7,surface_interior_6,interior_wall_window_gypsum,30.96,3.25+3.2
create_level8_12zones_b,zone2,zone9,surface_interior_7,interior_wall_window_gypsum,31.2,6.5
create_level8_12zones_b,zone2,zone10,surface_interior_8,interior_wall_window_gypsum,15.36,3.2
create_level8_12zones_b,zone2,zone11,surface_interior_9,interior_wall_window_gypsum,34.992,7.29
create_level8_12zones_b,zone3,zone4,surface_interior_10,interior_wall_gypsum,11.94,3.98
create_level8_12zones_b,zone4,zone5,surface_interior_11,interior_wall_gypsum,11.94,3.98
create_level8_12zones_b,zone5,zone6,surface_interior_12,interior_wall_gypsum,11.94,3.98
create_level8_12zones_b,zone7,zone8,surface_interior_13,interior_wall_gypsum,12.0,4
create_level8_12zones_b,zone8,zone9,surface_interior_14,interior_wall_gypsum,12.0,4
create_level8_12zones_b,zone9,zone10,surface_interior_15,interior_wall_gypsum,12.0,4
create_level8_12zones_b,zone10,zone11,surface_interior_16,interior_wall_gypsum,12.0,4
create_level8_13zones,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,34.992,7.29
create_level8_13zones,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,15.36,3.2
create_level8_13zones,zone1,zone5,surface_interior_3,interior_wall_window_gypsum,15.36,3.2
create_level8_13zones,zone1,zone6,surface_interior_4,interior_wall_window_gypsum,15.264,3.18
create_level8_13zones,zone2,zone7,surface_interior_5,interior_wall_window_gypsum,30.96,3.25+3.2
create_level8_13zones,zone2,zone9,surface_interior_6,interior_wall_window_gypsum,31.2,6.5
create_level8_13zones,zone2,zone10,surface_interior_7,interior_wall_window_gypsum,15.36,3.2
create_level8_13zones,zone2,zone11,surface_interior_8,interior_wall_window_gypsum,34.992,7.29
create_level8_13zones,zone2,zone12,surface_interior_9,interior_wall_window_gypsum,20.016,4.17
create_level8_13zones,zone3,zone4,surface_interior_10,interior_wall_gypsum,11.94,3.98
create_level8_13zones,zone4,zone5,surface_interior_11,interior_wall_gypsum,11.94,3.98
create_level8_13zones,zone5,zone6,surface_interior_12,interior_wall_gypsum,11.94,3.98
create_level8_13zones,zone7,zone8,surface_interior_13,interior_wall_gypsum,12.0,4
create_level8_13zones,zone8,zone9,surface_interior_14,interior_wall_gypsum,12.0,4
create_level8_13zones,zone9,zone10,surface_interior_15,interior_wall_gypsum,12.0,4
create_level8_13zones,zone10,zone11,surface_interior_16,interior_wall_gypsum,12.0,4
create_level8_14zones,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,34.992,7.29
create_level8_14zones,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,15.36,3.2
create_level8_14zones,zone1,zone5,surface_interior_3,interior_wall_window_gypsum,15.36,3.2
create_level8_14zones,zone1,zone6,surface_interior_4,interior_wall_window_gypsum,15.264,3.18
create_level8_14zones,zone2,zone7,surface_interior_5,interior_wall_window_gypsum,30.96,3.25+3.2
create_level8_14zones,zone2,zone9,surface_interior_6,interior_wall_window_gypsum,31.2,6.5
create_level8_14zones,zone2,zone10,surface_interior_7,interior_wall_window_gypsum,15.36,3.2
create_level8_14zones,zone2,zone11,surface_interior_8,interior_wall_window_gypsum,34.992,7.29
create_level8_14zones,zone2,zone13,surface_interior_9,interior_wall_window_gypsum,20.016,4.17
create_level8_14zones,zone3,zone4,surface_interior_10,interior_wall_gypsum,11.94,3.98
create_level8_14zones,zone4,zone5,surface_interior_11,interior_wall_gypsum,11.94,3.98
create_level8_14zones,zone5,zone6,surface_interior_12,interior_wall_gypsum,11.94,3.98
create_level8_14zones,zone7,zone8,surface_interior_13,interior_wall_gypsum,12.0,4
create_level8_14zones,zone8,zone9,surface_interior_14,interior_wall_gypsum,12.0,4
create_level8_14zones,zone9,zone10,surface_interior_15,interior_wall_gypsum,12.0,4
create_level8_14zones,zone10,zone11,surface_interior_16,interior_wall_gypsum,12.0,4
create_level8_4zones_b,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,30.96,6.45
create_level8_4zones_b,zone2,zone3,surface_interior_2,interior_wall_window_gypsum,20.016,4.17
create_level8_4zones_b,zone3,zone4,surface_interior_3,interior_wall_window_gypsum,30.96,6.45
create_level8_5zones,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,30.96,6.45
create_level8_6zones_a,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,30.96,6.45
create_level8_6zones_a,zone5,zone6,surface_interior_5,interior_wall_window_gypsum,30.96,6.45
create_level8_7zones_a,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,30.96,6.45
create_level8_7zones_a,zone5,zone6,surface_interior_5,interior_wall_window_gypsum,12.144,2.53
create_level8_7zones_a,zone5,zone7,surface_interior_6,interior_wall_window_gypsum,30.96,6.45
create_level8_7zones_b,zone1,zone7,surface_interior_8,interior_wall_window_gypsum,30.96,6.45 TODO: Validate this entry
create_level8_8zones,zone1,zone7,surface_interior_8,interior_wall_window_gypsum,30.96,6.45
create_level8_8zones,zone7,zone8,surface_interior_9,interior_wall_window_gypsum,30.96,6.45
create_level8_9zones_a,zone1,zone7,surface_interior_8,interior_wall_window_gypsum,30.96,6.45
create_level8_9zones_a,zone7,zone8,surface_interior_9,interior_wall_window_gypsum,12.144,2.53
create_level8_9zones_a,zone7,zone9,surface_interior_10,interior_wall_window_gypsum,30.96,6.45
create_level8_9zones_b,zone1,zone9,surface_interior_12,interior_wall_window_gypsum,30.96,6.45
create_level8_10zones,zone1,zone9,surface_interior_12,interior_wall_window_gypsum,30.96,6.45
create_level8_10zones,zone9,zone10,surface_interior_13,interior_wall_window_gypsum,30.96,6.45
create_level8_11zones_a,zone1,zone9,surface_interior_12,interior_wall_window_gypsum,30.96,6.45
create_level8_11zones_a,zone9,zone10,surface_interior_13,interior_wall_window_gypsum,30.96,6.45
create_level8_11zones_a,zone9,zone11,surface_interior_14,interior_wall_window_gypsum,30.96,6.45
create_level8_11zones_b,zone1,zone11,surface_interior_16,interior_wall_window_gypsum,30.96,6.45
create_level8_12zones_a,zone1,zone11,surface_interior_16,interior_wall_window_gypsum,30.96,6.45
create_level8_12zones_a,zone11,zone12,surface_interior_17,interior_wall_window_gypsum,30.96,6.45
create_level8_12zones_b,zone1,zone12,surface_interior_17,interior_wall_window_gypsum,30.96,6.45
create_level8_13zones,zone1,zone12,surface_interior_17,interior_wall_window_gypsum,30.96,6.45
create_level8_13zones,zone12,zone13,surface_interior_18,interior_wall_window_gypsum,30.96,6.45
create_level8_14zones,zone1,zone12,surface_interior_17,interior_wall_window_gypsum,30.96,6.45
create_level8_14zones,zone12,zone13,surface_interior_18,interior_wall_window_gypsum,12.144,2.53
create_level8_14zones,zone12,zone14,surface_interior_19,interior_wall_window_gypsum,30.96,6.45
