building_name,weather_type,building_storage_type
validation_1zone_no_window_no_mass,singapore_iwec,
validation_1zone_no_window,singapore_iwec,
validation_1zone_radiator,munich_iwec,
create_level8_1zone,singapore_nus,
create_level8_2zones,singapore_nus,
create_level8_3zones,singapore_nus,
create_level8_4zones_a,singapore_nus,
create_level8_4zones_b,singapore_nus,
create_level8_5zones,singapore_nus,
create_level8_6zones_a,singapore_nus,
create_level8_6zones_b,singapore_nus,
create_level8_7zones_a,singapore_nus,
create_level8_7zones_b,singapore_nus,
create_level8_8zones,singapore_nus,
create_level8_9zones_a,singapore_nus,
create_level8_9zones_b,singapore_nus,
create_level8_10zones,singapore_nus,
create_level8_11zones_a,singapore_nus,
create_level8_11zones_b,singapore_nus,
create_level8_11zones_c,singapore_nus,
create_level8_12zones_a,singapore_nus,
create_level8_12zones_b,singapore_nus,
create_level8_13zones,singapore_nus,
create_level8_14zones,singapore_nus,
