internal_gain_type,time_period,internal_gain_occupancy,internal_gain_appliances
create_office,01T00:00,0.05,0.05
create_office,01T01:00,0,0
create_office,01T02:00,0,0
create_office,01T03:00,0,0
create_office,01T04:00,0,0
create_office,01T05:00,0,0
create_office,01T06:00,0,0
create_office,01T07:00,0.1,0.1
create_office,01T08:00,0.2,0.2
create_office,01T09:00,0.95,0.95
create_office,01T10:00,0.95,0.95
create_office,01T11:00,0.95,0.95
create_office,01T12:00,0.95,0.95
create_office,01T13:00,0.5,0.5
create_office,01T14:00,0.95,0.95
create_office,01T15:00,0.95,0.95
create_office,01T16:00,0.95,0.95
create_office,01T17:00,0.95,0.95
create_office,01T18:00,0.3,0.3
create_office,01T19:00,0.1,0.1
create_office,01T20:00,0.1,0.1
create_office,01T21:00,0.1,0.1
create_office,01T22:00,0.1,0.1
create_office,01T23:00,0.05,0.05
create_office,06T00:00,0,0
create_office,06T01:00,0,0
create_office,06T02:00,0,0
create_office,06T03:00,0,0
create_office,06T04:00,0,0
create_office,06T05:00,0,0
create_office,06T06:00,0,0
create_office,06T07:00,0.05,0.05
create_office,06T08:00,0.05,0.05
create_office,06T09:00,0.05,0.05
create_office,06T10:00,0.05,0.05
create_office,06T11:00,0.05,0.05
create_office,06T12:00,0.05,0.05
create_office,06T13:00,0.05,0.05
create_office,06T14:00,0.05,0.05
create_office,06T15:00,0.05,0.05
create_office,06T16:00,0.05,0.05
create_office,06T17:00,0.05,0.05
create_office,06T18:00,0.05,0.05
create_office,06T19:00,0,0
create_office,06T20:00,0,0
create_office,06T21:00,0,0
create_office,06T22:00,0,0
create_office,06T23:00,0,0
