building_name,weather_type,plant_cooling_type,plant_heating_type,building_storage_type
create_level8_1zone,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_2zones,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_3zones,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_4zones_a,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_4zones_b,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_5zones,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_6zones_a,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_6zones_b,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_7zones_a,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_7zones_b,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_8zones,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_9zones_a,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_9zones_b,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_10zones,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_11zones_a,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_11zones_b,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_11zones_c,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_12zones_a,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_12zones_b,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_13zones,singapore_nus,cea_plant_cooling,cea_plant_heating,
create_level8_14zones,singapore_nus,cea_plant_cooling,cea_plant_heating,
