constraint_type,time_period,minimum_air_temperature,maximum_air_temperature,minimum_fresh_air_flow_per_area,minimum_fresh_air_flow_per_person,maximum_co2_concentration,minimum_fresh_air_flow_per_area_no_dcv,minimum_relative_humidity,maximum_relative_humidity
create_office_constraints,01T00:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T01:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T02:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T03:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T04:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T05:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T06:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T06:30,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T07:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T08:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T09:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T10:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T11:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T12:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T13:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T14:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T15:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T16:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T17:00,18.0,23.0,0.0006,0.0025,1000.0,0.0014,0.0,70.0
create_office_constraints,01T18:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T19:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T20:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T21:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T22:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
create_office_constraints,01T23:00,5.0,35.0,0.0,0.0,3000.0,0.0,0.0,100.0
