scenario_name,building_name,parameter_set,linearization_type,initial_state_type,price_type,timestep_start,timestep_end,timestep_interval
paper_pesgm_2020,create_level8_4zones_a,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_1zone,create_level8_1zone,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_2zones,create_level8_2zones,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_3zones,create_level8_3zones,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_4zones_a,create_level8_4zones_a,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_4zones_b,create_level8_4zones_b,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_5zones,create_level8_5zones,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_6zones_a,create_level8_6zones_a,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_6zones_b,create_level8_6zones_b,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_7zones_a,create_level8_7zones_a,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_7zones_b,create_level8_7zones_b,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_8zones,create_level8_8zones,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_9zones_a,create_level8_9zones_a,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_9zones_b,create_level8_9zones_b,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_10zones,create_level8_10zones,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_11zones_a,create_level8_11zones_a,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_11zones_b,create_level8_11zones_b,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_11zones_c,create_level8_11zones_c,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_12zones_a,create_level8_12zones_a,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_12zones_b,create_level8_12zones_b,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_13zones,create_level8_13zones,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
create_level8_14zones,create_level8_14zones,create_parameters,create_linearization,create_initial_state,,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
