building_name,weather_type,plant_cooling_type,plant_heating_type,building_storage_type
39487263,singapore_iwec,cea_plant_cooling,cea_plant_heating,
43755562,singapore_iwec,cea_plant_cooling,cea_plant_heating,
43755568,singapore_iwec,cea_plant_cooling,cea_plant_heating,
43755573,singapore_iwec,cea_plant_cooling,cea_plant_heating,
44414529,singapore_iwec,cea_plant_cooling,cea_plant_heating,
44414530,singapore_iwec,cea_plant_cooling,cea_plant_heating,
44414531,singapore_iwec,cea_plant_cooling,cea_plant_heating,
44414534,singapore_iwec,cea_plant_cooling,cea_plant_heating,
44414539,singapore_iwec,cea_plant_cooling,cea_plant_heating,
45098518,singapore_iwec,cea_plant_cooling,cea_plant_heating,
45098519,singapore_iwec,cea_plant_cooling,cea_plant_heating,
45098520,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594816,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594818,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594819,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594820,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594821,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594825,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594826,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594829,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594830,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594831,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46594832,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595137,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595138,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595145,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595146,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595147,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595148,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595384,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595385,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595390,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595394,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595395,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595417,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595418,singapore_iwec,cea_plant_cooling,cea_plant_heating,
46595597,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47126588,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47126589,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47134077,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47247812,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47298639,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47300930,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345002,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345003,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345004,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345005,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345006,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345007,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345009,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345011,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345012,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345013,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345018,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345019,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345021,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345022,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345024,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345025,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345026,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345027,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345028,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345029,singapore_iwec,cea_plant_cooling,cea_plant_heating,
47345212,singapore_iwec,cea_plant_cooling,cea_plant_heating,
