scenario_name,building_name,parameter_set,linearization_type,initial_state_type,price_type,timestep_start,timestep_end,timestep_interval
39487263,39487263,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
43755562,43755562,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
43755568,43755568,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
43755573,43755573,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
44414529,44414529,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
44414530,44414530,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
44414531,44414531,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
44414534,44414534,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
44414539,44414539,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
45098518,45098518,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
45098519,45098519,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
45098520,45098520,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
46594816,46594816,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
46594818,46594818,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
46594819,46594819,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
46594820,46594820,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
46594821,46594821,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
46594825,46594825,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
46594826,46594826,create_parameters,create_linearization,cea_initial_state,wholesale,2017-01-02T00:00:00,2017-01-03T00:00:00,0:30:00
