building_name,zone_name,direction_name,surface_name,surface_type,surface_area,surface_comment
39487263,zone_1,north,surface_exterior_north_1,wall_greenmark_nonresidential,1646.5805308816757,
39487263,zone_1,east,surface_exterior_east_1,wall_greenmark_nonresidential,2576.667667826781,
39487263,zone_1,south,surface_exterior_south_1,wall_greenmark_nonresidential,1646.5805308816757,
39487263,zone_1,west,surface_exterior_west_1,wall_greenmark_nonresidential,2576.667667826781,
39487263,zone_1,horizontal,surface_exterior_horizontal_1,roof_greenmark_nonresidential,22640.021443773145,
43755562,zone_1,north,surface_exterior_north_1,wall_greenmark_nonresidential,6576.784473739676,
43755562,zone_1,east,surface_exterior_east_1,wall_greenmark_nonresidential,2610.912415845736,
43755562,zone_1,south,surface_exterior_south_1,wall_greenmark_nonresidential,6576.784473739676,
43755562,zone_1,west,surface_exterior_west_1,wall_greenmark_nonresidential,2610.912415845736,
43755562,zone_1,horizontal,surface_exterior_horizontal_1,roof_greenmark_nonresidential,6759.971119468216,
43755568,zone_1,north,surface_exterior_north_1,wall_greenmark_nonresidential,2052.8944496980102,
43755568,zone_1,east,surface_exterior_east_1,wall_greenmark_nonresidential,637.1656532271138,
43755568,zone_1,south,surface_exterior_south_1,wall_greenmark_nonresidential,2052.8944496980102,
43755568,zone_1,west,surface_exterior_west_1,wall_greenmark_nonresidential,637.1656532271138,
43755568,zone_1,horizontal,surface_exterior_horizontal_1,roof_greenmark_nonresidential,6308.0335312892985,
43755568,zone_2,north,surface_exterior_north_2,wall_greenmark_nonresidential,2052.8944496980102,
43755568,zone_2,east,surface_exterior_east_2,wall_greenmark_nonresidential,637.1656532271138,
43755568,zone_2,south,surface_exterior_south_2,wall_greenmark_nonresidential,2052.8944496980102,
43755568,zone_2,west,surface_exterior_west_2,wall_greenmark_nonresidential,637.1656532271138,
43755568,zone_2,horizontal,surface_exterior_horizontal_2,roof_greenmark_nonresidential,6308.0335312892985,
43755573,zone_1,north,surface_exterior_north_1,wall_greenmark_nonresidential,4563.485145823321,
43755573,zone_1,east,surface_exterior_east_1,wall_greenmark_nonresidential,1744.9878865541227,
43755573,zone_1,south,surface_exterior_south_1,wall_greenmark_nonresidential,4563.485145823321,
43755573,zone_1,west,surface_exterior_west_1,wall_greenmark_nonresidential,1744.9878865541227,
43755573,zone_1,horizontal,surface_exterior_horizontal_1,roof_greenmark_nonresidential,5078.070031075507,
44414529,zone_1,north,surface_exterior_north_1,wall_greenmark_nonresidential,4239.6691783851475,
44414529,zone_1,east,surface_exterior_east_1,wall_greenmark_nonresidential,1197.0527980771972,
44414529,zone_1,south,surface_exterior_south_1,wall_greenmark_nonresidential,4239.6691783851475,
44414529,zone_1,west,surface_exterior_west_1,wall_greenmark_nonresidential,1197.0527980771972,
44414529,zone_1,horizontal,surface_exterior_horizontal_1,roof_greenmark_nonresidential,7991.792411356124,
44414530,zone_1,north,surface_exterior_north_1,wall_greenmark_nonresidential,3094.6973171223117,
44414530,zone_1,east,surface_exterior_east_1,wall_greenmark_nonresidential,1438.3152059586635,
44414530,zone_1,south,surface_exterior_south_1,wall_greenmark_nonresidential,3094.6973171223117,
44414530,zone_1,west,surface_exterior_west_1,wall_greenmark_nonresidential,1438.3152059586635,
44414530,zone_1,horizontal,surface_exterior_horizontal_1,roof_greenmark_nonresidential,709.613529400141,
44414531,zone_1,north,surface_exterior_north_1,wall_greenmark_residential,12662.396591955643,
44414531,zone_1,east,surface_exterior_east_1,wall_greenmark_residential,5736.109898640349,
44414531,zone_1,south,surface_exterior_south_1,wall_greenmark_residential,12662.396591955643,
