building_name,zone_name,zone_type,zone_height,zone_area,zone_comment
39487263,zone_1,hotel,3.6,90560.08577509258,
43755562,zone_1,office,3.6,95625.0,
43755568,zone_1,office,3.6,24974.5,
43755568,zone_2,retail,3.6,24974.5,
43755573,zone_1,office,3.6,55206.0,
44414529,zone_1,hotel,3.6,59329.0,
44414530,zone_1,hotel,3.6,15611.497646803102,
44414531,zone_1,multi_res,3.6,224175.6124432919,
44414534,zone_1,retail,3.6,13241.6469373074,
44414539,zone_1,office,3.6,58783.0,
45098518,zone_1,office,3.6,29964.0,
45098519,zone_1,retail,3.6,10709.03213831239,
45098520,zone_1,retail,3.6,4833.0,
46594816,zone_1,hotel,3.6,20963.289772997356,
46594818,zone_1,retail,3.6,8814.532255468146,
46594819,zone_1,other,3.6,6669.206469901645,
46594820,zone_1,other,3.6,3324.187843775584,
46594821,zone_1,office,3.6,21156.030393440724,
46594821,zone_2,retail,3.6,21156.030393440724,
46594825,zone_1,office,3.6,58824.0,
46594826,zone_1,office,3.6,41499.0,
46594829,zone_1,other,3.6,12632.363662022364,
46594830,zone_1,retail,3.6,6259.312728616957,
46594831,zone_1,retail,3.6,12011.882781250082,
46594832,zone_1,retail,3.6,21380.514932900835,
46595137,zone_1,retail,3.6,15272.643910960192,
46595138,zone_1,hotel,3.6,15100.093448975258,
46595145,zone_1,retail,3.6,10385.376713131718,
46595146,zone_1,retail,3.6,5309.635683585004,
46595147,zone_1,retail,3.6,5403.406184644444,
46595148,zone_1,retail,3.6,6098.644300291978,
46595384,zone_1,retail,3.6,4509.797829889595,
46595385,zone_1,office,3.6,34736.0,
46595390,zone_1,other,3.6,14009.238429166813,
46595394,zone_1,hotel,3.6,9503.822214065773,
46595395,zone_1,hotel,3.6,26791.15633797069,
46595417,zone_1,retail,3.6,9480.937243509481,
46595418,zone_1,office,3.6,64277.0,
46595597,zone_1,other,3.6,24090.83302942958,
47126588,zone_1,multi_res,3.6,30606.007383948072,
47126589,zone_1,retail,3.6,56897.60511909508,
47134077,zone_1,hospital,3.6,26563.0,
47247812,zone_1,office,3.6,43367.0,
47298639,zone_1,multi_res,3.6,1888.9414323589504,
47298639,zone_2,retail,3.6,1888.9414323589504,
47300930,zone_1,retail,3.6,13807.01481750008,
47345002,zone_1,retail,3.6,4930.83183474965,
47345003,zone_1,office,3.6,15276.0,
47345004,zone_1,office,3.6,16105.0,
47345005,zone_1,hotel,3.6,16105.0,
47345006,zone_1,office,3.6,144109.0,
47345007,zone_1,office,3.6,18199.00984457225,
47345007,zone_2,retail,3.6,18199.00984457225,
47345009,zone_1,retail,3.6,218469.99967467127,
47345011,zone_1,office,3.6,22930.0,
47345012,zone_1,office,3.6,20180.0,
47345013,zone_1,office,3.6,47744.0,
47345018,zone_1,office,3.6,15724.0,
47345019,zone_1,hotel,3.6,7450.0,
47345021,zone_1,multi_res,3.6,4467.170960892773,
47345021,zone_2,retail,3.6,4467.170960892773,
47345022,zone_1,other,3.6,23098.879361463118,
47345024,zone_1,retail,3.6,36956.68198374864,
47345025,zone_1,retail,3.6,37111.60648373538,
47345026,zone_1,retail,3.6,30606.141855392067,
47345027,zone_1,office,3.6,116055.0,
47345028,zone_1,retail,3.6,7634.210260405737,
47345029,zone_1,office,3.6,24089.0,
47345212,zone_1,office,3.6,48688.0,
47345213,zone_1,retail,3.6,11760.927374029186,
47345214,zone_1,office,3.6,52945.0,
47345217,zone_1,office,3.6,33846.0,
47345219,zone_1,hotel,3.6,31033.0,
47345221,zone_1,retail,3.6,12485.277874034718,
47345222,zone_1,office,3.6,84229.0,
47415359,zone_1,retail,3.6,15273.073786553952,
47415360,zone_1,office,3.6,11908.0,
47415361,zone_1,office,3.6,7200.0,
48035153,zone_1,hotel,3.6,70289.23772356001,
48126413,zone_1,office,3.6,23236.0,
48178719,zone_1,office,3.6,43000.0,
48948265,zone_1,office,3.6,28189.0,
49890750,zone_1,other,3.6,41423.74876586013,
49890775,zone_1,other,3.6,23996.31567276492,
51761904,zone_1,retail,3.6,27583.36696600121,
95762799,zone_1,other,3.6,9550.966960051777,
97582570,zone_1,retail,3.6,106584.0,
97585680,zone_1,other,3.6,6752.676811310963,
97666815,zone_1,retail,3.6,891.0198064127615,
97666816,zone_1,retail,3.6,3888.115563830818,
97666817,zone_1,retail,3.6,14790.0,
97666818,zone_1,retail,3.6,1388.361284528574,
97666910,zone_1,office,3.6,9938.0,
99347079,zone_1,office,3.6,16222.0,
99348745,zone_1,retail,3.6,2577.0086969251724,
102938119,zone_1,retail,3.6,6122.607002222785,
103110145,zone_1,retail,3.6,6450.31342242993,
103110147,zone_1,retail,3.6,3989.533334943286,
106193385,zone_1,retail,3.6,10686.756161096117,
106193386,zone_1,office,3.6,14989.0,
106193387,zone_1,other,3.6,753.3911215427357,
106193388,zone_1,office,3.6,37129.0,
106193390,zone_1,office,3.6,15480.0,
106193391,zone_1,other,3.6,769.4680668268381,
116800998,zone_1,office,3.6,290755.5,
116800998,zone_2,retail,3.6,290755.5,
116801003,zone_1,office,3.6,450948.92167887336,
116801003,zone_2,retail,3.6,450948.92167887336,
116801004,zone_1,office,3.6,83505.88912781887,
116801004,zone_2,retail,3.6,83505.88912781887,
116801907,zone_1,other,3.6,2426.1287744680526,
116905040,zone_1,office,3.6,44020.15601299713,
116905040,zone_2,retail,3.6,44020.15601299713,
116905041,zone_1,office,3.6,79203.04751080483,
116905041,zone_2,retail,3.6,79203.04751080483,
116905042,zone_1,office,3.6,43814.580906769785,
116905042,zone_2,retail,3.6,43814.580906769785,
116905045,zone_1,office,3.6,34096.42507016969,
116905045,zone_2,retail,3.6,34096.42507016969,
117041257,zone_1,office,3.6,107758.0,
117042160,zone_1,retail,3.6,6752.73748411254,
117052184,zone_1,office,3.6,4043.0936368247626,
117052184,zone_2,retail,3.6,4043.0936368247626,
117052185,zone_1,office,3.6,4900.360128274857,
117052185,zone_2,retail,3.6,4900.360128274857,
117052186,zone_1,office,3.6,3680.87602736813,
117052186,zone_2,retail,3.6,3680.87602736813,
117055140,zone_1,retail,3.6,16137.99778597906,
117058629,zone_1,retail,3.6,5727.288457235165,
117058639,zone_1,retail,3.6,7618.349782436145,
121565109,zone_1,hotel,3.6,699.2950163302937,
126520579,zone_1,other,3.6,2249.689860047662,
126520582,zone_1,office,3.6,34560.0,
146335667,zone_1,office,3.6,27562.0,
152598430,zone_1,multi_res,3.6,22055.48212616293,
152598430,zone_2,retail,3.6,22055.48212616293,
155980025,zone_1,other,3.6,5617.589053357382,
155987124,zone_1,hotel,3.6,22447.37254992129,
155988210,zone_1,hotel,3.6,89183.20451967428,
159679951,zone_1,office,3.6,9164.0,
159679953,zone_1,office,3.6,3038.0,
159679958,zone_1,multi_res,3.6,238.7311999240112,
159679958,zone_2,retail,3.6,238.7311999240112,
164176023,zone_1,retail,3.6,2818.7442945950907,
164177174,zone_1,office,3.6,2295.0,
164177177,zone_1,other,3.6,4985.74492979533,
164177179,zone_1,retail,3.6,2154.049094127511,
164177180,zone_1,office,3.6,7669.0,
164177181,zone_1,school,3.6,1350.0,
164177282,zone_1,multi_res,3.6,8909.01211059627,
164177282,zone_2,retail,3.6,8909.01211059627,
164177283,zone_1,multi_res,3.6,9272.234768215341,
164177283,zone_2,retail,3.6,9272.234768215341,
164881347,zone_1,other,3.6,3379.9407438362305,
164882623,zone_1,retail,3.6,754.5809814875905,
166311281,zone_1,other,3.6,260.3111065886886,
166311282,zone_1,other,3.6,347.12736396318604,
166311288,zone_1,other,3.6,128.51660768604307,
166311389,zone_1,other,3.6,540.972445742155,
166311391,zone_1,other,3.6,448.0099995049561,
166554010,zone_1,multi_res,3.6,380.2010423027099,
166554010,zone_2,retail,3.6,380.2010423027099,
