battery_technology,round_trip_efficiency_2016,round_trip_efficiency_2020,round_trip_efficiency_2025,round_trip_efficiency_2030,depth_of_discharge_2016,depth_of_discharge_2020,depth_of_discharge_2025,depth_of_discharge_2030,energy_installation_cost_2016,energy_installation_cost_2020,energy_installation_cost_2025,energy_installation_cost_2030,power_installation_cost_2016,power_installation_cost_2020,power_installation_cost_2025,power_installation_cost_2030,lifetime_2016,lifetime_2020,lifetime_2025,lifetime_2030
flooded_la,0.82,0.83,0.84,0.85,0.5,0.5,0.5,0.5,147.0,120.7,94.4,73.8,155.4,118.8,84.9,60.7,4.1,5.1,6.7,8.8
vrla,0.80,0.81,0.82,0.83,0.5,0.5,0.5,0.5,262.5,215.6,168.6,131.8,155.4,118.8,84.9,60.7,4.1,5.1,6.7,8.8
li_ion_lfp,0.92,0.92,0.93,0.94,0.9,0.9,0.9,0.9,577.5,440.6,314.2,224.1,155.4,118.8,84.9,60.7,6.8,8.2,10.4,13.1
li_ion_nca,0.95,0.95,0.96,0.97,0.9,0.9,0.9,0.9,351.8,273.1,199.1,145.1,155.4,118.8,84.9,60.7,2.7,3.3,4.2,5.2
li_ion_nmc,0.95,0.95,0.96,0.97,0.9,0.9,0.9,0.9,420.0,322.9,232.4,167.3,155.4,118.8,84.9,60.7,5.5,6.6,8.3,10.5
li_ion_titan,0.96,0.97,0.97,0.98,1.0,1.0,1.0,1.0,1050.0,838.6,633.1,478.0,155.4,118.8,84.9,60.7,15.0,16.5,19.7,23.0
nanicl,0.84,0.85,0.86,0.87,1.0,1.0,1.0,1.0,399.0,308.0,222.9,161.3,155.4,118.8,84.9,60.7,8.2,9.3,10.7,12.4
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
