,clearing_price
1/1/2020 0:00,70.56
1/1/2020 0:30,75.39
1/1/2020 1:00,72.72
1/1/2020 1:30,70.49
1/1/2020 2:00,70.48
1/1/2020 2:30,69.28
1/1/2020 3:00,68.1
1/1/2020 3:30,66.95
1/1/2020 4:00,66.51
1/1/2020 4:30,66.5
1/1/2020 5:00,66.75
1/1/2020 5:30,67.92
1/1/2020 6:00,68.88
1/1/2020 6:30,69.22
1/1/2020 7:00,69.28
1/1/2020 7:30,73.37
1/1/2020 8:00,76.15
1/1/2020 8:30,76.58
1/1/2020 9:00,80.69
1/1/2020 9:30,82.73
1/1/2020 10:00,83.53
1/1/2020 10:30,82.19
1/1/2020 11:00,83.65
1/1/2020 11:30,81.73
1/1/2020 12:00,81.64
1/1/2020 12:30,81.73
1/1/2020 13:00,82.68
1/1/2020 13:30,82.69
1/1/2020 14:00,83.56
1/1/2020 14:30,82.66
1/1/2020 15:00,82.68
1/1/2020 15:30,83.57
1/1/2020 16:00,83.64
1/1/2020 16:30,84.77
1/1/2020 17:00,84.75
1/1/2020 17:30,84.75
1/1/2020 18:00,85.82
1/1/2020 18:30,100.7
1/1/2020 19:00,115.37
1/1/2020 19:30,103.98
1/1/2020 20:00,115.37
1/1/2020 20:30,125.93
1/1/2020 21:00,113.02
1/1/2020 21:30,100.93
1/1/2020 22:00,103.99
1/1/2020 22:30,86.89
1/1/2020 23:00,85.83
1/1/2020 23:30,83.99
1/2/2020 00:00,77.97
