,clearing_price
1/1/2020 0:00,89.17772603
1/1/2020 0:30,86.57476712
1/1/2020 1:00,84.30539726
1/1/2020 1:30,81.7730137
1/1/2020 2:00,79.9029863
1/1/2020 2:30,78.05041096
1/1/2020 3:00,76.67939726
1/1/2020 3:30,75.67041096
1/1/2020 4:00,75.40824658
1/1/2020 4:30,75.97312329
1/1/2020 5:00,77.88706849
1/1/2020 5:30,80.82032877
1/1/2020 6:00,83.14123288
1/1/2020 6:30,85.32515068
1/1/2020 7:00,84.18978082
1/1/2020 7:30,88.55873973
1/1/2020 8:00,94.59619178
1/1/2020 8:30,101.7610959
1/1/2020 9:00,106.0779121
1/1/2020 9:30,30
1/1/2020 10:00,118.914573
1/1/2020 10:30,120.3214917
1/1/2020 11:00,30
1/1/2020 11:30,107.9316758
1/1/2020 12:00,102.1548901
1/1/2020 12:30,30
1/1/2020 13:00,108.658022
1/1/2020 13:30,30
1/1/2020 14:00,110.7153571
1/1/2020 14:30,107.0746154
1/1/2020 15:00,109.3217808
1/1/2020 15:30,30
1/1/2020 16:00,109.9444384
1/1/2020 16:30,108.8830411
1/1/2020 17:00,103.8472329
1/1/2020 17:30,96.85813187
1/1/2020 18:00,96.3050411
1/1/2020 18:30,100.4118082
1/1/2020 19:00,104.5923077
1/1/2020 19:30,104.1513736
1/1/2020 20:00,106.2319726
1/1/2020 20:30,108.9747397
1/1/2020 21:00,107.3643407
1/1/2020 21:30,102.7020548
1/1/2020 22:00,98.49136986
1/1/2020 22:30,94.43232877
1/1/2020 23:00,90.73654795
1/1/2020 23:30,87.17871233
1/2/2020 0:00,89.17772603
