battery_technology,year,case,round_trip_efficiency,depth_of_discharge,energy_installation_cost,power_installation_cost,lifetime
flooded_la,2016,best,0.92,0.5,105,105,6.8
vrla,2016,best,0.92,0.5,105,105,6.8
li_ion_lfp,2016,best,0.94,1,199.5,105,20
li_ion_nca,2016,best,0.98,1,199.5,105,5.5
li_ion_nmc,2016,best,0.98,1,199.5,105,11
li_ion_titan,2016,best,0.98,1,472.5,105,20
nanicl,2016,best,0.92,1,315,105,20.5
flooded_la,2020,best,0.93,0.5,86.2,80.3,8.5
vrla,2020,best,0.93,0.5,86.2,80.3,8.5
li_ion_lfp,2020,best,0.95,1,152.2,80.3,22.6
li_ion_nca,2020,best,0.99,1,154.9,80.3,6.6
li_ion_nmc,2020,best,0.99,1,153.4,80.3,13.2
li_ion_titan,2020,best,0.99,1,377.3,80.3,22.6
nanicl,2020,best,0.93,1,243.2,80.3,23.1
flooded_la,2025,best,0.94,0.5,67.4,57.4,11.2
vrla,2025,best,0.94,0.5,67.4,57.4,11.2
li_ion_lfp,2025,best,0.95,1,108.6,57.4,26.3
li_ion_nca,2025,best,0.99,1,112.9,57.4,8.3
li_ion_nmc,2025,best,0.99,1,110.4,57.4,16.6
li_ion_titan,2025,best,0.99,1,284.9,57.4,26.3
nanicl,2025,best,0.94,1,176,57.4,26.8
flooded_la,2030,best,0.96,0.5,52.7,41,14.7
vrla,2030,best,0.96,0.5,52.7,41,14.7
li_ion_lfp,2030,best,0.96,1,77.4,41,30.6
li_ion_nca,2030,best,0.99,1,82.3,41,10.5
li_ion_nmc,2030,best,0.99,1,79.5,41,20.9
li_ion_titan,2030,best,0.99,1,215.1,41,30.6
nanicl,2030,best,0.95,1,127.4,41,31.1
flooded_la,2016,reference,0.82,0.5,147,155.4,4.1
vrla,2016,reference,0.8,0.5,262.5,155.4,4.1
li_ion_lfp,2016,reference,0.92,0.9,577.5,155.4,6.8
li_ion_nca,2016,reference,0.95,0.9,351.8,155.4,2.7
li_ion_nmc,2016,reference,0.95,0.9,420,155.4,5.5
li_ion_titan,2016,reference,0.96,1,1050,155.4,15
nanicl,2016,reference,0.84,1,399,155.4,8.2
flooded_la,2020,reference,0.83,0.5,120.7,118.8,5.1
vrla,2020,reference,0.81,0.5,215.6,118.8,5.1
li_ion_lfp,2020,reference,0.92,0.9,440.6,118.8,8.2
li_ion_nca,2020,reference,0.95,0.9,273.1,118.8,3.3
li_ion_nmc,2020,reference,0.95,0.9,322.9,118.8,6.6
li_ion_titan,2020,reference,0.97,1,838.6,118.8,16.5
nanicl,2020,reference,0.85,1,308,118.8,9.3
flooded_la,2025,reference,0.84,0.5,94.4,84.9,6.7
vrla,2025,reference,0.82,0.5,168.6,84.9,6.7
li_ion_lfp,2025,reference,0.93,0.9,314.2,84.9,10.4
li_ion_nca,2025,reference,0.96,0.9,199.1,84.9,4.2
li_ion_nmc,2025,reference,0.96,0.9,232.4,84.9,8.3
li_ion_titan,2025,reference,0.97,1,633.1,84.9,19.7
nanicl,2025,reference,0.86,1,222.9,84.9,10.7
flooded_la,2030,reference,0.85,0.5,73.8,60.7,8.8
vrla,2030,reference,0.83,0.5,131.8,60.7,8.8
li_ion_lfp,2030,reference,0.94,0.9,224.1,60.7,13.1
li_ion_nca,2030,reference,0.97,0.9,145.1,60.7,5.2
li_ion_nmc,2030,reference,0.97,0.9,167.3,60.7,10.5
li_ion_titan,2030,reference,0.98,1,478,60.7,23
nanicl,2030,reference,0.87,1,161.3,60.7,12.4
flooded_la,2016,worst,0.75,0.6,472.5,290,0.7
vrla,2016,worst,0.75,0.6,472.5,290,4.1
li_ion_lfp,2016,worst,0.81,0.84,840,290,2.7
li_ion_nca,2016,worst,0.81,0.84,840,290,1.4
li_ion_nmc,2016,worst,0.81,0.84,840,290,1.4
li_ion_titan,2016,worst,0.81,0.84,1260,290,10
nanicl,2016,worst,0.8,1,488,290,2.7
flooded_la,2020,worst,0.76,0.6,388.1,221.7,0.9
vrla,2020,worst,0.76,0.6,388.1,221.7,5.1
li_ion_lfp,2020,worst,0.81,0.84,640.9,221.7,3.3
li_ion_nca,2020,worst,0.81,0.84,652.3,221.7,1.6
li_ion_nmc,2020,worst,0.81,0.84,652.3,221.7,1.6
li_ion_titan,2020,worst,0.81,0.84,1006.3,221.7,11.3
nanicl,2020,worst,0.81,1,376.8,221.7,3.1
flooded_la,2025,worst,0.77,0.6,303.4,158.5,1.1
vrla,2025,worst,0.77,0.6,303.4,158.5,6.7
li_ion_lfp,2025,worst,0.82,0.84,457.1,158.5,4.2
li_ion_nca,2025,worst,0.82,0.84,475.5,158.5,2.1
li_ion_nmc,2025,worst,0.82,0.84,475.5,158.5,2.1
li_ion_titan,2025,worst,0.82,0.84,759.7,158.5,13.2
nanicl,2025,worst,0.82,1,272.7,158.5,3.6
flooded_la,2030,worst,0.78,0.6,237.2,113.3,1.5
vrla,2030,worst,0.78,0.6,237.2,113.3,8.8
li_ion_lfp,2030,worst,0.82,0.84,326,113.3,5.2
li_ion_nca,2030,worst,0.82,0.84,346.6,113.3,2.6
li_ion_nmc,2030,worst,0.82,0.84,346.6,113.3,2.6
li_ion_titan,2030,worst,0.82,0.84,573.5,113.3,15.3
nanicl,2030,worst,0.83,1,197.3,113.3,4.1
