surface_type,heat_capacity,thermal_resistance_surface,absorptivity,emissivity,window_type,window_wall_ratio,sky_view_factor
wall_clay_brick,1360000,5.0,0.68,0.92,,0.4,0.5
wall_concrete_exposed,1800000,1.25,0.6,0.95,,0.4,0.5
wall_clay_brick_dark_paint,1360000,6.666666667,0.85,0.94,,0.4,0.5
wall_clay_brick_white_paint,1360000,1.25,0.3,0.84,,0.4,0.5
wall_clay_brick_blue_paint,1360000,6.666666667,0.65,0.9,,0.4,0.5
wall_greenmark_industrial,1360000,0.666666667,0.85,0.94,window_greenmark_industrial,0.2,0.5
wall_greenmark_nonresidential,1360000,1.428571429,0.3,0.9,window_greenmark_nonresidential,0.4,0.5
wall_greenmark_residential,1360000,1.25,0.85,0.94,window_greenmark_residential,0.5,0.5
roof_concrete,1800000,5.0,0.94,0.4,,0,1
roof_clay,1360000,3.333333333,0.55,0.91,,0,1
roof_aluminium,2508800,3.333333333,0.3,0.09,,0,1
roof_greenery,1284800,6.666666667,0.5,0.95,,0,1
roof_concrete_white_paint,1800000,6.666666667,0.3,0.84,,0,1
roof_concrete_dark_paint,1800000,6.666666667,0.85,0.94,,0,1
roof_greenmark_industrial,1360000,0.909090909,0.85,0.94,,0,1
roof_greenmark_nonresidential,1360000,1.25,0.85,0.94,,0,1
roof_greenmark_residential,1360000,1.25,0.85,0.94,,0,1
floor_concrete,1800000,0.344827586,0.6,0.95,,0,0
