weather_type,time,ambient_air_temperature,sky_temperature,ambient_air_humidity_ratio,irradiation_horizontal,irradiation_east,irradiation_south,irradiation_west,irradiation_north
singapore_nus,2016-10-01 00:00:00.000,28.07,15.07,0.01823542,0.016,0.00944,0.00944,0.00944,0.00944
singapore_nus,2016-10-01 01:00:00.000,27.18,14.18,0.016375147,0.019,0.01121,0.01121,0.01121,0.01121
singapore_nus,2016-10-01 02:00:00.000,26.96,13.96,0.016044677,0.017,0.01003,0.01003,0.01003,0.01003
singapore_nus,2016-10-01 03:00:00.000,26.66,13.66,0.016299027,0.013,0.00767,0.00767,0.00767,0.00767
singapore_nus,2016-10-01 04:00:00.000,26.42,13.42,0.016242453,0.02,0.0118,0.0118,0.0118,0.0118
singapore_nus,2016-10-01 05:00:00.000,26.21,13.21,0.015817363,0.015,0.00885,0.00885,0.00885,0.00885
singapore_nus,2016-10-01 06:00:00.000,26.04,13.04,0.015807508,0.018,0.01062,0.01062,0.01062,0.01062
singapore_nus,2016-10-01 07:00:00.000,26.3,13.3,0.015285576,0.776,0.45784,0.45784,0.45784,0.45784
singapore_nus,2016-10-01 08:00:00.000,26.78,13.78,0.014986178,41.07,24.2313,24.2313,24.2313,24.2313
singapore_nus,2016-10-01 09:00:00.000,27.34,14.34,0.015543969,254.4,198.0773092,134.7302301,129.1418793,129.1418793
singapore_nus,2016-10-01 10:00:00.000,28.96,15.96,0.016504601,383.8,250.8140743,205.1651604,199.6709798,199.6709798
singapore_nus,2016-10-01 11:00:00.000,29.31,16.31,0.016399377,288.7,171.2224548,162.512492,160.8211523,160.8211523
singapore_nus,2016-10-01 12:00:00.000,26.35,13.35,0.017129163,75.2,44.368,44.368,44.368,44.368
singapore_nus,2016-10-01 13:00:00.000,25.93,12.93,0.01697986,170.7,98.50078253,98.86089368,98.60715589,98.50078253
singapore_nus,2016-10-01 14:00:00.000,26.75,13.75,0.015888208,368.6,208.1205819,209.6948177,213.6264961,208.1205819
singapore_nus,2016-10-01 15:00:00.000,27.56,14.56,0.016131301,468.7,239.7006219,246.4851525,284.70571,239.7006219
singapore_nus,2016-10-01 16:00:00.000,27.44,14.44,0.016727941,284.4,159.8610325,161.5912236,176.5507487,159.8610325
singapore_nus,2016-10-01 17:00:00.000,27.97,14.97,0.016256583,162.3,94.08876738,94.58166503,100.2231468,94.08876738
singapore_nus,2016-10-01 18:00:00.000,28.43,15.43,0.015461894,112.9,54.45021235,61.23875247,155.5242503,54.45021235
singapore_nus,2016-10-01 19:00:00.000,28.41,15.41,0.016278637,24.54,14.4786,14.4786,14.4786,14.4786
singapore_nus,2016-10-01 20:00:00.000,28.0,15.0,0.016486308,0.057,0.03363,0.03363,0.03363,0.03363
singapore_nus,2016-10-01 21:00:00.000,27.84,14.84,0.016818886,0.014,0.00826,0.00826,0.00826,0.00826
singapore_nus,2016-10-01 22:00:00.000,27.84,14.84,0.01732877,0.021,0.01239,0.01239,0.01239,0.01239
singapore_nus,2016-10-01 23:00:00.000,27.84,14.84,0.017693472,0.015,0.00885,0.00885,0.00885,0.00885
singapore_nus,2016-10-02 00:00:00.000,29.5,16.5,0.017408036,0.014,0.00826,0.00826,0.00826,0.00826
singapore_nus,2016-10-02 01:00:00.000,28.2,15.2,0.018203818,0.019,0.01121,0.01121,0.01121,0.01121
singapore_nus,2016-10-02 02:00:00.000,28.15,15.15,0.018273434,0.014,0.00826,0.00826,0.00826,0.00826
singapore_nus,2016-10-02 03:00:00.000,28.06,15.06,0.019015299,0.014,0.00826,0.00826,0.00826,0.00826
singapore_nus,2016-10-02 04:00:00.000,27.53,14.53,0.019330144,0.016,0.00944,0.00944,0.00944,0.00944
singapore_nus,2016-10-02 05:00:00.000,27.53,14.53,0.01949828,0.019,0.01121,0.01121,0.01121,0.01121
singapore_nus,2016-10-02 06:00:00.000,27.53,14.53,0.019570366,0.018,0.01062,0.01062,0.01062,0.01062
singapore_nus,2016-10-02 07:00:00.000,27.63,14.63,0.019374542,0.363,0.21417,0.21417,0.21417,0.21417
