building_name,zone_name,direction_name,surface_name,surface_type,surface_area,surface_comment
wtp_mix_medium_density_1,zone_1,south,surface_exterior_south,wtp_wall,1845.3,
wtp_mix_medium_density_2,zone_1,south,surface_exterior_south,wtp_wall,1845.3,
wtp_mix_medium_density_3,zone_1,south,surface_exterior_south,wtp_wall,3856.4,
wtp_mix_medium_density_4,zone_1,south,surface_exterior_south,wtp_wall,2645.1,
wtp_mix_medium_density_5,zone_1,south,surface_exterior_south,wtp_wall,3856.4,
wtp_mix_medium_density_6,zone_1,south,surface_exterior_south,wtp_wall,1508.7,
wtp_mix_medium_density_7,zone_1,south,surface_exterior_south,wtp_wall,8660.8,
wtp_mix_medium_density_8,zone_1,south,surface_exterior_south,wtp_wall,4780.4,
wtp_mix_medium_density_9,zone_1,south,surface_exterior_south,wtp_wall,3186.9,
wtp_mix_medium_density_10,zone_1,south,surface_exterior_south,wtp_wall,4780.4,
wtp_mix_medium_density_11,zone_1,south,surface_exterior_south,wtp_wall,3186.9,
wtp_mix_medium_density_12,zone_1,south,surface_exterior_south,wtp_wall,2390.2,
wtp_mix_medium_density_13,zone_1,south,surface_exterior_south,wtp_wall,3186.9,
wtp_mix_medium_density_14,zone_1,south,surface_exterior_south,wtp_wall,1785.5,
wtp_mix_medium_density_15,zone_1,south,surface_exterior_south,wtp_wall,1787.6,
wtp_mix_medium_density_16,zone_1,south,surface_exterior_south,wtp_wall,1888.9,
wtp_mix_medium_density_17,zone_1,south,surface_exterior_south,wtp_wall,1868.8,
wtp_mix_medium_density_18,zone_1,south,surface_exterior_south,wtp_wall,1791.4,
wtp_mix_medium_density_19,zone_1,south,surface_exterior_south,wtp_wall,1808.4,
wtp_mix_medium_density_20,zone_1,south,surface_exterior_south,wtp_wall,1982.7,
wtp_mix_medium_density_21,zone_1,south,surface_exterior_south,wtp_wall,3705.9,
wtp_mix_medium_density_22,zone_1,south,surface_exterior_south,wtp_wall,2815.4,
wtp_mix_medium_density_1,zone_1,east,surface_exterior_east,wtp_wall,1845.3,
wtp_mix_medium_density_2,zone_1,east,surface_exterior_east,wtp_wall,1845.3,
wtp_mix_medium_density_3,zone_1,east,surface_exterior_east,wtp_wall,3856.4,
wtp_mix_medium_density_4,zone_1,east,surface_exterior_east,wtp_wall,2645.1,
wtp_mix_medium_density_5,zone_1,east,surface_exterior_east,wtp_wall,3856.4,
wtp_mix_medium_density_6,zone_1,east,surface_exterior_east,wtp_wall,1508.7,
wtp_mix_medium_density_7,zone_1,east,surface_exterior_east,wtp_wall,8660.8,
wtp_mix_medium_density_8,zone_1,east,surface_exterior_east,wtp_wall,4780.4,
wtp_mix_medium_density_9,zone_1,east,surface_exterior_east,wtp_wall,3186.9,
wtp_mix_medium_density_10,zone_1,east,surface_exterior_east,wtp_wall,4780.4,
wtp_mix_medium_density_11,zone_1,east,surface_exterior_east,wtp_wall,3186.9,
wtp_mix_medium_density_12,zone_1,east,surface_exterior_east,wtp_wall,2390.2,
wtp_mix_medium_density_13,zone_1,east,surface_exterior_east,wtp_wall,3186.9,
wtp_mix_medium_density_14,zone_1,east,surface_exterior_east,wtp_wall,1785.5,
wtp_mix_medium_density_15,zone_1,east,surface_exterior_east,wtp_wall,1787.6,
wtp_mix_medium_density_16,zone_1,east,surface_exterior_east,wtp_wall,1888.9,
wtp_mix_medium_density_17,zone_1,east,surface_exterior_east,wtp_wall,1868.8,
wtp_mix_medium_density_18,zone_1,east,surface_exterior_east,wtp_wall,1791.4,
wtp_mix_medium_density_19,zone_1,east,surface_exterior_east,wtp_wall,1808.4,
wtp_mix_medium_density_20,zone_1,east,surface_exterior_east,wtp_wall,1982.7,
wtp_mix_medium_density_21,zone_1,east,surface_exterior_east,wtp_wall,3705.9,
wtp_mix_medium_density_22,zone_1,east,surface_exterior_east,wtp_wall,2815.4,
wtp_mix_medium_density_1,zone_1,north,surface_exterior_north,wtp_wall,1845.3,
wtp_mix_medium_density_2,zone_1,north,surface_exterior_north,wtp_wall,1845.3,
wtp_mix_medium_density_3,zone_1,north,surface_exterior_north,wtp_wall,3856.4,
wtp_mix_medium_density_4,zone_1,north,surface_exterior_north,wtp_wall,2645.1,
wtp_mix_medium_density_5,zone_1,north,surface_exterior_north,wtp_wall,3856.4,
wtp_mix_medium_density_6,zone_1,north,surface_exterior_north,wtp_wall,1508.7,
wtp_mix_medium_density_7,zone_1,north,surface_exterior_north,wtp_wall,8660.8,
wtp_mix_medium_density_8,zone_1,north,surface_exterior_north,wtp_wall,4780.4,
wtp_mix_medium_density_9,zone_1,north,surface_exterior_north,wtp_wall,3186.9,
wtp_mix_medium_density_10,zone_1,north,surface_exterior_north,wtp_wall,4780.4,
wtp_mix_medium_density_11,zone_1,north,surface_exterior_north,wtp_wall,3186.9,
wtp_mix_medium_density_12,zone_1,north,surface_exterior_north,wtp_wall,2390.2,
wtp_mix_medium_density_13,zone_1,north,surface_exterior_north,wtp_wall,3186.9,
wtp_mix_medium_density_14,zone_1,north,surface_exterior_north,wtp_wall,1785.5,
wtp_mix_medium_density_15,zone_1,north,surface_exterior_north,wtp_wall,1787.6,
wtp_mix_medium_density_16,zone_1,north,surface_exterior_north,wtp_wall,1888.9,
wtp_mix_medium_density_17,zone_1,north,surface_exterior_north,wtp_wall,1868.8,
wtp_mix_medium_density_18,zone_1,north,surface_exterior_north,wtp_wall,1791.4,
wtp_mix_medium_density_19,zone_1,north,surface_exterior_north,wtp_wall,1808.4,
wtp_mix_medium_density_20,zone_1,north,surface_exterior_north,wtp_wall,1982.7,
wtp_mix_medium_density_21,zone_1,north,surface_exterior_north,wtp_wall,3705.9,
wtp_mix_medium_density_22,zone_1,north,surface_exterior_north,wtp_wall,2815.4,
wtp_mix_medium_density_1,zone_1,west,surface_exterior_west,wtp_wall,1845.3,
wtp_mix_medium_density_2,zone_1,west,surface_exterior_west,wtp_wall,1845.3,
wtp_mix_medium_density_3,zone_1,west,surface_exterior_west,wtp_wall,3856.4,
wtp_mix_medium_density_4,zone_1,west,surface_exterior_west,wtp_wall,2645.1,
wtp_mix_medium_density_5,zone_1,west,surface_exterior_west,wtp_wall,3856.4,
wtp_mix_medium_density_6,zone_1,west,surface_exterior_west,wtp_wall,1508.7,
wtp_mix_medium_density_7,zone_1,west,surface_exterior_west,wtp_wall,8660.8,
wtp_mix_medium_density_8,zone_1,west,surface_exterior_west,wtp_wall,4780.4,
wtp_mix_medium_density_9,zone_1,west,surface_exterior_west,wtp_wall,3186.9,
wtp_mix_medium_density_10,zone_1,west,surface_exterior_west,wtp_wall,4780.4,
wtp_mix_medium_density_11,zone_1,west,surface_exterior_west,wtp_wall,3186.9,
wtp_mix_medium_density_12,zone_1,west,surface_exterior_west,wtp_wall,2390.2,
wtp_mix_medium_density_13,zone_1,west,surface_exterior_west,wtp_wall,3186.9,
wtp_mix_medium_density_14,zone_1,west,surface_exterior_west,wtp_wall,1785.5,
wtp_mix_medium_density_15,zone_1,west,surface_exterior_west,wtp_wall,1787.6,
wtp_mix_medium_density_16,zone_1,west,surface_exterior_west,wtp_wall,1888.9,
wtp_mix_medium_density_17,zone_1,west,surface_exterior_west,wtp_wall,1868.8,
wtp_mix_medium_density_18,zone_1,west,surface_exterior_west,wtp_wall,1791.4,
wtp_mix_medium_density_19,zone_1,west,surface_exterior_west,wtp_wall,1808.4,
wtp_mix_medium_density_20,zone_1,west,surface_exterior_west,wtp_wall,1982.7,
wtp_mix_medium_density_21,zone_1,west,surface_exterior_west,wtp_wall,3705.9,
wtp_mix_medium_density_22,zone_1,west,surface_exterior_west,wtp_wall,2815.4,
