building_name,zone_name,zone_type,zone_height,zone_area,zone_comment
wtp_mix_medium_density_1,zone_1,wtp_office,3.5,46333.0,
wtp_mix_medium_density_2,zone_1,wtp_office,3.5,46333.0,
wtp_mix_medium_density_3,zone_1,wtp_office,3.5,67446.6,
wtp_mix_medium_density_4,zone_1,wtp_office,3.5,47598.4,
wtp_mix_medium_density_5,zone_1,wtp_office,3.5,67446.6,
wtp_mix_medium_density_6,zone_1,wtp_office,3.5,30971.8,
wtp_mix_medium_density_7,zone_1,wtp_office,3.5,111331.2,
wtp_mix_medium_density_8,zone_1,wtp_office,3.5,51819.7,
wtp_mix_medium_density_9,zone_1,wtp_office,3.5,34546.4,
wtp_mix_medium_density_10,zone_1,wtp_office,3.5,51819.7,
wtp_mix_medium_density_11,zone_1,wtp_office,3.5,34546.5,
wtp_mix_medium_density_12,zone_1,wtp_office,3.5,25909.8,
wtp_mix_medium_density_13,zone_1,wtp_office,3.5,34546.5,
wtp_mix_medium_density_14,zone_1,wtp_office,3.5,32532.3,
wtp_mix_medium_density_15,zone_1,wtp_office,3.5,32609.5,
wtp_mix_medium_density_16,zone_1,wtp_office,3.5,36407.7,
wtp_mix_medium_density_17,zone_1,wtp_office,3.5,35637.0,
wtp_mix_medium_density_18,zone_1,wtp_office,3.5,43662.8,
wtp_mix_medium_density_19,zone_1,wtp_office,3.5,33371.1,
wtp_mix_medium_density_20,zone_1,wtp_office,3.5,40115.0,
wtp_mix_medium_density_21,zone_1,wtp_office,3.5,93430.9,
wtp_mix_medium_density_22,zone_1,wtp_office,3.5,107844.9,
