zone_type,heat_capacity,infiltration_rate,internal_gain_type,window_type,blind_type,hvac_generic_type,hvac_radiator_type,hvac_ahu_type,hvac_tu_type,constraint_type
validation_zone_empty,heat_capacity_zone,infiltration_rate,create_office,,,default_generic_hvac,,,,create_office_constraints
validation_zone_empty_radiator,heat_capacity_zone,infiltration_rate,create_office,,,,mse_radiator_type_12,,,create_office_constraints
create_level8_open_plan_office,heat_capacity_zone,infiltration_rate,create_office,,,,,create_ahu,,create_office_constraints
create_level8_group_office,heat_capacity_zone,infiltration_rate,create_office,,,,,create_ahu,,create_office_constraints
wtp_office,47142.9,2.565e-05,cea_office,,,,,wtp_ahu,,wtp_office_constraints
university,heat_capacity_zone,infiltration_rate,cea_university,,,,,wtp_ahu,,cea_university
retail,heat_capacity_zone,infiltration_rate,cea_retail,,,,,wtp_ahu,,cea_retail
single_res,heat_capacity_zone,infiltration_rate,cea_single_res,,,,,wtp_ahu,,cea_single_res
multi_res,heat_capacity_zone,infiltration_rate,cea_multi_res,,,,,wtp_ahu,,cea_multi_res
school,heat_capacity_zone,infiltration_rate,cea_school,,,,,wtp_ahu,,cea_school
office,heat_capacity_zone,infiltration_rate,cea_office,,,,,wtp_ahu,,cea_office
hotel,heat_capacity_zone,infiltration_rate,cea_hotel,,,,,wtp_ahu,,cea_hotel
hospital,heat_capacity_zone,infiltration_rate,cea_hospital,,,,,wtp_ahu,,cea_hospital
industrial,heat_capacity_zone,infiltration_rate,cea_industrial,,,,,wtp_ahu,,cea_industrial
