"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Apr 2016","1","40.76","5251.739"
"USEP","01 Apr 2016","2","40.44","5144.914"
"USEP","01 Apr 2016","3","40.20","5057.233"
"USEP","01 Apr 2016","4","39.20","4997.554"
"USEP","01 Apr 2016","5","38.54","4945.567"
"USEP","01 Apr 2016","6","38.19","4890.246"
"USEP","01 Apr 2016","7","37.46","4852.281"
"USEP","01 Apr 2016","8","37.20","4835.060"
"USEP","01 Apr 2016","9","37.20","4800.796"
"USEP","01 Apr 2016","10","37.20","4824.290"
"USEP","01 Apr 2016","11","37.46","4902.537"
"USEP","01 Apr 2016","12","39.19","5051.384"
"USEP","01 Apr 2016","13","40.19","5213.729"
"USEP","01 Apr 2016","14","40.20","5322.492"
"USEP","01 Apr 2016","15","33.23","5479.634"
"USEP","01 Apr 2016","16","37.49","5761.696"
"USEP","01 Apr 2016","17","43.66","6037.382"
"USEP","01 Apr 2016","18","41.62","6226.724"
"USEP","01 Apr 2016","19","42.64","6376.093"
"USEP","01 Apr 2016","20","49.65","6460.468"
"USEP","01 Apr 2016","21","50.57","6547.876"
"USEP","01 Apr 2016","22","50.68","6583.843"
"USEP","01 Apr 2016","23","50.68","6575.787"
"USEP","01 Apr 2016","24","42.71","6521.465"
"USEP","01 Apr 2016","25","40.85","6471.074"
"USEP","01 Apr 2016","26","40.82","6495.129"
"USEP","01 Apr 2016","27","40.88","6543.293"
"USEP","01 Apr 2016","28","42.74","6591.030"
"USEP","01 Apr 2016","29","41.72","6600.945"
"USEP","01 Apr 2016","30","40.87","6595.135"
"USEP","01 Apr 2016","31","41.72","6601.999"
"USEP","01 Apr 2016","32","40.87","6600.369"
"USEP","01 Apr 2016","33","40.87","6588.242"
"USEP","01 Apr 2016","34","40.89","6542.990"
"USEP","01 Apr 2016","35","40.66","6463.505"
"USEP","01 Apr 2016","36","40.55","6324.156"
"USEP","01 Apr 2016","37","39.73","6215.547"
"USEP","01 Apr 2016","38","40.61","6193.291"
"USEP","01 Apr 2016","39","40.62","6181.139"
"USEP","01 Apr 2016","40","40.62","6132.717"
"USEP","01 Apr 2016","41","40.62","6087.922"
"USEP","01 Apr 2016","42","41.73","6027.159"
"USEP","01 Apr 2016","43","40.89","5944.026"
"USEP","01 Apr 2016","44","40.78","5846.455"
"USEP","01 Apr 2016","45","40.61","5729.416"
"USEP","01 Apr 2016","46","40.51","5614.475"
"USEP","01 Apr 2016","47","40.44","5508.261"
"USEP","01 Apr 2016","48","38.56","5380.428"
"USEP","02 Apr 2016","1","40.48","5244.523"
"USEP","02 Apr 2016","2","39.99","5140.849"
"USEP","02 Apr 2016","3","40.00","5059.942"
"USEP","02 Apr 2016","4","40.57","4985.303"
"USEP","02 Apr 2016","5","40.46","4929.291"
"USEP","02 Apr 2016","6","40.05","4869.034"
"USEP","02 Apr 2016","7","39.99","4821.362"
"USEP","02 Apr 2016","8","39.99","4803.311"
"USEP","02 Apr 2016","9","37.47","4781.080"
"USEP","02 Apr 2016","10","37.46","4783.198"
"USEP","02 Apr 2016","11","38.53","4818.415"
"USEP","02 Apr 2016","12","39.99","4872.618"
"USEP","02 Apr 2016","13","39.99","4915.633"
"USEP","02 Apr 2016","14","38.53","4973.186"
"USEP","02 Apr 2016","15","40.22","5042.294"
"USEP","02 Apr 2016","16","40.53","5231.770"
"USEP","02 Apr 2016","17","41.68","5477.854"
