"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","28 Apr 2016","1","50.10","0.00","5326.349","0.000"
"USEP","28 Apr 2016","2","44.04","0.00","5217.759","0.000"
"USEP","28 Apr 2016","3","43.20","0.00","5102.346","0.000"
"USEP","28 Apr 2016","4","40.51","0.00","5025.644","0.000"
"USEP","28 Apr 2016","5","39.62","0.00","4972.102","0.000"
"USEP","28 Apr 2016","6","39.48","0.00","4926.751","0.000"
"USEP","28 Apr 2016","7","39.47","0.00","4888.969","0.000"
"USEP","28 Apr 2016","8","38.24","0.00","4863.667","0.000"
"USEP","28 Apr 2016","9","38.24","0.00","4850.437","0.000"
"USEP","28 Apr 2016","10","38.24","0.00","4866.246","0.000"
"USEP","28 Apr 2016","11","39.48","0.00","4928.033","0.000"
"USEP","28 Apr 2016","12","40.14","0.00","5051.747","0.000"
"USEP","28 Apr 2016","13","43.31","0.00","5216.179","0.000"
"USEP","28 Apr 2016","14","46.26","0.00","5361.397","0.000"
"USEP","28 Apr 2016","15","38.84","0.00","5554.154","0.000"
"USEP","28 Apr 2016","16","39.86","0.00","5831.306","0.000"
"USEP","28 Apr 2016","17","42.68","0.00","6107.370","0.000"
"USEP","28 Apr 2016","18","42.67","0.00","6337.769","0.000"
"USEP","28 Apr 2016","19","44.73","0.00","6479.150","0.000"
"USEP","28 Apr 2016","20","50.56","0.00","6571.245","0.000"
"USEP","28 Apr 2016","21","51.52","0.00","6646.108","0.000"
"USEP","28 Apr 2016","22","52.90","0.00","6694.133","0.000"
"USEP","28 Apr 2016","23","52.90","0.00","6702.532","0.000"
"USEP","28 Apr 2016","24","51.53","0.00","6654.716","0.000"
"USEP","28 Apr 2016","25","51.35","0.00","6614.995","0.000"
"USEP","28 Apr 2016","26","51.34","0.00","6620.497","0.000"
"USEP","28 Apr 2016","27","51.53","0.00","6659.328","0.000"
"USEP","28 Apr 2016","28","52.90","0.00","6691.891","0.000"
"USEP","28 Apr 2016","29","52.90","0.00","6706.011","0.000"
"USEP","28 Apr 2016","30","52.90","0.00","6705.638","0.000"
"USEP","28 Apr 2016","31","52.90","0.00","6701.836","0.000"
"USEP","28 Apr 2016","32","52.89","0.00","6696.066","0.000"
"USEP","28 Apr 2016","33","51.52","0.00","6669.601","0.000"
"USEP","28 Apr 2016","34","51.11","0.00","6622.142","0.000"
"USEP","28 Apr 2016","35","46.04","0.00","6538.050","0.000"
"USEP","28 Apr 2016","36","42.69","0.00","6385.128","0.000"
"USEP","28 Apr 2016","37","42.25","0.00","6268.383","0.000"
"USEP","28 Apr 2016","38","42.68","0.00","6259.417","0.000"
"USEP","28 Apr 2016","39","43.42","0.00","6275.450","0.000"
"USEP","28 Apr 2016","40","43.42","0.00","6256.748","0.000"
"USEP","28 Apr 2016","41","42.70","0.00","6219.135","0.000"
"USEP","28 Apr 2016","42","51.10","0.00","6177.412","0.000"
"USEP","28 Apr 2016","43","50.61","0.00","6108.379","0.000"
"USEP","28 Apr 2016","44","51.08","0.00","6001.533","0.000"
"USEP","28 Apr 2016","45","42.72","0.00","5873.780","0.000"
"USEP","28 Apr 2016","46","41.66","0.00","5757.581","0.000"
"USEP","28 Apr 2016","47","40.55","0.00","5634.355","0.000"
"USEP","28 Apr 2016","48","38.83","0.00","5447.925","0.000"
"USEP","29 Apr 2016","1","49.38","0.00","5257.624","0.000"
"USEP","29 Apr 2016","2","47.27","0.00","5145.968","0.000"
"USEP","29 Apr 2016","3","47.27","0.00","5123.568","0.000"
"USEP","29 Apr 2016","4","44.94","0.00","5068.406","0.000"
"USEP","29 Apr 2016","5","43.31","0.00","5011.077","0.000"
"USEP","29 Apr 2016","6","40.56","0.00","4963.554","0.000"
"USEP","29 Apr 2016","7","40.37","0.00","4927.492","0.000"
"USEP","29 Apr 2016","8","40.24","0.00","4908.238","0.000"
"USEP","29 Apr 2016","9","40.24","0.00","4908.442","0.000"
"USEP","29 Apr 2016","10","40.36","0.00","4923.719","0.000"
"USEP","29 Apr 2016","11","40.56","0.00","4983.737","0.000"
"USEP","29 Apr 2016","12","43.48","0.00","5092.004","0.000"
"USEP","29 Apr 2016","13","49.39","0.00","5261.620","0.000"
"USEP","29 Apr 2016","14","50.28","0.00","5390.691","0.000"
"USEP","29 Apr 2016","15","40.57","0.00","5566.524","0.000"
"USEP","29 Apr 2016","16","42.64","0.00","5865.355","0.000"
"USEP","29 Apr 2016","17","44.72","0.00","6160.797","0.000"
"USEP","29 Apr 2016","18","43.91","0.00","6357.271","0.000"
"USEP","29 Apr 2016","19","48.31","0.00","6506.868","0.000"
"USEP","29 Apr 2016","20","47.61","0.00","6596.482","0.000"
"USEP","29 Apr 2016","21","46.60","0.00","6667.856","0.000"
"USEP","29 Apr 2016","22","48.59","0.00","6707.393","0.000"
"USEP","29 Apr 2016","23","51.48","0.00","6711.652","0.000"
"USEP","29 Apr 2016","24","51.89","0.00","6658.011","0.000"
"USEP","29 Apr 2016","25","51.53","0.00","6611.412","0.000"
"USEP","29 Apr 2016","26","51.54","0.00","6630.825","0.000"
"USEP","29 Apr 2016","27","57.76","0.00","6676.121","0.000"
"USEP","29 Apr 2016","28","80.20","0.00","6692.612","0.000"
"USEP","29 Apr 2016","29","71.43","0.00","6637.490","0.000"
"USEP","29 Apr 2016","30","53.91","0.00","6549.635","0.000"
"USEP","29 Apr 2016","31","51.03","0.00","6482.212","0.000"
"USEP","29 Apr 2016","32","46.28","0.00","6462.476","0.000"
"USEP","29 Apr 2016","33","44.18","0.00","6438.054","0.000"
"USEP","29 Apr 2016","34","42.69","0.00","6388.617","0.000"
"USEP","29 Apr 2016","35","42.68","0.00","6305.399","0.000"
"USEP","29 Apr 2016","36","40.62","0.00","6184.062","0.000"
"USEP","29 Apr 2016","37","40.86","0.00","6098.473","0.000"
"USEP","29 Apr 2016","38","41.63","0.00","6100.963","0.000"
"USEP","29 Apr 2016","39","42.40","0.00","6113.035","0.000"
"USEP","29 Apr 2016","40","42.65","0.00","6091.858","0.000"
"USEP","29 Apr 2016","41","42.65","0.00","6060.681","0.000"
"USEP","29 Apr 2016","42","43.75","0.00","6002.836","0.000"
"USEP","29 Apr 2016","43","43.91","0.00","5940.179","0.000"
"USEP","29 Apr 2016","44","43.39","0.00","5849.054","0.000"
"USEP","29 Apr 2016","45","42.67","0.00","5723.606","0.000"
"USEP","29 Apr 2016","46","41.85","0.00","5621.637","0.000"
"USEP","29 Apr 2016","47","42.36","0.00","5513.057","0.000"
"USEP","29 Apr 2016","48","41.81","0.00","5395.755","0.000"
"USEP","30 Apr 2016","1","47.28","0.00","5280.078","0.000"
"USEP","30 Apr 2016","2","43.59","0.00","5173.551","0.000"
"USEP","30 Apr 2016","3","40.60","0.00","5088.187","0.000"
"USEP","30 Apr 2016","4","40.25","0.00","5006.425","0.000"
"USEP","30 Apr 2016","5","39.66","0.00","4956.904","0.000"
"USEP","30 Apr 2016","6","39.47","0.00","4897.319","0.000"
"USEP","30 Apr 2016","7","36.19","0.00","4850.342","0.000"
"USEP","30 Apr 2016","8","35.64","0.00","4836.218","0.000"
"USEP","30 Apr 2016","9","34.55","0.00","4809.926","0.000"
"USEP","30 Apr 2016","10","34.56","0.00","4815.145","0.000"
"USEP","30 Apr 2016","11","34.55","0.00","4820.378","0.000"
"USEP","30 Apr 2016","12","35.61","0.00","4874.591","0.000"
"USEP","30 Apr 2016","13","39.47","0.00","4951.358","0.000"
"USEP","30 Apr 2016","14","39.48","0.00","4985.576","0.000"
"USEP","30 Apr 2016","15","39.48","0.00","5061.736","0.000"
"USEP","30 Apr 2016","16","40.83","0.00","5255.308","0.000"
"USEP","30 Apr 2016","17","41.60","0.00","5478.560","0.000"
"USEP","30 Apr 2016","18","40.59","0.00","5653.246","0.000"
"USEP","30 Apr 2016","19","43.73","0.00","5760.146","0.000"
"USEP","30 Apr 2016","20","44.75","0.00","5854.869","0.000"
"USEP","30 Apr 2016","21","44.92","0.00","5941.749","0.000"
"USEP","30 Apr 2016","22","51.05","0.00","5992.995","0.000"
"USEP","30 Apr 2016","23","51.05","0.00","5997.349","0.000"
"USEP","30 Apr 2016","24","46.88","0.00","5963.473","0.000"
"USEP","30 Apr 2016","25","44.39","0.00","5915.538","0.000"
"USEP","30 Apr 2016","26","43.83","0.00","5888.048","0.000"
"USEP","30 Apr 2016","27","43.38","0.00","5870.161","0.000"
"USEP","30 Apr 2016","28","42.64","0.00","5853.616","0.000"
"USEP","30 Apr 2016","29","43.37","0.00","5831.808","0.000"
"USEP","30 Apr 2016","30","42.64","0.00","5809.319","0.000"
"USEP","30 Apr 2016","31","58.81","0.00","5794.816","0.000"
"USEP","30 Apr 2016","32","56.07","0.00","5781.372","0.000"
"USEP","30 Apr 2016","33","52.78","0.00","5728.969","0.000"
"USEP","30 Apr 2016","34","44.78","0.00","5642.103","0.000"
"USEP","30 Apr 2016","35","42.37","0.00","5575.908","0.000"
"USEP","30 Apr 2016","36","41.37","0.00","5525.263","0.000"
"USEP","30 Apr 2016","37","41.57","0.00","5524.413","0.000"
"USEP","30 Apr 2016","38","42.60","0.00","5593.019","0.000"
"USEP","30 Apr 2016","39","43.62","0.00","5668.394","0.000"
"USEP","30 Apr 2016","40","43.63","0.00","5690.297","0.000"
"USEP","30 Apr 2016","41","43.59","0.00","5692.946","0.000"
"USEP","30 Apr 2016","42","44.89","0.00","5669.508","0.000"
"USEP","30 Apr 2016","43","44.38","0.00","5628.868","0.000"
"USEP","30 Apr 2016","44","43.87","0.00","5567.329","0.000"
"USEP","30 Apr 2016","45","42.61","0.00","5478.540","0.000"
"USEP","30 Apr 2016","46","42.36","0.00","5399.164","0.000"
"USEP","30 Apr 2016","47","41.85","0.00","5313.835","0.000"
"USEP","30 Apr 2016","48","44.37","0.00","5230.080","0.000"
