"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Apr 2010","1","159.13","4539.424"
"USEP","01 Apr 2010","2","159.03","4433.966"
"USEP","01 Apr 2010","3","153.86","4364.068"
"USEP","01 Apr 2010","4","143.78","4312.558"
"USEP","01 Apr 2010","5","138.74","4267.346"
"USEP","01 Apr 2010","6","133.82","4216.677"
"USEP","01 Apr 2010","7","128.01","4180.322"
"USEP","01 Apr 2010","8","127.99","4152.922"
"USEP","01 Apr 2010","9","127.99","4161.038"
"USEP","01 Apr 2010","10","128.02","4180.212"
"USEP","01 Apr 2010","11","128.02","4226.751"
"USEP","01 Apr 2010","12","138.75","4323.279"
"USEP","01 Apr 2010","13","156.69","4459.114"
"USEP","01 Apr 2010","14","156.70","4567.708"
"USEP","01 Apr 2010","15","131.21","4725.362"
"USEP","01 Apr 2010","16","131.29","4995.670"
"USEP","01 Apr 2010","17","157.00","5290.749"
"USEP","01 Apr 2010","18","157.02","5525.368"
"USEP","01 Apr 2010","19","158.13","5644.185"
"USEP","01 Apr 2010","20","163.19","5734.436"
"USEP","01 Apr 2010","21","171.45","5824.885"
"USEP","01 Apr 2010","22","177.53","5878.854"
"USEP","01 Apr 2010","23","171.61","5892.049"
"USEP","01 Apr 2010","24","176.31","5842.310"
"USEP","01 Apr 2010","25","171.46","5783.405"
"USEP","01 Apr 2010","26","171.46","5806.292"
"USEP","01 Apr 2010","27","179.64","5855.435"
"USEP","01 Apr 2010","28","183.34","5883.218"
"USEP","01 Apr 2010","29","179.68","5843.761"
"USEP","01 Apr 2010","30","177.51","5829.397"
"USEP","01 Apr 2010","31","175.25","5783.987"
"USEP","01 Apr 2010","32","169.29","5747.263"
"USEP","01 Apr 2010","33","169.29","5740.603"
"USEP","01 Apr 2010","34","169.21","5740.355"
"USEP","01 Apr 2010","35","169.19","5689.706"
"USEP","01 Apr 2010","36","163.07","5582.458"
"USEP","01 Apr 2010","37","164.90","5499.434"
"USEP","01 Apr 2010","38","165.01","5502.083"
"USEP","01 Apr 2010","39","165.02","5511.834"
"USEP","01 Apr 2010","40","163.11","5493.679"
"USEP","01 Apr 2010","41","163.12","5451.041"
"USEP","01 Apr 2010","42","171.47","5375.443"
"USEP","01 Apr 2010","43","171.12","5280.004"
"USEP","01 Apr 2010","44","169.20","5165.137"
"USEP","01 Apr 2010","45","168.95","5026.638"
"USEP","01 Apr 2010","46","165.87","4887.314"
"USEP","01 Apr 2010","47","145.91","4752.294"
"USEP","01 Apr 2010","48","131.26","4612.001"
"USEP","02 Apr 2010","1","150.74","4508.048"
"USEP","02 Apr 2010","2","168.79","4407.252"
"USEP","02 Apr 2010","3","168.84","4308.473"
"USEP","02 Apr 2010","4","162.69","4226.478"
"USEP","02 Apr 2010","5","165.68","4234.823"
"USEP","02 Apr 2010","6","165.71","4238.028"
"USEP","02 Apr 2010","7","160.88","4192.354"
"USEP","02 Apr 2010","8","133.80","4128.047"
"USEP","02 Apr 2010","9","131.15","4117.769"
"USEP","02 Apr 2010","10","131.15","4119.275"
"USEP","02 Apr 2010","11","133.77","4126.049"
"USEP","02 Apr 2010","12","133.84","4147.281"
"USEP","02 Apr 2010","13","160.84","4194.297"
"USEP","02 Apr 2010","14","150.79","4185.848"
"USEP","02 Apr 2010","15","150.65","4182.031"
"USEP","02 Apr 2010","16","163.71","4278.584"
"USEP","02 Apr 2010","17","171.01","4488.173"
"USEP","02 Apr 2010","18","382.28","4655.339"
"USEP","02 Apr 2010","19","168.83","4683.837"
"USEP","02 Apr 2010","20","164.80","4730.973"
"USEP","02 Apr 2010","21","158.79","4805.851"
"USEP","02 Apr 2010","22","156.79","4855.606"
"USEP","02 Apr 2010","23","152.80","4871.778"
"USEP","02 Apr 2010","24","140.73","4875.033"
"USEP","02 Apr 2010","25","140.74","4866.589"
"USEP","02 Apr 2010","26","140.74","4871.788"
"USEP","02 Apr 2010","27","140.75","4878.627"
"USEP","02 Apr 2010","28","140.70","4860.138"
"USEP","02 Apr 2010","29","140.70","4822.943"
"USEP","02 Apr 2010","30","140.86","4796.418"
"USEP","02 Apr 2010","31","137.86","4783.257"
"USEP","02 Apr 2010","32","138.92","4848.633"
"USEP","02 Apr 2010","33","136.87","4831.670"
"USEP","02 Apr 2010","34","133.89","4788.858"
"USEP","02 Apr 2010","35","150.87","4744.158"
"USEP","02 Apr 2010","36","150.78","4734.954"
"USEP","02 Apr 2010","37","154.01","4793.779"
"USEP","02 Apr 2010","38","154.05","4875.381"
"USEP","02 Apr 2010","39","158.01","4940.279"
"USEP","02 Apr 2010","40","158.00","4938.987"
"USEP","02 Apr 2010","41","169.12","4955.875"
"USEP","02 Apr 2010","42","171.14","4974.910"
"USEP","02 Apr 2010","43","169.13","4949.116"
"USEP","02 Apr 2010","44","159.05","4882.538"
"USEP","02 Apr 2010","45","160.90","4804.638"
"USEP","02 Apr 2010","46","153.87","4714.612"
"USEP","02 Apr 2010","47","148.78","4593.170"
"USEP","02 Apr 2010","48","131.18","4416.372"
"USEP","03 Apr 2010","1","128.16","4339.456"
"USEP","03 Apr 2010","2","131.14","4348.243"
"USEP","03 Apr 2010","3","131.13","4329.705"
"USEP","03 Apr 2010","4","128.13","4274.767"
"USEP","03 Apr 2010","5","128.00","4217.279"
"USEP","03 Apr 2010","6","127.89","4151.953"
"USEP","03 Apr 2010","7","127.86","4100.051"
"USEP","03 Apr 2010","8","127.87","4073.670"
"USEP","03 Apr 2010","9","127.85","4063.089"
"USEP","03 Apr 2010","10","127.85","4074.784"
"USEP","03 Apr 2010","11","127.94","4100.707"
"USEP","03 Apr 2010","12","127.97","4138.882"
"USEP","03 Apr 2010","13","128.07","4217.651"
"USEP","03 Apr 2010","14","131.10","4274.086"
"USEP","03 Apr 2010","15","128.16","4376.179"
"USEP","03 Apr 2010","16","128.04","4477.031"
"USEP","03 Apr 2010","17","128.22","4663.575"
"USEP","03 Apr 2010","18","130.89","4848.931"
"USEP","03 Apr 2010","19","131.29","5032.682"
"USEP","03 Apr 2010","20","166.17","5268.508"
"USEP","03 Apr 2010","21","171.43","5329.291"
"USEP","03 Apr 2010","22","171.41","5342.521"
"USEP","03 Apr 2010","23","171.46","5342.447"
"USEP","03 Apr 2010","24","171.37","5297.876"
