"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Apr 2012","1","217.27","4482.299"
"USEP","01 Apr 2012","2","188.16","4336.897"
"USEP","01 Apr 2012","3","180.97","4240.936"
"USEP","01 Apr 2012","4","179.91","4174.646"
"USEP","01 Apr 2012","5","179.62","4110.707"
"USEP","01 Apr 2012","6","179.31","4067.995"
"USEP","01 Apr 2012","7","179.20","4040.332"
"USEP","01 Apr 2012","8","178.84","3992.018"
"USEP","01 Apr 2012","9","178.55","3961.015"
"USEP","01 Apr 2012","10","178.57","3962.159"
"USEP","01 Apr 2012","11","178.69","3978.023"
"USEP","01 Apr 2012","12","179.09","4020.074"
"USEP","01 Apr 2012","13","179.57","4090.857"
"USEP","01 Apr 2012","14","179.58","4104.723"
"USEP","01 Apr 2012","15","179.33","4091.607"
"USEP","01 Apr 2012","16","179.58","4176.495"
"USEP","01 Apr 2012","17","180.07","4324.223"
"USEP","01 Apr 2012","18","199.49","4491.429"
"USEP","01 Apr 2012","19","183.75","4608.457"
"USEP","01 Apr 2012","20","186.56","4724.358"
"USEP","01 Apr 2012","21","184.62","4808.475"
"USEP","01 Apr 2012","22","191.76","4877.538"
"USEP","01 Apr 2012","23","191.78","4895.813"
"USEP","01 Apr 2012","24","191.79","4868.364"
"USEP","01 Apr 2012","25","201.46","4838.042"
"USEP","01 Apr 2012","26","199.30","4848.797"
"USEP","01 Apr 2012","27","201.21","4867.847"
"USEP","01 Apr 2012","28","205.07","4888.517"
"USEP","01 Apr 2012","29","205.06","4882.737"
"USEP","01 Apr 2012","30","200.11","4858.627"
"USEP","01 Apr 2012","31","199.27","4836.814"
"USEP","01 Apr 2012","32","198.85","4834.031"
"USEP","01 Apr 2012","33","198.49","4827.843"
"USEP","01 Apr 2012","34","198.51","4819.320"
"USEP","01 Apr 2012","35","191.81","4784.758"
"USEP","01 Apr 2012","36","191.80","4790.956"
"USEP","01 Apr 2012","37","199.28","4832.142"
"USEP","01 Apr 2012","38","212.19","4930.891"
"USEP","01 Apr 2012","39","224.48","5012.320"
"USEP","01 Apr 2012","40","230.01","5035.370"
"USEP","01 Apr 2012","41","234.15","5063.560"
"USEP","01 Apr 2012","42","246.96","5090.398"
"USEP","01 Apr 2012","43","246.92","5084.613"
"USEP","01 Apr 2012","44","224.53","5006.370"
"USEP","01 Apr 2012","45","207.35","4890.699"
"USEP","01 Apr 2012","46","214.40","4792.327"
"USEP","01 Apr 2012","47","223.16","4682.500"
"USEP","01 Apr 2012","48","211.62","4585.764"
"USEP","02 Apr 2012","1","200.93","4485.763"
"USEP","02 Apr 2012","2","199.17","4403.370"
"USEP","02 Apr 2012","3","191.62","4268.743"
"USEP","02 Apr 2012","4","186.30","4219.624"
"USEP","02 Apr 2012","5","180.54","4149.716"
"USEP","02 Apr 2012","6","180.53","4123.430"
"USEP","02 Apr 2012","7","178.52","4090.509"
"USEP","02 Apr 2012","8","177.33","4070.003"
"USEP","02 Apr 2012","9","169.90","4060.709"
"USEP","02 Apr 2012","10","170.00","4094.435"
"USEP","02 Apr 2012","11","179.79","4187.598"
"USEP","02 Apr 2012","12","186.30","4344.506"
"USEP","02 Apr 2012","13","197.53","4539.230"
"USEP","02 Apr 2012","14","191.83","4712.822"
"USEP","02 Apr 2012","15","191.84","4878.890"
"USEP","02 Apr 2012","16","186.49","5107.256"
"USEP","02 Apr 2012","17","198.69","5330.325"
"USEP","02 Apr 2012","18","200.17","5564.889"
"USEP","02 Apr 2012","19","219.49","5669.582"
"USEP","02 Apr 2012","20","224.58","5725.505"
"USEP","02 Apr 2012","21","234.06","5802.609"
"USEP","02 Apr 2012","22","234.06","5853.825"
"USEP","02 Apr 2012","23","234.04","5850.222"
"USEP","02 Apr 2012","24","233.98","5819.671"
"USEP","02 Apr 2012","25","231.63","5797.793"
"USEP","02 Apr 2012","26","231.05","5787.823"
"USEP","02 Apr 2012","27","232.63","5795.184"
"USEP","02 Apr 2012","28","234.06","5843.910"
"USEP","02 Apr 2012","29","234.05","5861.429"
"USEP","02 Apr 2012","30","234.04","5863.034"
"USEP","02 Apr 2012","31","238.10","5879.500"
"USEP","02 Apr 2012","32","238.07","5881.359"
"USEP","02 Apr 2012","33","238.08","5877.095"
"USEP","02 Apr 2012","34","234.66","5860.132"
"USEP","02 Apr 2012","35","233.96","5808.479"
"USEP","02 Apr 2012","36","216.27","5673.414"
"USEP","02 Apr 2012","37","198.98","5575.878"
"USEP","02 Apr 2012","38","231.36","5616.070"
"USEP","02 Apr 2012","39","231.46","5643.281"
"USEP","02 Apr 2012","40","223.09","5582.205"
"USEP","02 Apr 2012","41","196.27","5521.407"
"USEP","02 Apr 2012","42","207.42","5439.849"
"USEP","02 Apr 2012","43","223.60","5373.027"
"USEP","02 Apr 2012","44","200.76","5269.060"
"USEP","02 Apr 2012","45","191.11","5109.866"
"USEP","02 Apr 2012","46","196.41","4964.891"
"USEP","02 Apr 2012","47","191.05","4826.929"
"USEP","02 Apr 2012","48","191.04","4688.862"
"USEP","03 Apr 2012","1","200.90","4559.334"
"USEP","03 Apr 2012","2","200.83","4455.083"
"USEP","03 Apr 2012","3","199.38","4349.073"
"USEP","03 Apr 2012","4","191.66","4284.051"
"USEP","03 Apr 2012","5","188.97","4221.289"
"USEP","03 Apr 2012","6","181.40","4186.972"
"USEP","03 Apr 2012","7","181.12","4171.033"
"USEP","03 Apr 2012","8","181.07","4148.901"
"USEP","03 Apr 2012","9","181.07","4148.434"
"USEP","03 Apr 2012","10","181.13","4182.762"
"USEP","03 Apr 2012","11","191.67","4272.187"
"USEP","03 Apr 2012","12","200.72","4412.132"
"USEP","03 Apr 2012","13","211.23","4567.544"
"USEP","03 Apr 2012","14","281.74","4707.957"
"USEP","03 Apr 2012","15","473.24","4877.235"
"USEP","03 Apr 2012","16","219.55","5131.898"
"USEP","03 Apr 2012","17","228.94","5414.353"
"USEP","03 Apr 2012","18","292.52","5648.266"
"USEP","03 Apr 2012","19","242.12","5786.412"
"USEP","03 Apr 2012","20","242.17","5864.501"
"USEP","03 Apr 2012","21","306.78","5944.905"
"USEP","03 Apr 2012","22","317.48","5978.214"
"USEP","03 Apr 2012","23","327.61","5924.667"
"USEP","03 Apr 2012","24","255.70","5830.059"
"USEP","03 Apr 2012","25","242.18","5780.344"
"USEP","03 Apr 2012","26","234.06","5795.363"
"USEP","03 Apr 2012","27","226.63","5814.746"
"USEP","03 Apr 2012","28","238.12","5855.152"
"USEP","03 Apr 2012","29","241.75","5883.566"
"USEP","03 Apr 2012","30","242.17","5893.645"
"USEP","03 Apr 2012","31","251.86","5931.645"
"USEP","03 Apr 2012","32","261.92","5953.667"
"USEP","03 Apr 2012","33","282.09","5945.372"
"USEP","03 Apr 2012","34","242.20","5904.191"
"USEP","03 Apr 2012","35","238.13","5837.126"
"USEP","03 Apr 2012","36","234.02","5718.755"
"USEP","03 Apr 2012","37","201.29","5608.844"
"USEP","03 Apr 2012","38","218.35","5637.903"
"USEP","03 Apr 2012","39","218.38","5665.527"
"USEP","03 Apr 2012","40","201.79","5634.409"
"USEP","03 Apr 2012","41","200.45","5621.145"
"USEP","03 Apr 2012","42","221.55","5555.650"
"USEP","03 Apr 2012","43","215.63","5465.574"
"USEP","03 Apr 2012","44","199.60","5333.511"
"USEP","03 Apr 2012","45","261.47","5164.238"
"USEP","03 Apr 2012","46","222.11","5077.605"
"USEP","03 Apr 2012","47","211.12","4954.881"
"USEP","03 Apr 2012","48","211.12","4842.703"
"USEP","04 Apr 2012","1","221.18","4726.997"
"USEP","04 Apr 2012","2","221.12","4613.964"
"USEP","04 Apr 2012","3","200.71","4459.725"
"USEP","04 Apr 2012","4","198.11","4391.706"
"USEP","04 Apr 2012","5","193.76","4342.647"
"USEP","04 Apr 2012","6","191.63","4293.339"
"USEP","04 Apr 2012","7","191.09","4258.743"
"USEP","04 Apr 2012","8","190.90","4243.654"
"USEP","04 Apr 2012","9","188.05","4239.907"
"USEP","04 Apr 2012","10","190.83","4274.399"
"USEP","04 Apr 2012","11","191.53","4359.729"
"USEP","04 Apr 2012","12","221.08","4491.384"
"USEP","04 Apr 2012","13","220.97","4619.565"
"USEP","04 Apr 2012","14","210.92","4713.101"
"USEP","04 Apr 2012","15","199.20","4854.964"
