"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Apr 2018","1","96.09","0.00","5155.615","0.000"
"USEP","01 Apr 2018","2","96.08","0.00","5058.203","0.000"
"USEP","01 Apr 2018","3","95.29","0.00","5005.943","0.000"
"USEP","01 Apr 2018","4","94.52","0.00","4938.585","0.000"
"USEP","01 Apr 2018","5","93.82","0.00","4878.741","0.000"
"USEP","01 Apr 2018","6","92.48","0.00","4842.768","0.000"
"USEP","01 Apr 2018","7","92.03","0.00","4797.849","0.000"
"USEP","01 Apr 2018","8","90.67","0.00","4773.456","0.000"
"USEP","01 Apr 2018","9","90.15","0.00","4746.966","0.000"
"USEP","01 Apr 2018","10","90.19","0.00","4752.881","0.000"
"USEP","01 Apr 2018","11","90.70","0.00","4792.576","0.000"
"USEP","01 Apr 2018","12","92.46","0.00","4844.135","0.000"
"USEP","01 Apr 2018","13","92.46","0.00","4862.201","0.000"
"USEP","01 Apr 2018","14","93.03","0.00","4896.812","0.000"
"USEP","01 Apr 2018","15","92.48","0.00","4947.073","0.000"
"USEP","01 Apr 2018","16","93.84","0.00","5032.021","0.000"
"USEP","01 Apr 2018","17","93.80","0.00","5146.360","0.000"
"USEP","01 Apr 2018","18","94.56","0.00","5260.690","0.000"
"USEP","01 Apr 2018","19","95.77","0.00","5371.188","0.000"
"USEP","01 Apr 2018","20","98.65","0.00","5463.074","0.000"
"USEP","01 Apr 2018","21","113.90","0.00","5535.034","0.000"
"USEP","01 Apr 2018","22","95.92","0.00","5568.721","0.000"
"USEP","01 Apr 2018","23","96.72","0.00","5585.077","0.000"
"USEP","01 Apr 2018","24","94.52","0.00","5561.862","0.000"
"USEP","01 Apr 2018","25","95.63","0.00","5559.526","0.000"
"USEP","01 Apr 2018","26","94.53","0.00","5565.714","0.000"
"USEP","01 Apr 2018","27","94.53","0.00","5591.518","0.000"
"USEP","01 Apr 2018","28","95.65","0.00","5613.342","0.000"
"USEP","01 Apr 2018","29","95.64","0.00","5607.701","0.000"
"USEP","01 Apr 2018","30","94.53","0.00","5621.587","0.000"
"USEP","01 Apr 2018","31","96.15","0.00","5608.884","0.000"
"USEP","01 Apr 2018","32","94.54","0.00","5600.484","0.000"
"USEP","01 Apr 2018","33","94.55","0.00","5604.525","0.000"
"USEP","01 Apr 2018","34","94.53","0.00","5572.538","0.000"
"USEP","01 Apr 2018","35","94.54","0.00","5557.101","0.000"
"USEP","01 Apr 2018","36","94.52","0.00","5530.576","0.000"
"USEP","01 Apr 2018","37","94.52","0.00","5561.495","0.000"
"USEP","01 Apr 2018","38","96.71","0.00","5642.506","0.000"
"USEP","01 Apr 2018","39","133.94","0.00","5718.557","0.000"
"USEP","01 Apr 2018","40","149.20","0.00","5752.477","0.000"
"USEP","01 Apr 2018","41","152.62","0.00","5756.199","0.000"
"USEP","01 Apr 2018","42","170.21","0.00","5784.175","0.000"
"USEP","01 Apr 2018","43","172.70","0.00","5773.490","0.000"
"USEP","01 Apr 2018","44","135.44","0.00","5678.767","0.000"
"USEP","01 Apr 2018","45","96.39","0.00","5553.751","0.000"
"USEP","01 Apr 2018","46","94.29","0.00","5458.203","0.000"
"USEP","01 Apr 2018","47","94.42","0.00","5326.926","0.000"
"USEP","01 Apr 2018","48","93.89","0.00","5196.433","0.000"
"USEP","02 Apr 2018","1","93.83","0.00","5054.271","0.000"
"USEP","02 Apr 2018","2","93.82","0.00","4959.513","0.000"
"USEP","02 Apr 2018","3","93.72","0.00","4909.540","0.000"
"USEP","02 Apr 2018","4","93.88","0.00","4848.866","0.000"
"USEP","02 Apr 2018","5","93.52","0.00","4799.604","0.000"
"USEP","02 Apr 2018","6","92.44","0.00","4763.049","0.000"
"USEP","02 Apr 2018","7","92.18","0.00","4734.924","0.000"
"USEP","02 Apr 2018","8","92.18","0.00","4726.594","0.000"
"USEP","02 Apr 2018","9","90.02","0.00","4729.392","0.000"
"USEP","02 Apr 2018","10","87.55","0.00","4757.359","0.000"
"USEP","02 Apr 2018","11","86.66","0.00","4858.056","0.000"
"USEP","02 Apr 2018","12","87.58","0.00","5012.787","0.000"
"USEP","02 Apr 2018","13","91.77","0.00","5205.658","0.000"
"USEP","02 Apr 2018","14","92.51","0.00","5385.626","0.000"
"USEP","02 Apr 2018","15","82.33","0.00","5591.717","0.000"
"USEP","02 Apr 2018","16","88.87","0.00","5872.845","0.000"
"USEP","02 Apr 2018","17","94.66","0.00","6158.635","0.000"
"USEP","02 Apr 2018","18","92.49","0.00","6346.630","0.000"
"USEP","02 Apr 2018","19","94.24","0.00","6455.791","0.000"
"USEP","02 Apr 2018","20","96.78","0.00","6550.440","0.000"
"USEP","02 Apr 2018","21","97.45","0.00","6616.104","0.000"
"USEP","02 Apr 2018","22","98.37","0.00","6656.087","0.000"
"USEP","02 Apr 2018","23","96.00","0.00","6626.914","0.000"
"USEP","02 Apr 2018","24","95.24","0.00","6573.685","0.000"
"USEP","02 Apr 2018","25","92.70","0.00","6516.858","0.000"
"USEP","02 Apr 2018","26","92.00","0.00","6548.919","0.000"
"USEP","02 Apr 2018","27","92.67","0.00","6603.495","0.000"
"USEP","02 Apr 2018","28","94.73","0.00","6648.339","0.000"
"USEP","02 Apr 2018","29","94.95","0.00","6673.169","0.000"
"USEP","02 Apr 2018","30","94.73","0.00","6650.168","0.000"
"USEP","02 Apr 2018","31","94.31","0.00","6646.744","0.000"
"USEP","02 Apr 2018","32","94.82","0.00","6659.894","0.000"
"USEP","02 Apr 2018","33","94.71","0.00","6656.699","0.000"
"USEP","02 Apr 2018","34","94.30","0.00","6629.950","0.000"
"USEP","02 Apr 2018","35","93.07","0.00","6568.894","0.000"
"USEP","02 Apr 2018","36","95.22","0.00","6442.248","0.000"
"USEP","02 Apr 2018","37","93.16","0.00","6354.369","0.000"
"USEP","02 Apr 2018","38","93.14","0.00","6359.423","0.000"
"USEP","02 Apr 2018","39","94.71","0.00","6390.848","0.000"
"USEP","02 Apr 2018","40","95.19","0.00","6366.679","0.000"
"USEP","02 Apr 2018","41","94.61","0.00","6306.324","0.000"
"USEP","02 Apr 2018","42","97.22","0.00","6246.430","0.000"
"USEP","02 Apr 2018","43","96.88","0.00","6167.218","0.000"
"USEP","02 Apr 2018","44","94.08","0.00","6030.200","0.000"
"USEP","02 Apr 2018","45","92.30","0.00","5871.056","0.000"
"USEP","02 Apr 2018","46","88.86","0.00","5712.354","0.000"
"USEP","02 Apr 2018","47","88.85","0.00","5569.780","0.000"
"USEP","02 Apr 2018","48","86.10","0.00","5445.286","0.000"
"USEP","03 Apr 2018","1","93.83","0.00","5328.128","0.000"
"USEP","03 Apr 2018","2","93.82","0.00","5228.137","0.000"
"USEP","03 Apr 2018","3","93.71","0.00","5123.648","0.000"
"USEP","03 Apr 2018","4","94.46","0.00","5060.141","0.000"
"USEP","03 Apr 2018","5","93.02","0.00","5005.367","0.000"
"USEP","03 Apr 2018","6","90.81","0.00","4965.572","0.000"
"USEP","03 Apr 2018","7","90.01","0.00","4922.760","0.000"
"USEP","03 Apr 2018","8","90.01","0.00","4912.472","0.000"
"USEP","03 Apr 2018","9","90.01","0.00","4907.279","0.000"
"USEP","03 Apr 2018","10","90.01","0.00","4929.266","0.000"
"USEP","03 Apr 2018","11","92.10","0.00","4997.991","0.000"
"USEP","03 Apr 2018","12","93.71","0.00","5159.491","0.000"
"USEP","03 Apr 2018","13","93.82","0.00","5329.281","0.000"
"USEP","03 Apr 2018","14","93.85","0.00","5489.574","0.000"
"USEP","03 Apr 2018","15","92.18","0.00","5684.522","0.000"
"USEP","03 Apr 2018","16","94.59","0.00","5959.780","0.000"
"USEP","03 Apr 2018","17","98.76","0.00","6238.831","0.000"
"USEP","03 Apr 2018","18","96.56","0.00","6421.011","0.000"
"USEP","03 Apr 2018","19","97.16","0.00","6536.539","0.000"
"USEP","03 Apr 2018","20","95.86","0.00","6577.904","0.000"
"USEP","03 Apr 2018","21","96.58","0.00","6644.885","0.000"
"USEP","03 Apr 2018","22","103.87","0.00","6667.066","0.000"
"USEP","03 Apr 2018","23","95.86","0.00","6661.813","0.000"
"USEP","03 Apr 2018","24","94.76","0.00","6609.837","0.000"
"USEP","03 Apr 2018","25","91.96","0.00","6558.024","0.000"
"USEP","03 Apr 2018","26","92.25","0.00","6573.242","0.000"
"USEP","03 Apr 2018","27","94.65","0.00","6635.770","0.000"
"USEP","03 Apr 2018","28","95.23","0.00","6671.539","0.000"
"USEP","03 Apr 2018","29","95.65","0.00","6698.974","0.000"
"USEP","03 Apr 2018","30","95.36","0.00","6681.579","0.000"
"USEP","03 Apr 2018","31","95.41","0.00","6692.125","0.000"
"USEP","03 Apr 2018","32","95.86","0.00","6699.858","0.000"
"USEP","03 Apr 2018","33","95.86","0.00","6700.927","0.000"
"USEP","03 Apr 2018","34","95.23","0.00","6658.070","0.000"
"USEP","03 Apr 2018","35","94.34","0.00","6579.018","0.000"
"USEP","03 Apr 2018","36","95.10","0.00","6449.614","0.000"
"USEP","03 Apr 2018","37","93.95","0.00","6352.435","0.000"
"USEP","03 Apr 2018","38","94.44","0.00","6354.100","0.000"
"USEP","03 Apr 2018","39","95.12","0.00","6376.475","0.000"
"USEP","03 Apr 2018","40","95.87","0.00","6355.845","0.000"
"USEP","03 Apr 2018","41","95.68","0.00","6309.828","0.000"
"USEP","03 Apr 2018","42","99.73","0.00","6268.686","0.000"
"USEP","03 Apr 2018","43","98.87","0.00","6185.011","0.000"
"USEP","03 Apr 2018","44","96.68","0.00","6064.782","0.000"
"USEP","03 Apr 2018","45","94.54","0.00","5903.376","0.000"
"USEP","03 Apr 2018","46","92.18","0.00","5753.501","0.000"
"USEP","03 Apr 2018","47","93.49","0.00","5615.026","0.000"
"USEP","03 Apr 2018","48","88.82","0.00","5481.830","0.000"
"USEP","04 Apr 2018","1","94.62","0.00","5364.767","0.000"
"USEP","04 Apr 2018","2","94.59","0.00","5266.023","0.000"
"USEP","04 Apr 2018","3","95.07","0.00","5167.264","0.000"
"USEP","04 Apr 2018","4","96.50","0.00","5099.409","0.000"
"USEP","04 Apr 2018","5","94.47","0.00","5034.252","0.000"
"USEP","04 Apr 2018","6","93.63","0.00","4996.495","0.000"
"USEP","04 Apr 2018","7","92.41","0.00","4957.302","0.000"
"USEP","04 Apr 2018","8","92.21","0.00","4948.400","0.000"
"USEP","04 Apr 2018","9","92.20","0.00","4936.701","0.000"
"USEP","04 Apr 2018","10","92.20","0.00","4954.325","0.000"
"USEP","04 Apr 2018","11","93.79","0.00","5045.286","0.000"
"USEP","04 Apr 2018","12","95.04","0.00","5194.748","0.000"
"USEP","04 Apr 2018","13","94.54","0.00","5360.016","0.000"
"USEP","04 Apr 2018","14","94.45","0.00","5509.782","0.000"
"USEP","04 Apr 2018","15","93.85","0.00","5691.942","0.000"
"USEP","04 Apr 2018","16","95.05","0.00","5968.473","0.000"
"USEP","04 Apr 2018","17","96.78","0.00","6222.505","0.000"
"USEP","04 Apr 2018","18","96.09","0.00","6396.504","0.000"
"USEP","04 Apr 2018","19","95.52","0.00","6499.110","0.000"
"USEP","04 Apr 2018","20","96.16","0.00","6564.615","0.000"
"USEP","04 Apr 2018","21","95.92","0.00","6632.261","0.000"
"USEP","04 Apr 2018","22","95.66","0.00","6663.756","0.000"
"USEP","04 Apr 2018","23","95.85","0.00","6660.123","0.000"
"USEP","04 Apr 2018","24","93.40","0.00","6613.778","0.000"
"USEP","04 Apr 2018","25","92.16","0.00","6567.964","0.000"
"USEP","04 Apr 2018","26","92.73","0.00","6597.342","0.000"
"USEP","04 Apr 2018","27","94.76","0.00","6648.225","0.000"
"USEP","04 Apr 2018","28","95.36","0.00","6691.305","0.000"
"USEP","04 Apr 2018","29","95.36","0.00","6704.982","0.000"
"USEP","04 Apr 2018","30","95.48","0.00","6694.133","0.000"
"USEP","04 Apr 2018","31","95.85","0.00","6705.191","0.000"
"USEP","04 Apr 2018","32","96.40","0.00","6717.621","0.000"
