"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Aug 2010","1","130.79","4493.630"
"USEP","01 Aug 2010","2","127.16","4415.109"
"USEP","01 Aug 2010","3","126.37","4311.768"
"USEP","01 Aug 2010","4","123.12","4244.072"
"USEP","01 Aug 2010","5","123.08","4193.030"
"USEP","01 Aug 2010","6","120.99","4140.765"
"USEP","01 Aug 2010","7","120.96","4114.191"
"USEP","01 Aug 2010","8","120.93","4076.588"
"USEP","01 Aug 2010","9","118.91","4041.266"
"USEP","01 Aug 2010","10","118.92","4027.052"
"USEP","01 Aug 2010","11","118.92","4043.135"
"USEP","01 Aug 2010","12","120.93","4097.815"
"USEP","01 Aug 2010","13","120.93","4125.751"
"USEP","01 Aug 2010","14","118.80","4038.587"
"USEP","01 Aug 2010","15","118.79","4016.650"
"USEP","01 Aug 2010","16","118.78","4065.062"
"USEP","01 Aug 2010","17","118.94","4175.710"
"USEP","01 Aug 2010","18","120.96","4291.327"
"USEP","01 Aug 2010","19","121.05","4382.133"
"USEP","01 Aug 2010","20","121.05","4496.652"
"USEP","01 Aug 2010","21","126.57","4603.497"
"USEP","01 Aug 2010","22","126.59","4640.673"
"USEP","01 Aug 2010","23","126.58","4619.943"
"USEP","01 Aug 2010","24","123.13","4552.058"
"USEP","01 Aug 2010","25","149.28","4568.951"
"USEP","01 Aug 2010","26","155.67","4577.837"
"USEP","01 Aug 2010","27","155.67","4583.404"
"USEP","01 Aug 2010","28","145.27","4576.624"
"USEP","01 Aug 2010","29","145.27","4574.850"
"USEP","01 Aug 2010","30","144.21","4560.407"
"USEP","01 Aug 2010","31","133.88","4536.979"
"USEP","01 Aug 2010","32","133.85","4514.654"
"USEP","01 Aug 2010","33","130.87","4493.884"
"USEP","01 Aug 2010","34","127.51","4478.725"
"USEP","01 Aug 2010","35","126.66","4483.536"
"USEP","01 Aug 2010","36","126.58","4489.679"
"USEP","01 Aug 2010","37","126.63","4550.492"
"USEP","01 Aug 2010","38","127.54","4679.002"
"USEP","01 Aug 2010","39","142.72","4778.307"
"USEP","01 Aug 2010","40","143.82","4829.319"
"USEP","01 Aug 2010","41","145.37","4872.548"
"USEP","01 Aug 2010","42","133.94","4823.405"
"USEP","01 Aug 2010","43","131.44","4798.684"
"USEP","01 Aug 2010","44","126.62","4695.820"
"USEP","01 Aug 2010","45","123.16","4563.360"
"USEP","01 Aug 2010","46","121.12","4444.214"
"USEP","01 Aug 2010","47","121.07","4341.643"
"USEP","01 Aug 2010","48","121.03","4245.235"
"USEP","02 Aug 2010","1","121.01","4166.545"
"USEP","02 Aug 2010","2","120.92","4070.579"
