"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Aug 2016","1","55.35","0.00","4949.747","0.000"
"USEP","01 Aug 2016","2","52.44","0.00","4849.299","0.000"
"USEP","01 Aug 2016","3","50.31","0.00","4798.127","0.000"
"USEP","01 Aug 2016","4","46.54","0.00","4736.624","0.000"
"USEP","01 Aug 2016","5","46.53","0.00","4688.062","0.000"
"USEP","01 Aug 2016","6","46.08","0.00","4654.022","0.000"
"USEP","01 Aug 2016","7","45.27","0.00","4629.833","0.000"
"USEP","01 Aug 2016","8","45.23","0.00","4608.129","0.000"
"USEP","01 Aug 2016","9","45.27","0.00","4606.340","0.000"
"USEP","01 Aug 2016","10","45.61","0.00","4636.593","0.000"
"USEP","01 Aug 2016","11","46.53","0.00","4713.185","0.000"
"USEP","01 Aug 2016","12","52.62","0.00","4862.300","0.000"
"USEP","01 Aug 2016","13","56.07","0.00","5036.543","0.000"
"USEP","01 Aug 2016","14","60.40","0.00","5203.292","0.000"
"USEP","01 Aug 2016","15","52.43","0.00","5429.303","0.000"
"USEP","01 Aug 2016","16","54.78","0.00","5722.731","0.000"
"USEP","01 Aug 2016","17","56.86","0.00","6051.532","0.000"
"USEP","01 Aug 2016","18","56.81","0.00","6236.376","0.000"
"USEP","01 Aug 2016","19","57.43","0.00","6337.973","0.000"
"USEP","01 Aug 2016","20","57.92","0.00","6416.444","0.000"
"USEP","01 Aug 2016","21","57.90","0.00","6467.411","0.000"
"USEP","01 Aug 2016","22","60.57","0.00","6487.629","0.000"
"USEP","01 Aug 2016","23","57.87","0.00","6450.578","0.000"
"USEP","01 Aug 2016","24","55.43","0.00","6373.886","0.000"
"USEP","01 Aug 2016","25","54.84","0.00","6308.545","0.000"
"USEP","01 Aug 2016","26","55.62","0.00","6344.712","0.000"
"USEP","01 Aug 2016","27","57.45","0.00","6394.834","0.000"
"USEP","01 Aug 2016","28","57.86","0.00","6428.725","0.000"
"USEP","01 Aug 2016","29","57.86","0.00","6432.174","0.000"
"USEP","01 Aug 2016","30","57.44","0.00","6412.075","0.000"
"USEP","01 Aug 2016","31","57.87","0.00","6399.730","0.000"
"USEP","01 Aug 2016","32","58.12","0.00","6408.959","0.000"
"USEP","01 Aug 2016","33","58.44","0.00","6406.206","0.000"
"USEP","01 Aug 2016","34","57.85","0.00","6374.925","0.000"
"USEP","01 Aug 2016","35","57.43","0.00","6310.161","0.000"
"USEP","01 Aug 2016","36","54.84","0.00","6168.684","0.000"
"USEP","01 Aug 2016","37","53.80","0.00","6061.849","0.000"
"USEP","01 Aug 2016","38","54.83","0.00","6068.097","0.000"
"USEP","01 Aug 2016","39","55.38","0.00","6091.023","0.000"
"USEP","01 Aug 2016","40","56.64","0.00","6068.126","0.000"
"USEP","01 Aug 2016","41","55.39","0.00","6033.098","0.000"
"USEP","01 Aug 2016","42","63.10","0.00","6004.868","0.000"
"USEP","01 Aug 2016","43","62.15","0.00","5939.443","0.000"
"USEP","01 Aug 2016","44","60.98","0.00","5827.504","0.000"
"USEP","01 Aug 2016","45","58.08","0.00","5698.910","0.000"
"USEP","01 Aug 2016","46","56.71","0.00","5570.446","0.000"
"USEP","01 Aug 2016","47","54.95","0.00","5437.105","0.000"
"USEP","01 Aug 2016","48","51.43","0.00","5294.640","0.000"
"USEP","02 Aug 2016","1","62.07","0.00","5159.859","0.000"
"USEP","02 Aug 2016","2","60.85","0.00","5060.722","0.000"
"USEP","02 Aug 2016","3","60.81","0.00","4992.400","0.000"
"USEP","02 Aug 2016","4","58.77","0.00","4925.692","0.000"
