"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Dec 2011","1","181.83","4452.220"
"USEP","01 Dec 2011","2","190.27","4336.216"
"USEP","01 Dec 2011","3","185.21","4245.985"
"USEP","01 Dec 2011","4","181.75","4180.063"
"USEP","01 Dec 2011","5","180.17","4139.135"
"USEP","01 Dec 2011","6","174.83","4106.661"
"USEP","01 Dec 2011","7","173.56","4080.877"
"USEP","01 Dec 2011","8","169.52","4059.740"
"USEP","01 Dec 2011","9","169.30","4047.797"
"USEP","01 Dec 2011","10","173.34","4063.209"
"USEP","01 Dec 2011","11","180.09","4115.886"
"USEP","01 Dec 2011","12","182.74","4235.444"
"USEP","01 Dec 2011","13","187.16","4396.502"
"USEP","01 Dec 2011","14","186.24","4552.525"
"USEP","01 Dec 2011","15","186.60","4744.387"
"USEP","01 Dec 2011","16","182.77","5026.022"
"USEP","01 Dec 2011","17","187.98","5323.069"
"USEP","01 Dec 2011","18","191.04","5549.746"
"USEP","01 Dec 2011","19","204.81","5663.713"
"USEP","01 Dec 2011","20","211.91","5732.055"
"USEP","01 Dec 2011","21","216.98","5792.505"
"USEP","01 Dec 2011","22","216.98","5830.570"
"USEP","01 Dec 2011","23","212.31","5869.222"
"USEP","01 Dec 2011","24","198.18","5788.887"
"USEP","01 Dec 2011","25","192.06","5731.995"
"USEP","01 Dec 2011","26","190.49","5731.066"
"USEP","01 Dec 2011","27","196.35","5796.620"
"USEP","01 Dec 2011","28","194.63","5812.355"
"USEP","01 Dec 2011","29","190.67","5798.062"
"USEP","01 Dec 2011","30","187.30","5776.934"
"USEP","01 Dec 2011","31","186.09","5756.244"
"USEP","01 Dec 2011","32","183.02","5742.045"
"USEP","01 Dec 2011","33","183.02","5722.155"
"USEP","01 Dec 2011","34","182.97","5699.899"
"USEP","01 Dec 2011","35","186.24","5676.113"
"USEP","01 Dec 2011","36","189.13","5580.495"
"USEP","01 Dec 2011","37","212.11","5526.213"
"USEP","01 Dec 2011","38","189.21","5558.513"
"USEP","01 Dec 2011","39","191.42","5556.564"
"USEP","01 Dec 2011","40","188.15","5501.169"
"USEP","01 Dec 2011","41","183.28","5446.956"
"USEP","01 Dec 2011","42","191.50","5362.779"
"USEP","01 Dec 2011","43","191.46","5267.986"
"USEP","01 Dec 2011","44","183.32","5129.408"
"USEP","01 Dec 2011","45","179.14","4975.303"
"USEP","01 Dec 2011","46","175.70","4826.968"
"USEP","01 Dec 2011","47","173.71","4696.705"
"USEP","01 Dec 2011","48","173.63","4575.054"
"USEP","02 Dec 2011","1","173.67","4452.812"
"USEP","02 Dec 2011","2","176.12","4355.668"
"USEP","02 Dec 2011","3","173.38","4269.866"
"USEP","02 Dec 2011","4","169.38","4207.453"
"USEP","02 Dec 2011","5","169.32","4150.740"
"USEP","02 Dec 2011","6","165.88","4107.725"
"USEP","02 Dec 2011","7","161.95","4066.325"
"USEP","02 Dec 2011","8","160.94","4046.629"
"USEP","02 Dec 2011","9","158.46","4036.500"
"USEP","02 Dec 2011","10","159.99","4065.942"
"USEP","02 Dec 2011","11","165.03","4121.114"
"USEP","02 Dec 2011","12","169.30","4230.007"
"USEP","02 Dec 2011","13","170.12","4399.379"
"USEP","02 Dec 2011","14","167.51","4570.258"
"USEP","02 Dec 2011","15","173.62","4757.115"
"USEP","02 Dec 2011","16","175.68","5024.039"
"USEP","02 Dec 2011","17","201.19","5311.275"
"USEP","02 Dec 2011","18","197.17","5520.149"
"USEP","02 Dec 2011","19","204.33","5645.706"
"USEP","02 Dec 2011","20","211.85","5722.562"
"USEP","02 Dec 2011","21","216.89","5790.950"
"USEP","02 Dec 2011","22","216.90","5818.106"
"USEP","02 Dec 2011","23","216.91","5816.684"
"USEP","02 Dec 2011","24","208.40","5749.172"
"USEP","02 Dec 2011","25","211.81","5705.361"
"USEP","02 Dec 2011","26","204.35","5706.499"
"USEP","02 Dec 2011","27","204.36","5710.117"
"USEP","02 Dec 2011","28","202.43","5687.042"
"USEP","02 Dec 2011","29","196.12","5671.217"
"USEP","02 Dec 2011","30","188.00","5652.267"
"USEP","02 Dec 2011","31","188.99","5658.613"
"USEP","02 Dec 2011","32","189.02","5659.384"
"USEP","02 Dec 2011","33","184.41","5667.897"
"USEP","02 Dec 2011","34","184.68","5634.961"
"USEP","02 Dec 2011","35","198.19","5563.498"
"USEP","02 Dec 2011","36","184.34","5461.632"
"USEP","02 Dec 2011","37","175.92","5408.150"
"USEP","02 Dec 2011","38","184.50","5441.529"
"USEP","02 Dec 2011","39","180.25","5442.776"
"USEP","02 Dec 2011","40","176.43","5394.299"
"USEP","02 Dec 2011","41","180.28","5318.417"
"USEP","02 Dec 2011","42","185.10","5236.004"
"USEP","02 Dec 2011","43","179.15","5135.302"
"USEP","02 Dec 2011","44","176.22","5011.857"
"USEP","02 Dec 2011","45","175.77","4864.343"
"USEP","02 Dec 2011","46","173.66","4735.530"
"USEP","02 Dec 2011","47","171.39","4616.469"
"USEP","02 Dec 2011","48","170.84","4504.157"
"USEP","03 Dec 2011","1","185.10","4371.846"
"USEP","03 Dec 2011","2","197.72","4272.068"
"USEP","03 Dec 2011","3","184.16","4170.516"
"USEP","03 Dec 2011","4","169.81","4103.744"
"USEP","03 Dec 2011","5","169.38","4051.296"
"USEP","03 Dec 2011","6","169.25","4006.511"
"USEP","03 Dec 2011","7","169.24","3973.664"
"USEP","03 Dec 2011","8","169.25","3960.643"
"USEP","03 Dec 2011","9","169.21","3937.522"
"USEP","03 Dec 2011","10","169.21","3934.873"
"USEP","03 Dec 2011","11","169.21","3958.337"
"USEP","03 Dec 2011","12","169.26","3999.851"
"USEP","03 Dec 2011","13","169.39","4068.020"
"USEP","03 Dec 2011","14","169.47","4142.361"
"USEP","03 Dec 2011","15","185.11","4248.520"
"USEP","03 Dec 2011","16","196.15","4440.720"
"USEP","03 Dec 2011","17","194.19","4652.626"
"USEP","03 Dec 2011","18","209.62","4828.007"
"USEP","03 Dec 2011","19","215.99","4925.732"
"USEP","03 Dec 2011","20","222.23","5044.550"
"USEP","03 Dec 2011","21","236.99","5133.597"
"USEP","03 Dec 2011","22","242.48","5194.828"
"USEP","03 Dec 2011","23","245.97","5196.398"
"USEP","03 Dec 2011","24","237.03","5177.890"
"USEP","03 Dec 2011","25","225.91","5130.685"
"USEP","03 Dec 2011","26","224.85","5101.278"
"USEP","03 Dec 2011","27","222.23","5081.954"
"USEP","03 Dec 2011","28","222.19","5059.569"
"USEP","03 Dec 2011","29","222.17","5029.541"
"USEP","03 Dec 2011","30","216.14","4987.440"
"USEP","03 Dec 2011","31","216.08","4964.220"
"USEP","03 Dec 2011","32","216.07","4961.988"
"USEP","03 Dec 2011","33","213.86","4928.411"
"USEP","03 Dec 2011","34","203.40","4863.006"
"USEP","03 Dec 2011","35","197.93","4790.712"
"USEP","03 Dec 2011","36","197.93","4776.637"
"USEP","03 Dec 2011","37","203.99","4821.014"
"USEP","03 Dec 2011","38","208.03","4910.902"
"USEP","03 Dec 2011","39","212.13","4947.695"
"USEP","03 Dec 2011","40","209.51","4925.230"
"USEP","03 Dec 2011","41","205.98","4887.911"
"USEP","03 Dec 2011","42","204.05","4847.276"
"USEP","03 Dec 2011","43","204.03","4819.106"
"USEP","03 Dec 2011","44","200.40","4737.320"
"USEP","03 Dec 2011","45","190.41","4644.241"
"USEP","03 Dec 2011","46","189.56","4556.720"
"USEP","03 Dec 2011","47","200.29","4446.907"
"USEP","03 Dec 2011","48","186.20","4354.803"
"USEP","04 Dec 2011","1","175.95","4263.614"
"USEP","04 Dec 2011","2","171.07","4155.571"
"USEP","04 Dec 2011","3","163.24","4038.438"
"USEP","04 Dec 2011","4","162.36","3998.927"
"USEP","04 Dec 2011","5","161.45","3956.160"
"USEP","04 Dec 2011","6","160.90","3904.546"
"USEP","04 Dec 2011","7","155.32","3859.722"
