"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Dec 2015","1","61.18","4882.170"
"USEP","01 Dec 2015","2","60.49","4776.478"
"USEP","01 Dec 2015","3","59.41","4744.039"
"USEP","01 Dec 2015","4","56.38","4678.385"
"USEP","01 Dec 2015","5","55.32","4628.939"
"USEP","01 Dec 2015","6","54.67","4590.536"
"USEP","01 Dec 2015","7","54.66","4554.543"
"USEP","01 Dec 2015","8","54.66","4544.369"
"USEP","01 Dec 2015","9","54.31","4533.609"
"USEP","01 Dec 2015","10","54.66","4560.159"
"USEP","01 Dec 2015","11","54.67","4633.551"
"USEP","01 Dec 2015","12","60.47","4774.242"
"USEP","01 Dec 2015","13","60.86","4940.533"
"USEP","01 Dec 2015","14","60.87","5062.695"
"USEP","01 Dec 2015","15","53.51","5246.844"
"USEP","01 Dec 2015","16","56.48","5538.896"
"USEP","01 Dec 2015","17","59.93","5848.060"
"USEP","01 Dec 2015","18","60.58","6045.140"
"USEP","01 Dec 2015","19","62.63","6159.008"
"USEP","01 Dec 2015","20","66.38","6236.426"
"USEP","01 Dec 2015","21","69.61","6320.747"
"USEP","01 Dec 2015","22","81.97","6384.373"
"USEP","01 Dec 2015","23","97.01","6391.490"
"USEP","01 Dec 2015","24","69.64","6329.161"
"USEP","01 Dec 2015","25","64.72","6290.445"
"USEP","01 Dec 2015","26","66.51","6314.315"
"USEP","01 Dec 2015","27","79.00","6365.173"
"USEP","01 Dec 2015","28","91.61","6393.110"
"USEP","01 Dec 2015","29","91.61","6394.800"
"USEP","01 Dec 2015","30","78.92","6365.487"
"USEP","01 Dec 2015","31","67.22","6317.715"
"USEP","01 Dec 2015","32","64.17","6278.601"
"USEP","01 Dec 2015","33","62.82","6235.312"
"USEP","01 Dec 2015","34","61.87","6177.531"
"USEP","01 Dec 2015","35","61.43","6100.963"
"USEP","01 Dec 2015","36","62.63","5970.834"
"USEP","01 Dec 2015","37","61.90","5901.875"
"USEP","01 Dec 2015","38","62.97","5936.183"
"USEP","01 Dec 2015","39","63.38","5949.532"
"USEP","01 Dec 2015","40","63.01","5901.363"
"USEP","01 Dec 2015","41","61.97","5836.470"
"USEP","01 Dec 2015","42","61.94","5764.345"
"USEP","01 Dec 2015","43","61.58","5673.866"
"USEP","01 Dec 2015","44","60.57","5545.412"
"USEP","01 Dec 2015","45","60.56","5400.720"
"USEP","01 Dec 2015","46","57.33","5263.240"
"USEP","01 Dec 2015","47","54.79","5122.624"
"USEP","01 Dec 2015","48","52.68","4968.251"
"USEP","02 Dec 2015","1","60.49","4817.138"
"USEP","02 Dec 2015","2","58.28","4707.828"
"USEP","02 Dec 2015","3","55.32","4645.732"
"USEP","02 Dec 2015","4","53.73","4579.194"
"USEP","02 Dec 2015","5","53.41","4535.726"
"USEP","02 Dec 2015","6","52.64","4497.010"
"USEP","02 Dec 2015","7","52.64","4469.451"
"USEP","02 Dec 2015","8","52.63","4459.959"
"USEP","02 Dec 2015","9","52.63","4461.380"
"USEP","02 Dec 2015","10","52.64","4481.230"
"USEP","02 Dec 2015","11","53.40","4554.697"
"USEP","02 Dec 2015","12","57.77","4689.970"
"USEP","02 Dec 2015","13","60.83","4860.690"
"USEP","02 Dec 2015","14","60.91","4989.930"
"USEP","02 Dec 2015","15","55.80","5177.691"
"USEP","02 Dec 2015","16","58.67","5475.792"
"USEP","02 Dec 2015","17","59.54","5780.577"
"USEP","02 Dec 2015","18","61.89","5973.040"
"USEP","02 Dec 2015","19","66.38","6105.536"
"USEP","02 Dec 2015","20","62.63","6187.948"
"USEP","02 Dec 2015","21","76.78","6257.563"
"USEP","02 Dec 2015","22","114.42","6305.017"
"USEP","02 Dec 2015","23","135.13","6305.479"
"USEP","02 Dec 2015","24","83.43","6245.357"
