"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Dec 2017","1","87.37","0.00","5253.508","0.000"
"USEP","01 Dec 2017","2","84.80","0.00","5134.959","0.000"
"USEP","01 Dec 2017","3","83.75","0.00","5062.203","0.000"
"USEP","01 Dec 2017","4","81.73","0.00","5001.828","0.000"
"USEP","01 Dec 2017","5","81.28","0.00","4940.811","0.000"
"USEP","01 Dec 2017","6","81.03","0.00","4901.662","0.000"
"USEP","01 Dec 2017","7","78.13","0.00","4860.217","0.000"
"USEP","01 Dec 2017","8","78.12","0.00","4854.790","0.000"
"USEP","01 Dec 2017","9","78.11","0.00","4853.568","0.000"
"USEP","01 Dec 2017","10","79.77","0.00","4881.887","0.000"
"USEP","01 Dec 2017","11","81.02","0.00","4943.659","0.000"
"USEP","01 Dec 2017","12","81.64","0.00","5074.454","0.000"
"USEP","01 Dec 2017","13","85.77","0.00","5253.459","0.000"
"USEP","01 Dec 2017","14","89.70","0.00","5389.279","0.000"
"USEP","01 Dec 2017","15","81.31","0.00","5574.242","0.000"
"USEP","01 Dec 2017","16","84.21","0.00","5844.879","0.000"
"USEP","01 Dec 2017","17","88.89","0.00","6142.428","0.000"
"USEP","01 Dec 2017","18","86.54","0.00","6317.029","0.000"
"USEP","01 Dec 2017","19","90.82","0.00","6435.439","0.000"
"USEP","01 Dec 2017","20","90.85","0.00","6497.912","0.000"
"USEP","01 Dec 2017","21","93.71","0.00","6578.774","0.000"
"USEP","01 Dec 2017","22","94.63","0.00","6602.610","0.000"
"USEP","01 Dec 2017","23","93.72","0.00","6594.842","0.000"
"USEP","01 Dec 2017","24","92.60","0.00","6546.171","0.000"
"USEP","01 Dec 2017","25","90.39","0.00","6495.646","0.000"
"USEP","01 Dec 2017","26","91.87","0.00","6519.114","0.000"
"USEP","01 Dec 2017","27","92.61","0.00","6584.126","0.000"
"USEP","01 Dec 2017","28","90.92","0.00","6615.989","0.000"
"USEP","01 Dec 2017","29","91.59","0.00","6626.317","0.000"
"USEP","01 Dec 2017","30","93.73","0.00","6614.727","0.000"
"USEP","01 Dec 2017","31","94.64","0.00","6616.064","0.000"
"USEP","01 Dec 2017","32","93.72","0.00","6612.664","0.000"
"USEP","01 Dec 2017","33","95.75","0.00","6613.748","0.000"
"USEP","01 Dec 2017","34","93.72","0.00","6574.559","0.000"
"USEP","01 Dec 2017","35","91.88","0.00","6502.862","0.000"
"USEP","01 Dec 2017","36","87.09","0.00","6384.770","0.000"
"USEP","01 Dec 2017","37","86.87","0.00","6317.332","0.000"
"USEP","01 Dec 2017","38","88.91","0.00","6331.993","0.000"
"USEP","01 Dec 2017","39","89.83","0.00","6320.741","0.000"
"USEP","01 Dec 2017","40","88.91","0.00","6293.476","0.000"
"USEP","01 Dec 2017","41","88.91","0.00","6247.926","0.000"
"USEP","01 Dec 2017","42","93.71","0.00","6168.108","0.000"
"USEP","01 Dec 2017","43","92.45","0.00","6086.123","0.000"
"USEP","01 Dec 2017","44","88.92","0.00","5964.228","0.000"
"USEP","01 Dec 2017","45","86.31","0.00","5833.771","0.000"
