"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Feb 2013","1","131.00","4634.083"
"USEP","01 Feb 2013","2","130.98","4541.929"
"USEP","01 Feb 2013","3","130.97","4482.398"
"USEP","01 Feb 2013","4","129.08","4422.505"
"USEP","01 Feb 2013","5","128.38","4366.776"
"USEP","01 Feb 2013","6","122.79","4313.299"
"USEP","01 Feb 2013","7","120.30","4279.349"
"USEP","01 Feb 2013","8","119.83","4251.785"
"USEP","01 Feb 2013","9","116.21","4241.304"
"USEP","01 Feb 2013","10","120.31","4258.694"
"USEP","01 Feb 2013","11","120.83","4334.421"
"USEP","01 Feb 2013","12","130.98","4511.185"
"USEP","01 Feb 2013","13","140.09","4683.683"
"USEP","01 Feb 2013","14","142.95","4798.142"
"USEP","01 Feb 2013","15","145.84","4938.853"
"USEP","01 Feb 2013","16","142.95","5165.048"
"USEP","01 Feb 2013","17","151.46","5441.668"
"USEP","01 Feb 2013","18","151.48","5660.010"
"USEP","01 Feb 2013","19","161.12","5784.394"
"USEP","01 Feb 2013","20","161.60","5889.410"
"USEP","01 Feb 2013","21","166.21","5976.410"
"USEP","01 Feb 2013","22","167.21","6031.170"
"USEP","01 Feb 2013","23","161.58","6042.591"
"USEP","01 Feb 2013","24","161.58","6000.763"
"USEP","01 Feb 2013","25","159.12","5972.742"
"USEP","01 Feb 2013","26","161.59","6000.236"
"USEP","01 Feb 2013","27","161.58","6044.688"
"USEP","01 Feb 2013","28","169.20","6087.833"
"USEP","01 Feb 2013","29","169.22","6108.115"
"USEP","01 Feb 2013","30","169.21","6100.849"
"USEP","01 Feb 2013","31","170.53","6108.274"
"USEP","01 Feb 2013","32","171.70","6120.794"
"USEP","01 Feb 2013","33","169.19","6099.144"
"USEP","01 Feb 2013","34","161.59","6017.731"
"USEP","01 Feb 2013","35","157.30","5921.641"
"USEP","01 Feb 2013","36","155.91","5797.147"
"USEP","01 Feb 2013","37","152.01","5675.884"
"USEP","01 Feb 2013","38","156.11","5641.074"
"USEP","01 Feb 2013","39","156.09","5632.327"
"USEP","01 Feb 2013","40","154.09","5608.799"
"USEP","01 Feb 2013","41","151.48","5547.688"
"USEP","01 Feb 2013","42","157.32","5480.011"
"USEP","01 Feb 2013","43","157.06","5394.746"
"USEP","01 Feb 2013","44","151.87","5273.722"
"USEP","01 Feb 2013","45","147.33","5134.075"
"USEP","01 Feb 2013","46","134.99","5002.857"
"USEP","01 Feb 2013","47","131.03","4890.868"
"USEP","01 Feb 2013","48","131.03","4780.921"
"USEP","02 Feb 2013","1","142.47","4664.678"
"USEP","02 Feb 2013","2","143.02","4585.675"
"USEP","02 Feb 2013","3","142.87","4520.553"
"USEP","02 Feb 2013","4","140.20","4426.327"
"USEP","02 Feb 2013","5","142.45","4358.705"
"USEP","02 Feb 2013","6","142.37","4304.989"
"USEP","02 Feb 2013","7","140.00","4259.121"
"USEP","02 Feb 2013","8","139.99","4218.745"
"USEP","02 Feb 2013","9","140.04","4204.545"
