"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Feb 2018","1","95.11","0.00","5272.872","0.000"
"USEP","01 Feb 2018","2","88.82","0.00","5161.837","0.000"
"USEP","01 Feb 2018","3","86.71","0.00","4995.779","0.000"
"USEP","01 Feb 2018","4","86.70","0.00","4933.396","0.000"
"USEP","01 Feb 2018","5","85.11","0.00","4874.571","0.000"
"USEP","01 Feb 2018","6","81.57","0.00","4833.752","0.000"
"USEP","01 Feb 2018","7","80.41","0.00","4803.475","0.000"
"USEP","01 Feb 2018","8","80.12","0.00","4788.719","0.000"
"USEP","01 Feb 2018","9","80.12","0.00","4796.020","0.000"
"USEP","01 Feb 2018","10","80.41","0.00","4821.581","0.000"
"USEP","01 Feb 2018","11","83.62","0.00","4893.745","0.000"
"USEP","01 Feb 2018","12","88.68","0.00","5051.826","0.000"
"USEP","01 Feb 2018","13","92.97","0.00","5229.971","0.000"
"USEP","01 Feb 2018","14","90.76","0.00","5396.009","0.000"
"USEP","01 Feb 2018","15","87.60","0.00","5604.634","0.000"
"USEP","01 Feb 2018","16","96.85","0.00","5880.981","0.000"
"USEP","01 Feb 2018","17","99.45","0.00","6138.656","0.000"
"USEP","01 Feb 2018","18","101.76","0.00","6306.652","0.000"
"USEP","01 Feb 2018","19","102.71","0.00","6402.349","0.000"
"USEP","01 Feb 2018","20","101.35","0.00","6459.698","0.000"
"USEP","01 Feb 2018","21","102.83","0.00","6528.488","0.000"
"USEP","01 Feb 2018","22","110.10","0.00","6579.853","0.000"
"USEP","01 Feb 2018","23","110.11","0.00","6582.477","0.000"
"USEP","01 Feb 2018","24","152.72","0.00","6518.915","0.000"
"USEP","01 Feb 2018","25","145.73","0.00","6458.818","0.000"
"USEP","01 Feb 2018","26","152.73","0.00","6497.689","0.000"
"USEP","01 Feb 2018","27","167.68","0.00","6572.060","0.000"
"USEP","01 Feb 2018","28","152.73","0.00","6620.666","0.000"
"USEP","01 Feb 2018","29","152.74","0.00","6616.790","0.000"
"USEP","01 Feb 2018","30","144.27","0.00","6610.234","0.000"
"USEP","01 Feb 2018","31","132.38","0.00","6600.523","0.000"
"USEP","01 Feb 2018","32","99.61","0.00","6578.362","0.000"
"USEP","01 Feb 2018","33","301.50","0.00","6560.142","0.000"
"USEP","01 Feb 2018","34","155.42","0.00","6528.577","0.000"
