"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jan 2011","1","129.65","4188.135"
"USEP","01 Jan 2011","2","128.21","4093.203"
"USEP","01 Jan 2011","3","127.05","3974.116"
"USEP","01 Jan 2011","4","126.84","3945.266"
"USEP","01 Jan 2011","5","126.84","3953.317"
"USEP","01 Jan 2011","6","126.92","3965.260"
"USEP","01 Jan 2011","7","127.94","4007.873"
"USEP","01 Jan 2011","8","127.94","3998.986"
"USEP","01 Jan 2011","9","127.98","4039.318"
"USEP","01 Jan 2011","10","126.81","3894.949"
"USEP","01 Jan 2011","11","126.76","3882.663"
"USEP","01 Jan 2011","12","126.80","3900.232"
"USEP","01 Jan 2011","13","126.82","3925.689"
"USEP","01 Jan 2011","14","126.85","3919.267"
"USEP","01 Jan 2011","15","126.81","3921.136"
"USEP","01 Jan 2011","16","127.96","4013.628"
"USEP","01 Jan 2011","17","129.63","4117.367"
"USEP","01 Jan 2011","18","131.15","4230.360"
"USEP","01 Jan 2011","19","131.27","4300.148"
"USEP","01 Jan 2011","20","153.97","4393.217"
"USEP","01 Jan 2011","21","160.17","4506.294"
"USEP","01 Jan 2011","22","156.02","4567.316"
"USEP","01 Jan 2011","23","156.98","4576.162"
"USEP","01 Jan 2011","24","157.04","4567.654"
"USEP","01 Jan 2011","25","153.73","4581.391"
"USEP","01 Jan 2011","26","152.02","4598.592"
"USEP","01 Jan 2011","27","131.05","4587.971"
"USEP","01 Jan 2011","28","130.82","4600.510"
"USEP","01 Jan 2011","29","130.28","4569.940"
"USEP","01 Jan 2011","30","130.22","4537.660"
"USEP","01 Jan 2011","31","130.25","4533.838"
"USEP","01 Jan 2011","32","130.26","4565.457"
"USEP","01 Jan 2011","33","130.41","4575.233"
"USEP","01 Jan 2011","34","130.26","4507.805"
"USEP","01 Jan 2011","35","150.76","4524.360"
"USEP","01 Jan 2011","36","150.77","4541.879"
"USEP","01 Jan 2011","37","150.87","4569.950"
"USEP","01 Jan 2011","38","155.88","4681.069"
"USEP","01 Jan 2011","39","163.55","4783.933"
"USEP","01 Jan 2011","40","163.56","4787.412"
"USEP","01 Jan 2011","41","156.91","4731.132"
"USEP","01 Jan 2011","42","158.09","4734.114"
"USEP","01 Jan 2011","43","156.90","4704.935"
"USEP","01 Jan 2011","44","156.07","4641.334"
"USEP","01 Jan 2011","45","156.03","4552.465"
"USEP","01 Jan 2011","46","131.64","4458.507"
"USEP","01 Jan 2011","47","130.16","4339.749"
"USEP","01 Jan 2011","48","128.06","4218.233"
"USEP","02 Jan 2011","1","128.09","4114.226"
"USEP","02 Jan 2011","2","127.07","4055.207"
"USEP","02 Jan 2011","3","126.90","4018.881"
"USEP","02 Jan 2011","4","126.85","3965.146"
"USEP","02 Jan 2011","5","126.80","3908.711"
"USEP","02 Jan 2011","6","124.79","3853.634"
"USEP","02 Jan 2011","7","124.79","3845.001"
"USEP","02 Jan 2011","8","124.70","3819.182"
"USEP","02 Jan 2011","9","124.68","3793.869"
"USEP","02 Jan 2011","10","124.69","3795.445"
"USEP","02 Jan 2011","11","124.67","3789.983"
"USEP","02 Jan 2011","12","124.70","3817.889"
"USEP","02 Jan 2011","13","124.77","3846.989"
"USEP","02 Jan 2011","14","124.76","3843.410"
"USEP","02 Jan 2011","15","124.78","3849.707"
"USEP","02 Jan 2011","16","126.83","3978.669"
"USEP","02 Jan 2011","17","128.07","4100.106"
"USEP","02 Jan 2011","18","130.14","4223.869"
"USEP","02 Jan 2011","19","130.96","4312.235"
"USEP","02 Jan 2011","20","135.63","4418.295"
"USEP","02 Jan 2011","21","161.47","4527.262"
"USEP","02 Jan 2011","22","152.25","4566.093"
"USEP","02 Jan 2011","23","154.01","4588.871"
"USEP","02 Jan 2011","24","152.75","4575.616"
"USEP","02 Jan 2011","25","152.38","4569.950"
"USEP","02 Jan 2011","26","150.87","4573.319"
"USEP","02 Jan 2011","27","150.15","4547.162"
"USEP","02 Jan 2011","28","150.82","4565.318"
"USEP","02 Jan 2011","29","150.86","4578.031"
"USEP","02 Jan 2011","30","152.02","4564.771"
"USEP","02 Jan 2011","31","150.86","4553.206"
"USEP","02 Jan 2011","32","150.82","4549.011"
"USEP","02 Jan 2011","33","152.02","4565.437"
"USEP","02 Jan 2011","34","150.87","4563.295"
"USEP","02 Jan 2011","35","152.86","4568.772"
"USEP","02 Jan 2011","36","153.07","4575.959"
"USEP","02 Jan 2011","37","163.54","4628.203"
"USEP","02 Jan 2011","38","166.35","4742.578"
"USEP","02 Jan 2011","39","176.45","4846.287"
"USEP","02 Jan 2011","40","176.48","4844.910"
"USEP","02 Jan 2011","41","166.38","4808.808"
"USEP","02 Jan 2011","42","166.38","4803.028"
"USEP","02 Jan 2011","43","166.38","4784.530"
"USEP","02 Jan 2011","44","156.42","4717.822"
"USEP","02 Jan 2011","45","160.96","4634.570"
"USEP","02 Jan 2011","46","150.78","4561.317"
"USEP","02 Jan 2011","47","132.58","4470.729"
"USEP","02 Jan 2011","48","131.11","4354.565"
"USEP","03 Jan 2011","1","130.16","4235.489"
"USEP","03 Jan 2011","2","128.10","4150.696"
"USEP","03 Jan 2011","3","127.39","4051.793"
"USEP","03 Jan 2011","4","127.32","4035.541"
"USEP","03 Jan 2011","5","127.23","3964.922"
"USEP","03 Jan 2011","6","127.15","3915.560"
"USEP","03 Jan 2011","7","127.13","3887.778"
"USEP","03 Jan 2011","8","127.13","3883.797"
"USEP","03 Jan 2011","9","127.10","3864.553"
"USEP","03 Jan 2011","10","126.82","3873.101"
"USEP","03 Jan 2011","11","126.84","3901.375"
"USEP","03 Jan 2011","12","126.85","3997.296"
"USEP","03 Jan 2011","13","126.95","4128.012"
"USEP","03 Jan 2011","14","127.10","4289.766"
