"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jan 2016","1","49.45","4715.268"
"USEP","01 Jan 2016","2","45.63","4632.915"
"USEP","01 Jan 2016","3","43.23","4549.086"
"USEP","01 Jan 2016","4","42.10","4512.129"
"USEP","01 Jan 2016","5","43.23","4463.249"
"USEP","01 Jan 2016","6","43.54","4441.286"
"USEP","01 Jan 2016","7","43.15","4401.750"
"USEP","01 Jan 2016","8","43.22","4378.928"
"USEP","01 Jan 2016","9","42.08","4340.351"
"USEP","01 Jan 2016","10","34.13","4325.485"
"USEP","01 Jan 2016","11","35.13","4349.187"
"USEP","01 Jan 2016","12","42.08","4398.520"
"USEP","01 Jan 2016","13","42.09","4447.012"
"USEP","01 Jan 2016","14","42.10","4457.016"
"USEP","01 Jan 2016","15","34.18","4472.523"
"USEP","01 Jan 2016","16","34.14","4547.933"
"USEP","01 Jan 2016","17","43.23","4670.135"
"USEP","01 Jan 2016","18","45.63","4764.992"
"USEP","01 Jan 2016","19","48.61","4855.113"
"USEP","01 Jan 2016","20","50.30","4944.459"
"USEP","01 Jan 2016","21","50.37","5019.616"
"USEP","01 Jan 2016","22","47.67","5055.474"
"USEP","01 Jan 2016","23","50.39","5063.058"
"USEP","01 Jan 2016","24","49.45","5063.630"
"USEP","01 Jan 2016","25","61.48","5064.112"
"USEP","01 Jan 2016","26","61.48","5068.784"
"USEP","01 Jan 2016","27","60.35","5069.017"
"USEP","01 Jan 2016","28","60.35","5066.627"
"USEP","01 Jan 2016","29","53.78","5056.731"
"USEP","01 Jan 2016","30","53.78","5038.884"
"USEP","01 Jan 2016","31","52.78","5019.188"
"USEP","01 Jan 2016","32","52.78","5008.816"
"USEP","01 Jan 2016","33","52.66","4992.186"
"USEP","01 Jan 2016","34","52.78","4986.669"
"USEP","01 Jan 2016","35","55.72","4992.027"
"USEP","01 Jan 2016","36","58.44","5020.177"
"USEP","01 Jan 2016","37","59.47","5077.104"
"USEP","01 Jan 2016","38","83.67","5166.081"
"USEP","01 Jan 2016","39","85.96","5230.557"
"USEP","01 Jan 2016","40","93.43","5249.731"
"USEP","01 Jan 2016","41","63.51","5260.790"
"USEP","01 Jan 2016","42","59.52","5273.324"
"USEP","01 Jan 2016","43","58.52","5248.116"
"USEP","01 Jan 2016","44","49.37","5160.435"
"USEP","01 Jan 2016","45","47.21","5063.202"
"USEP","01 Jan 2016","46","49.31","4983.354"
"USEP","01 Jan 2016","47","52.70","4884.417"
"USEP","01 Jan 2016","48","64.49","4819.364"
"USEP","02 Jan 2016","1","49.36","4754.024"
"USEP","02 Jan 2016","2","46.74","4651.001"
"USEP","02 Jan 2016","3","42.09","4530.433"
"USEP","02 Jan 2016","4","32.64","4471.096"
"USEP","02 Jan 2016","5","32.10","4418.186"
"USEP","02 Jan 2016","6","32.09","4371.577"
"USEP","02 Jan 2016","7","32.09","4341.012"
"USEP","02 Jan 2016","8","31.24","4322.260"
"USEP","02 Jan 2016","9","31.08","4309.800"
"USEP","02 Jan 2016","10","31.09","4310.605"
"USEP","02 Jan 2016","11","32.10","4353.844"
"USEP","02 Jan 2016","12","32.14","4413.201"
"USEP","02 Jan 2016","13","32.35","4469.909"
"USEP","02 Jan 2016","14","33.12","4523.888"
"USEP","02 Jan 2016","15","34.22","4618.586"
"USEP","02 Jan 2016","16","46.62","4797.342"
"USEP","02 Jan 2016","17","50.51","5043.308"
"USEP","02 Jan 2016","18","44.71","5215.771"
"USEP","02 Jan 2016","19","48.57","5341.512"
"USEP","02 Jan 2016","20","49.43","5429.660"
"USEP","02 Jan 2016","21","50.37","5512.898"
"USEP","02 Jan 2016","22","52.40","5551.833"
"USEP","02 Jan 2016","23","52.40","5553.413"
"USEP","02 Jan 2016","24","51.39","5512.545"
"USEP","02 Jan 2016","25","49.43","5457.373"
"USEP","02 Jan 2016","26","49.37","5422.623"
"USEP","02 Jan 2016","27","49.37","5410.953"
"USEP","02 Jan 2016","28","49.36","5394.025"
"USEP","02 Jan 2016","29","48.57","5344.022"
"USEP","02 Jan 2016","30","44.72","5274.835"
"USEP","02 Jan 2016","31","43.54","5221.035"
"USEP","02 Jan 2016","32","43.20","5182.139"
"USEP","02 Jan 2016","33","43.14","5148.920"
"USEP","02 Jan 2016","34","42.12","5111.685"
"USEP","02 Jan 2016","35","42.12","5079.946"
"USEP","02 Jan 2016","36","42.12","5077.059"
"USEP","02 Jan 2016","37","43.19","5097.963"
"USEP","02 Jan 2016","38","46.21","5169.014"
"USEP","02 Jan 2016","39","48.59","5222.938"
"USEP","02 Jan 2016","40","48.59","5226.025"
"USEP","02 Jan 2016","41","48.58","5221.904"
"USEP","02 Jan 2016","42","47.24","5214.360"
