"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Jan 2017","1","79.13","0.00","4920.191","0.000"
"USEP","01 Jan 2017","2","78.03","0.00","4829.757","0.000"
"USEP","01 Jan 2017","3","76.47","0.00","4760.211","0.000"
"USEP","01 Jan 2017","4","76.44","0.00","4733.358","0.000"
"USEP","01 Jan 2017","5","75.99","0.00","4714.507","0.000"
"USEP","01 Jan 2017","6","75.31","0.00","4683.663","0.000"
"USEP","01 Jan 2017","7","73.85","0.00","4643.794","0.000"
"USEP","01 Jan 2017","8","73.83","0.00","4595.600","0.000"
"USEP","01 Jan 2017","9","70.74","0.00","4545.343","0.000"
"USEP","01 Jan 2017","10","67.39","0.00","4539.071","0.000"
"USEP","01 Jan 2017","11","70.82","0.00","4561.471","0.000"
"USEP","01 Jan 2017","12","71.65","0.00","4598.532","0.000"
"USEP","01 Jan 2017","13","71.65","0.00","4621.553","0.000"
"USEP","01 Jan 2017","14","70.74","0.00","4629.341","0.000"
"USEP","01 Jan 2017","15","70.83","0.00","4659.350","0.000"
"USEP","01 Jan 2017","16","74.38","0.00","4752.523","0.000"
"USEP","01 Jan 2017","17","75.98","0.00","4883.090","0.000"
"USEP","01 Jan 2017","18","78.02","0.00","4984.438","0.000"
"USEP","01 Jan 2017","19","79.07","0.00","5066.925","0.000"
"USEP","01 Jan 2017","20","80.11","0.00","5149.173","0.000"
"USEP","01 Jan 2017","21","81.25","0.00","5215.607","0.000"
"USEP","01 Jan 2017","22","79.07","0.00","5249.046","0.000"
"USEP","01 Jan 2017","23","79.07","0.00","5258.921","0.000"
"USEP","01 Jan 2017","24","79.07","0.00","5239.960","0.000"
"USEP","01 Jan 2017","25","78.06","0.00","5227.983","0.000"
"USEP","01 Jan 2017","26","79.08","0.00","5249.553","0.000"
"USEP","01 Jan 2017","27","79.53","0.00","5275.014","0.000"
"USEP","01 Jan 2017","28","79.53","0.00","5277.608","0.000"
"USEP","01 Jan 2017","29","79.09","0.00","5263.503","0.000"
"USEP","01 Jan 2017","30","78.06","0.00","5240.343","0.000"
"USEP","01 Jan 2017","31","78.06","0.00","5229.071","0.000"
"USEP","01 Jan 2017","32","78.06","0.00","5216.890","0.000"
"USEP","01 Jan 2017","33","78.05","0.00","5206.652","0.000"
"USEP","01 Jan 2017","34","78.05","0.00","5205.817","0.000"
"USEP","01 Jan 2017","35","78.05","0.00","5211.612","0.000"
"USEP","01 Jan 2017","36","78.06","0.00","5218.425","0.000"
"USEP","01 Jan 2017","37","80.09","0.00","5289.909","0.000"
"USEP","01 Jan 2017","38","82.63","0.00","5406.068","0.000"
"USEP","01 Jan 2017","39","87.82","0.00","5489.842","0.000"
"USEP","01 Jan 2017","40","87.82","0.00","5503.892","0.000"
"USEP","01 Jan 2017","41","87.82","0.00","5498.997","0.000"
"USEP","01 Jan 2017","42","87.82","0.00","5485.086","0.000"
"USEP","01 Jan 2017","43","85.60","0.00","5450.569","0.000"
"USEP","01 Jan 2017","44","82.55","0.00","5385.293","0.000"
"USEP","01 Jan 2017","45","79.63","0.00","5275.128","0.000"
"USEP","01 Jan 2017","46","78.07","0.00","5164.575","0.000"
"USEP","01 Jan 2017","47","80.14","0.00","5056.537","0.000"
"USEP","01 Jan 2017","48","79.51","0.00","4992.713","0.000"
"USEP","02 Jan 2017","1","80.13","0.00","4951.775","0.000"
"USEP","02 Jan 2017","2","79.51","0.00","4868.577","0.000"
"USEP","02 Jan 2017","3","77.01","0.00","4764.346","0.000"
"USEP","02 Jan 2017","4","74.80","0.00","4689.061","0.000"
"USEP","02 Jan 2017","5","73.84","0.00","4654.524","0.000"
"USEP","02 Jan 2017","6","73.81","0.00","4601.723","0.000"
"USEP","02 Jan 2017","7","69.47","0.00","4554.890","0.000"
"USEP","02 Jan 2017","8","67.34","0.00","4535.880","0.000"
"USEP","02 Jan 2017","9","65.11","0.00","4515.757","0.000"
"USEP","02 Jan 2017","10","65.13","0.00","4522.978","0.000"
"USEP","02 Jan 2017","11","70.41","0.00","4565.645","0.000"
"USEP","02 Jan 2017","12","73.44","0.00","4609.416","0.000"
"USEP","02 Jan 2017","13","72.31","0.00","4629.261","0.000"
"USEP","02 Jan 2017","14","72.31","0.00","4653.351","0.000"
"USEP","02 Jan 2017","15","73.81","0.00","4704.632","0.000"
"USEP","02 Jan 2017","16","74.96","0.00","4807.391","0.000"
"USEP","02 Jan 2017","17","78.02","0.00","4960.408","0.000"
"USEP","02 Jan 2017","18","79.76","0.00","5088.534","0.000"
"USEP","02 Jan 2017","19","83.19","0.00","5198.729","0.000"
"USEP","02 Jan 2017","20","87.67","0.00","5287.399","0.000"
"USEP","02 Jan 2017","21","88.92","0.00","5380.795","0.000"
"USEP","02 Jan 2017","22","87.68","0.00","5444.033","0.000"
"USEP","02 Jan 2017","23","87.68","0.00","5448.392","0.000"
"USEP","02 Jan 2017","24","84.06","0.00","5389.160","0.000"
"USEP","02 Jan 2017","25","82.63","0.00","5373.922","0.000"
"USEP","02 Jan 2017","26","84.06","0.00","5382.659","0.000"
"USEP","02 Jan 2017","27","85.59","0.00","5410.640","0.000"
"USEP","02 Jan 2017","28","85.59","0.00","5418.721","0.000"
"USEP","02 Jan 2017","29","85.59","0.00","5411.465","0.000"
"USEP","02 Jan 2017","30","84.24","0.00","5398.299","0.000"
"USEP","02 Jan 2017","31","84.18","0.00","5387.395","0.000"
"USEP","02 Jan 2017","32","82.55","0.00","5368.325","0.000"
"USEP","02 Jan 2017","33","82.63","0.00","5373.206","0.000"
"USEP","02 Jan 2017","34","82.48","0.00","5362.928","0.000"
"USEP","02 Jan 2017","35","83.99","0.00","5391.744","0.000"
"USEP","02 Jan 2017","36","84.06","0.00","5392.480","0.000"
"USEP","02 Jan 2017","37","87.68","0.00","5453.148","0.000"
"USEP","02 Jan 2017","38","89.45","0.00","5565.137","0.000"
"USEP","02 Jan 2017","39","90.39","0.00","5624.713","0.000"
"USEP","02 Jan 2017","40","90.41","0.00","5631.228","0.000"
"USEP","02 Jan 2017","41","90.48","0.00","5638.012","0.000"
"USEP","02 Jan 2017","42","90.47","0.00","5628.863","0.000"
"USEP","02 Jan 2017","43","89.71","0.00","5590.633","0.000"
"USEP","02 Jan 2017","44","88.93","0.00","5520.651","0.000"
"USEP","02 Jan 2017","45","84.24","0.00","5387.057","0.000"
"USEP","02 Jan 2017","46","79.62","0.00","5252.837","0.000"
"USEP","02 Jan 2017","47","85.57","0.00","5130.093","0.000"
"USEP","02 Jan 2017","48","80.08","0.00","5041.886","0.000"
"USEP","03 Jan 2017","1","78.04","0.00","4933.719","0.000"
"USEP","03 Jan 2017","2","76.00","0.00","4827.530","0.000"
"USEP","03 Jan 2017","3","73.05","0.00","4728.542","0.000"
"USEP","03 Jan 2017","4","70.42","0.00","4670.940","0.000"
"USEP","03 Jan 2017","5","67.09","0.00","4629.674","0.000"
"USEP","03 Jan 2017","6","67.04","0.00","4591.803","0.000"
"USEP","03 Jan 2017","7","65.38","0.00","4562.162","0.000"
"USEP","03 Jan 2017","8","65.38","0.00","4556.476","0.000"
"USEP","03 Jan 2017","9","64.50","0.00","4552.063","0.000"
"USEP","03 Jan 2017","10","62.37","0.00","4586.599","0.000"
"USEP","03 Jan 2017","11","65.38","0.00","4658.336","0.000"
"USEP","03 Jan 2017","12","72.50","0.00","4798.490","0.000"
"USEP","03 Jan 2017","13","75.57","0.00","4984.000","0.000"
"USEP","03 Jan 2017","14","78.08","0.00","5160.132","0.000"
"USEP","03 Jan 2017","15","77.04","0.00","5382.545","0.000"
"USEP","03 Jan 2017","16","80.67","0.00","5647.048","0.000"
"USEP","03 Jan 2017","17","88.38","0.00","5896.731","0.000"
"USEP","03 Jan 2017","18","80.67","0.00","6089.676","0.000"
"USEP","03 Jan 2017","19","80.68","0.00","6221.794","0.000"
"USEP","03 Jan 2017","20","88.15","0.00","6293.809","0.000"
"USEP","03 Jan 2017","21","86.21","0.00","6360.884","0.000"
"USEP","03 Jan 2017","22","87.63","0.00","6393.666","0.000"
"USEP","03 Jan 2017","23","89.00","0.00","6411.643","0.000"
"USEP","03 Jan 2017","24","87.63","0.00","6362.127","0.000"
"USEP","03 Jan 2017","25","84.32","0.00","6300.022","0.000"
"USEP","03 Jan 2017","26","87.16","0.00","6341.496","0.000"
"USEP","03 Jan 2017","27","87.63","0.00","6387.583","0.000"
"USEP","03 Jan 2017","28","87.63","0.00","6415.346","0.000"
"USEP","03 Jan 2017","29","86.19","0.00","6378.881","0.000"
"USEP","03 Jan 2017","30","86.41","0.00","6377.817","0.000"
"USEP","03 Jan 2017","31","87.24","0.00","6379.477","0.000"
"USEP","03 Jan 2017","32","87.40","0.00","6391.977","0.000"
"USEP","03 Jan 2017","33","87.61","0.00","6405.768","0.000"
"USEP","03 Jan 2017","34","87.39","0.00","6372.971","0.000"
"USEP","03 Jan 2017","35","83.88","0.00","6300.852","0.000"
"USEP","03 Jan 2017","36","80.72","0.00","6177.203","0.000"
"USEP","03 Jan 2017","37","80.71","0.00","6111.192","0.000"
"USEP","03 Jan 2017","38","80.71","0.00","6123.090","0.000"
"USEP","03 Jan 2017","39","80.80","0.00","6117.657","0.000"
"USEP","03 Jan 2017","40","80.72","0.00","6072.445","0.000"
"USEP","03 Jan 2017","41","80.76","0.00","6032.884","0.000"
"USEP","03 Jan 2017","42","87.74","0.00","5981.728","0.000"
"USEP","03 Jan 2017","43","86.57","0.00","5905.314","0.000"
"USEP","03 Jan 2017","44","81.35","0.00","5772.247","0.000"
"USEP","03 Jan 2017","45","80.24","0.00","5627.253","0.000"
"USEP","03 Jan 2017","46","79.13","0.00","5493.172","0.000"
"USEP","03 Jan 2017","47","75.61","0.00","5332.999","0.000"
"USEP","03 Jan 2017","48","73.15","0.00","5154.785","0.000"
"USEP","04 Jan 2017","1","77.06","0.00","4993.533","0.000"
"USEP","04 Jan 2017","2","74.89","0.00","4876.584","0.000"
"USEP","04 Jan 2017","3","74.88","0.00","4825.631","0.000"
"USEP","04 Jan 2017","4","73.85","0.00","4775.862","0.000"
"USEP","04 Jan 2017","5","73.38","0.00","4722.355","0.000"
"USEP","04 Jan 2017","6","72.15","0.00","4682.590","0.000"
"USEP","04 Jan 2017","7","71.70","0.00","4647.790","0.000"
"USEP","04 Jan 2017","8","71.69","0.00","4624.878","0.000"
"USEP","04 Jan 2017","9","71.69","0.00","4627.378","0.000"
"USEP","04 Jan 2017","10","71.72","0.00","4651.368","0.000"
"USEP","04 Jan 2017","11","72.57","0.00","4729.715","0.000"
"USEP","04 Jan 2017","12","74.89","0.00","4869.929","0.000"
"USEP","04 Jan 2017","13","77.04","0.00","5055.489","0.000"
