"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jul 2010","1","153.12","4628.248"
"USEP","01 Jul 2010","2","153.26","4525.081"
"USEP","01 Jul 2010","3","155.78","4512.054"
"USEP","01 Jul 2010","4","151.73","4422.947"
"USEP","01 Jul 2010","5","140.74","4373.073"
"USEP","01 Jul 2010","6","121.00","4314.159"
"USEP","01 Jul 2010","7","119.01","4271.581"
"USEP","01 Jul 2010","8","119.21","4245.304"
"USEP","01 Jul 2010","9","118.87","4212.368"
"USEP","01 Jul 2010","10","118.86","4208.551"
"USEP","01 Jul 2010","11","118.95","4256.909"
"USEP","01 Jul 2010","12","120.31","4338.890"
"USEP","01 Jul 2010","13","142.07","4460.645"
"USEP","01 Jul 2010","14","151.70","4582.126"
"USEP","01 Jul 2010","15","125.92","4751.027"
"USEP","01 Jul 2010","16","155.91","5015.376"
"USEP","01 Jul 2010","17","151.97","5269.015"
"USEP","01 Jul 2010","18","157.04","5458.631"
"USEP","01 Jul 2010","19","161.04","5612.402"
"USEP","01 Jul 2010","20","162.07","5791.765"
"USEP","01 Jul 2010","21","162.12","5846.628"
"USEP","01 Jul 2010","22","167.22","5909.549"
"USEP","01 Jul 2010","23","169.23","5927.595"
"USEP","01 Jul 2010","24","161.19","5870.624"
"USEP","01 Jul 2010","25","160.49","5815.541"
"USEP","01 Jul 2010","26","160.46","5829.964"
"USEP","01 Jul 2010","27","161.14","5879.669"
"USEP","01 Jul 2010","28","161.07","5851.802"
"USEP","01 Jul 2010","29","160.44","5820.616"
"USEP","01 Jul 2010","30","159.41","5776.551"
"USEP","01 Jul 2010","31","159.41","5752.218"
"USEP","01 Jul 2010","32","160.45","5695.799"
"USEP","01 Jul 2010","33","159.37","5663.265"
"USEP","01 Jul 2010","34","159.37","5665.576"
"USEP","01 Jul 2010","35","156.99","5587.503"
"USEP","01 Jul 2010","36","154.83","5475.514"
"USEP","01 Jul 2010","37","149.78","5372.719"
"USEP","01 Jul 2010","38","149.79","5386.839"
"USEP","01 Jul 2010","39","151.82","5432.926"
"USEP","01 Jul 2010","40","150.80","5390.298"
"USEP","01 Jul 2010","41","155.49","5348.699"
"USEP","01 Jul 2010","42","161.04","5310.972"
"USEP","01 Jul 2010","43","155.99","5265.377"
"USEP","01 Jul 2010","44","151.78","5143.870"
"USEP","01 Jul 2010","45","149.90","4994.259"
"USEP","01 Jul 2010","46","131.57","4877.568"
"USEP","01 Jul 2010","47","120.57","4751.573"
"USEP","01 Jul 2010","48","120.37","4621.215"
"USEP","02 Jul 2010","1","120.77","4523.550"
"USEP","02 Jul 2010","2","137.20","4437.146"
"USEP","02 Jul 2010","3","121.06","4347.309"
"USEP","02 Jul 2010","4","119.66","4257.287"
"USEP","02 Jul 2010","5","119.40","4192.031"
"USEP","02 Jul 2010","6","119.33","4139.314"
"USEP","02 Jul 2010","7","119.32","4120.309"
"USEP","02 Jul 2010","8","119.32","4105.623"
"USEP","02 Jul 2010","9","119.04","4074.441"
"USEP","02 Jul 2010","10","118.92","4080.266"
"USEP","02 Jul 2010","11","118.97","4115.299"
"USEP","02 Jul 2010","12","119.33","4217.005"
"USEP","02 Jul 2010","13","119.50","4377.800"
"USEP","02 Jul 2010","14","119.70","4537.033"
"USEP","02 Jul 2010","15","121.10","4776.443"
"USEP","02 Jul 2010","16","136.10","5050.698"
"USEP","02 Jul 2010","17","150.92","5293.597"
"USEP","02 Jul 2010","18","136.11","5424.094"
"USEP","02 Jul 2010","19","150.95","5557.220"
"USEP","02 Jul 2010","20","157.36","5658.275"
"USEP","02 Jul 2010","21","159.39","5736.672"
