"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jul 2013","1","154.26","4827.664"
"USEP","01 Jul 2013","2","137.05","4717.718"
"USEP","01 Jul 2013","3","135.37","4621.240"
"USEP","01 Jul 2013","4","133.82","4549.662"
"USEP","01 Jul 2013","5","133.14","4498.784"
"USEP","01 Jul 2013","6","132.99","4443.160"
"USEP","01 Jul 2013","7","132.82","4408.599"
"USEP","01 Jul 2013","8","115.64","4388.366"
"USEP","01 Jul 2013","9","111.67","4371.199"
"USEP","01 Jul 2013","10","108.88","4378.416"
"USEP","01 Jul 2013","11","108.89","4427.042"
"USEP","01 Jul 2013","12","108.83","4527.794"
"USEP","01 Jul 2013","13","111.60","4697.555"
"USEP","01 Jul 2013","14","118.46","4915.042"
"USEP","01 Jul 2013","15","137.04","5156.947"
"USEP","01 Jul 2013","16","147.10","5413.597"
"USEP","01 Jul 2013","17","154.44","5673.946"
"USEP","01 Jul 2013","18","187.84","5906.154"
"USEP","01 Jul 2013","19","169.62","6083.171"
"USEP","01 Jul 2013","20","199.75","6212.510"
"USEP","01 Jul 2013","21","208.12","6284.893"
"USEP","01 Jul 2013","22","218.37","6328.351"
"USEP","01 Jul 2013","23","209.94","6335.035"
"USEP","01 Jul 2013","24","199.72","6284.898"
"USEP","01 Jul 2013","25","187.84","6219.195"
"USEP","01 Jul 2013","26","165.83","6215.616"
"USEP","01 Jul 2013","27","176.55","6284.197"
"USEP","01 Jul 2013","28","300.76","6343.961"
"USEP","01 Jul 2013","29","288.18","6357.346"
"USEP","01 Jul 2013","30","287.18","6360.422"
"USEP","01 Jul 2013","31","282.16","6350.413"
"USEP","01 Jul 2013","32","240.16","6336.218"
"USEP","01 Jul 2013","33","227.31","6316.284"
"USEP","01 Jul 2013","34","202.58","6279.401"
"USEP","01 Jul 2013","35","165.85","6157.070"
"USEP","01 Jul 2013","36","156.16","5992.632"
"USEP","01 Jul 2013","37","154.43","5881.240"
"USEP","01 Jul 2013","38","154.45","5930.577"
"USEP","01 Jul 2013","39","167.62","5993.552"
"USEP","01 Jul 2013","40","166.78","5976.370"
"USEP","01 Jul 2013","41","167.65","5953.310"
"USEP","01 Jul 2013","42","199.77","5940.477"
"USEP","01 Jul 2013","43","222.89","5889.872"
"USEP","01 Jul 2013","44","293.14","5778.897"
"USEP","01 Jul 2013","45","265.56","5642.640"
"USEP","01 Jul 2013","46","240.08","5505.756"
"USEP","01 Jul 2013","47","211.95","5368.445"
"USEP","01 Jul 2013","48","192.32","5265.278"
"USEP","02 Jul 2013","1","180.30","5116.868"
"USEP","02 Jul 2013","2","170.27","4977.510"
"USEP","02 Jul 2013","3","170.07","4801.189"
"USEP","02 Jul 2013","4","167.22","4724.472"
"USEP","02 Jul 2013","5","167.19","4686.675"
"USEP","02 Jul 2013","6","160.09","4670.080"
"USEP","02 Jul 2013","7","160.31","4647.984"
"USEP","02 Jul 2013","8","159.98","4628.392"
"USEP","02 Jul 2013","9","160.02","4608.353"
"USEP","02 Jul 2013","10","160.02","4615.087"
"USEP","02 Jul 2013","11","160.42","4653.784"
"USEP","02 Jul 2013","12","169.17","4750.063"
"USEP","02 Jul 2013","13","207.83","4908.670"
"USEP","02 Jul 2013","14","228.21","5098.937"
"USEP","02 Jul 2013","15","259.42","5293.999"
"USEP","02 Jul 2013","16","290.08","5550.690"
"USEP","02 Jul 2013","17","285.07","5751.667"
"USEP","02 Jul 2013","18","300.67","5957.902"
"USEP","02 Jul 2013","19","351.21","6153.273"
"USEP","02 Jul 2013","20","394.07","6312.780"
"USEP","02 Jul 2013","21","351.13","6392.792"
"USEP","02 Jul 2013","22","401.61","6446.160"
"USEP","02 Jul 2013","23","351.17","6426.081"
"USEP","02 Jul 2013","24","351.15","6383.051"
"USEP","02 Jul 2013","25","300.71","6332.352"
"USEP","02 Jul 2013","26","294.46","6302.015"
"USEP","02 Jul 2013","27","288.22","6296.642"
"USEP","02 Jul 2013","28","294.41","6363.464"
"USEP","02 Jul 2013","29","298.47","6382.887"
"USEP","02 Jul 2013","30","287.14","6318.769"
"USEP","02 Jul 2013","31","282.97","6274.640"
