"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jun 2010","1","183.33","4667.884"
"USEP","01 Jun 2010","2","179.31","4560.030"
"USEP","01 Jun 2010","3","179.20","4466.037"
"USEP","01 Jun 2010","4","170.91","4402.689"
"USEP","01 Jun 2010","5","165.87","4339.650"
"USEP","01 Jun 2010","6","156.96","4303.801"
"USEP","01 Jun 2010","7","156.93","4273.246"
"USEP","01 Jun 2010","8","154.92","4259.056"
"USEP","01 Jun 2010","9","154.57","4233.128"
"USEP","01 Jun 2010","10","153.88","4224.356"
"USEP","01 Jun 2010","11","156.91","4282.376"
"USEP","01 Jun 2010","12","165.33","4387.973"
"USEP","01 Jun 2010","13","169.22","4520.245"
"USEP","01 Jun 2010","14","166.45","4617.622"
"USEP","01 Jun 2010","15","133.37","4763.477"
"USEP","01 Jun 2010","16","157.07","5078.167"
"USEP","01 Jun 2010","17","179.31","5423.060"
"USEP","01 Jun 2010","18","175.32","5641.800"
"USEP","01 Jun 2010","19","181.40","5754.828"
"USEP","01 Jun 2010","20","184.42","5851.052"
"USEP","01 Jun 2010","21","195.59","5952.649"
"USEP","01 Jun 2010","22","204.68","6003.810"
"USEP","01 Jun 2010","23","199.51","6014.664"
"USEP","01 Jun 2010","24","187.04","5969.989"
"USEP","01 Jun 2010","25","193.42","5939.428"
"USEP","01 Jun 2010","26","193.74","5959.189"
"USEP","01 Jun 2010","27","186.45","6009.331"
"USEP","01 Jun 2010","28","223.91","6084.677"
"USEP","01 Jun 2010","29","219.18","6100.933"
"USEP","01 Jun 2010","30","229.27","6095.516"
"USEP","01 Jun 2010","31","194.23","6058.505"
"USEP","01 Jun 2010","32","252.31","6051.035"
"USEP","01 Jun 2010","33","284.64","6028.699"
"USEP","01 Jun 2010","34","272.24","5960.884"
"USEP","01 Jun 2010","35","191.92","5867.025"
"USEP","01 Jun 2010","36","175.23","5727.324"
"USEP","01 Jun 2010","37","175.15","5643.599"
"USEP","01 Jun 2010","38","186.65","5667.922"
"USEP","01 Jun 2010","39","191.36","5671.918"
"USEP","01 Jun 2010","40","181.70","5648.897"
"USEP","01 Jun 2010","41","179.31","5628.798"
"USEP","01 Jun 2010","42","336.96","5595.509"
"USEP","01 Jun 2010","43","233.65","5515.204"
"USEP","01 Jun 2010","44","192.41","5396.431"
"USEP","01 Jun 2010","45","191.38","5276.967"
"USEP","01 Jun 2010","46","181.42","5170.450"
"USEP","01 Jun 2010","47","181.36","5056.627"
"USEP","01 Jun 2010","48","174.35","4942.740"
"USEP","02 Jun 2010","1","252.55","4812.540"
"USEP","02 Jun 2010","2","201.99","4695.611"
"USEP","02 Jun 2010","3","191.22","4524.882"
