"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Jun 2013","1","153.43","4791.189"
"USEP","01 Jun 2013","2","165.58","4685.015"
"USEP","01 Jun 2013","3","153.42","4566.416"
"USEP","01 Jun 2013","4","153.28","4487.552"
"USEP","01 Jun 2013","5","153.24","4445.262"
"USEP","01 Jun 2013","6","153.20","4418.852"
"USEP","01 Jun 2013","7","152.90","4378.903"
"USEP","01 Jun 2013","8","150.97","4341.106"
"USEP","01 Jun 2013","9","150.94","4331.608"
"USEP","01 Jun 2013","10","150.96","4340.276"
"USEP","01 Jun 2013","11","151.99","4364.048"
"USEP","01 Jun 2013","12","152.92","4417.247"
"USEP","01 Jun 2013","13","153.23","4482.542"
"USEP","01 Jun 2013","14","153.22","4537.441"
"USEP","01 Jun 2013","15","153.37","4618.725"
"USEP","01 Jun 2013","16","161.20","4813.331"
"USEP","01 Jun 2013","17","167.73","5031.921"
"USEP","01 Jun 2013","18","242.08","5201.135"
"USEP","01 Jun 2013","19","252.53","5324.704"
"USEP","01 Jun 2013","20","262.70","5432.250"
"USEP","01 Jun 2013","21","268.20","5538.573"
"USEP","01 Jun 2013","22","262.71","5626.626"
"USEP","01 Jun 2013","23","262.70","5632.252"
"USEP","01 Jun 2013","24","252.61","5613.133"
"USEP","01 Jun 2013","25","294.23","5572.781"
"USEP","01 Jun 2013","26","252.31","5547.832"
"USEP","01 Jun 2013","27","242.45","5537.400"
"USEP","01 Jun 2013","28","242.48","5523.718"
"USEP","01 Jun 2013","29","242.44","5499.355"
"USEP","01 Jun 2013","30","187.89","5489.276"
"USEP","01 Jun 2013","31","184.90","5476.040"
"USEP","01 Jun 2013","32","170.69","5424.909"
"USEP","01 Jun 2013","33","153.57","5360.379"
"USEP","01 Jun 2013","34","162.71","5295.843"
"USEP","01 Jun 2013","35","153.56","5247.122"
"USEP","01 Jun 2013","36","153.56","5203.481"
"USEP","01 Jun 2013","37","155.91","5182.189"
"USEP","01 Jun 2013","38","208.25","5202.313"
"USEP","01 Jun 2013","39","166.22","5250.721"
"USEP","01 Jun 2013","40","153.57","5248.141"
