"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Mar 2010","1","188.23","4552.888"
"USEP","01 Mar 2010","2","173.37","4462.513"
"USEP","01 Mar 2010","3","136.41","4354.277"
"USEP","01 Mar 2010","4","136.68","4280.169"
"USEP","01 Mar 2010","5","136.22","4189.650"
"USEP","01 Mar 2010","6","130.73","4160.591"
"USEP","01 Mar 2010","7","129.11","4121.686"
"USEP","01 Mar 2010","8","129.08","4104.430"
"USEP","01 Mar 2010","9","128.99","4091.548"
"USEP","01 Mar 2010","10","129.08","4105.101"
"USEP","01 Mar 2010","11","129.15","4170.526"
"USEP","01 Mar 2010","12","136.67","4290.700"
"USEP","01 Mar 2010","13","139.51","4437.286"
"USEP","01 Mar 2010","14","139.30","4556.049"
"USEP","01 Mar 2010","15","149.65","4727.787"
"USEP","01 Mar 2010","16","173.35","5010.744"
"USEP","01 Mar 2010","17","197.59","5323.998"
"USEP","01 Mar 2010","18","206.59","5565.381"
"USEP","01 Mar 2010","19","251.28","5713.661"
"USEP","01 Mar 2010","20","226.88","5803.792"
"USEP","01 Mar 2010","21","251.59","5891.786"
"USEP","01 Mar 2010","22","302.80","5947.987"
"USEP","01 Mar 2010","23","343.26","5948.439"
"USEP","01 Mar 2010","24","302.78","5908.301"
"USEP","01 Mar 2010","25","251.63","5863.144"
"USEP","01 Mar 2010","26","262.43","5863.338"
"USEP","01 Mar 2010","27","234.26","5943.091"
"USEP","01 Mar 2010","28","301.97","6013.248"
"USEP","01 Mar 2010","29","302.92","6025.772"
"USEP","01 Mar 2010","30","262.36","5980.187"
"USEP","01 Mar 2010","31","302.09","5974.154"
"USEP","01 Mar 2010","32","222.09","5992.920"
"USEP","01 Mar 2010","33","236.88","6026.880"
"USEP","01 Mar 2010","34","222.09","5991.504"
"USEP","01 Mar 2010","35","201.84","5872.393"
"USEP","01 Mar 2010","36","222.03","5678.836"
"USEP","01 Mar 2010","37","196.00","5528.424"
"USEP","01 Mar 2010","38","199.48","5527.679"
"USEP","01 Mar 2010","39","193.75","5536.018"
"USEP","01 Mar 2010","40","193.75","5533.573"
