"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Mar 2013","1","183.94","4740.615"
"USEP","01 Mar 2013","2","171.77","4610.863"
"USEP","01 Mar 2013","3","161.49","4469.730"
"USEP","01 Mar 2013","4","156.47","4383.590"
"USEP","01 Mar 2013","5","156.38","4365.275"
"USEP","01 Mar 2013","6","156.38","4373.660"
"USEP","01 Mar 2013","7","156.19","4336.852"
"USEP","01 Mar 2013","8","156.19","4337.021"
"USEP","01 Mar 2013","9","156.21","4353.024"
"USEP","01 Mar 2013","10","156.42","4380.802"
"USEP","01 Mar 2013","11","161.42","4463.438"
"USEP","01 Mar 2013","12","171.56","4612.026"
"USEP","01 Mar 2013","13","183.77","4777.442"
"USEP","01 Mar 2013","14","183.84","4896.474"
"USEP","01 Mar 2013","15","185.55","5055.226"
"USEP","01 Mar 2013","16","166.80","5289.680"
"USEP","01 Mar 2013","17","177.02","5539.542"
"USEP","01 Mar 2013","18","166.98","5753.560"
"USEP","01 Mar 2013","19","172.05","5898.336"
"USEP","01 Mar 2013","20","177.27","6015.439"
"USEP","01 Mar 2013","21","194.43","6111.689"
"USEP","01 Mar 2013","22","234.76","6185.483"
"USEP","01 Mar 2013","23","243.15","6206.695"
"USEP","01 Mar 2013","24","216.95","6163.436"
"USEP","01 Mar 2013","25","190.73","6103.404"
"USEP","01 Mar 2013","26","202.94","6132.225"
"USEP","01 Mar 2013","27","229.12","6190.210"
"USEP","01 Mar 2013","28","246.09","6228.886"
"USEP","01 Mar 2013","29","362.54","6201.094"
"USEP","01 Mar 2013","30","492.36","6238.602"
"USEP","01 Mar 2013","31","487.17","6310.300"
"USEP","01 Mar 2013","32","492.40","6326.880"
"USEP","01 Mar 2013","33","326.19","6275.942"
"USEP","01 Mar 2013","34","202.95","6230.263"
"USEP","01 Mar 2013","35","181.11","6143.193"
"USEP","01 Mar 2013","36","167.01","6010.484"
"USEP","01 Mar 2013","37","167.02","5908.207"
"USEP","01 Mar 2013","38","161.87","5861.717"
"USEP","01 Mar 2013","39","161.71","5836.003"
"USEP","01 Mar 2013","40","160.22","5800.686"
"USEP","01 Mar 2013","41","156.85","5752.874"
"USEP","01 Mar 2013","42","162.93","5696.077"
"USEP","01 Mar 2013","43","161.69","5606.344"
"USEP","01 Mar 2013","44","160.18","5478.471"
"USEP","01 Mar 2013","45","156.55","5337.437"
"USEP","01 Mar 2013","46","156.52","5210.468"
"USEP","01 Mar 2013","47","161.56","5105.507"
"USEP","01 Mar 2013","48","158.48","4978.971"
"USEP","02 Mar 2013","1","157.10","4858.796"
"USEP","02 Mar 2013","2","181.77","4747.945"
"USEP","02 Mar 2013","3","171.61","4684.419"
"USEP","02 Mar 2013","4","165.07","4609.710"
"USEP","02 Mar 2013","5","161.48","4548.504"
"USEP","02 Mar 2013","6","157.74","4498.446"
"USEP","02 Mar 2013","7","155.27","4461.226"
"USEP","02 Mar 2013","8","155.23","4431.262"
"USEP","02 Mar 2013","9","155.19","4421.252"
"USEP","02 Mar 2013","10","155.22","4415.810"
"USEP","02 Mar 2013","11","155.28","4447.524"
"USEP","02 Mar 2013","12","155.24","4506.314"
"USEP","02 Mar 2013","13","155.24","4567.082"
"USEP","02 Mar 2013","14","155.30","4622.339"
"USEP","02 Mar 2013","15","155.47","4698.752"
"USEP","02 Mar 2013","16","155.53","4845.173"
"USEP","02 Mar 2013","17","155.34","5071.179"
"USEP","02 Mar 2013","18","155.85","5250.238"
"USEP","02 Mar 2013","19","161.69","5442.602"
"USEP","02 Mar 2013","20","170.81","5565.744"
"USEP","02 Mar 2013","21","180.94","5628.172"
"USEP","02 Mar 2013","22","181.86","5685.153"
"USEP","02 Mar 2013","23","181.88","5700.958"
"USEP","02 Mar 2013","24","181.82","5652.257"
"USEP","02 Mar 2013","25","175.90","5590.753"
"USEP","02 Mar 2013","26","178.80","5606.727"
"USEP","02 Mar 2013","27","180.94","5626.090"
"USEP","02 Mar 2013","28","178.96","5616.363"
"USEP","02 Mar 2013","29","180.92","5570.277"
"USEP","02 Mar 2013","30","171.74","5497.575"
"USEP","02 Mar 2013","31","171.77","5478.138"
"USEP","02 Mar 2013","32","165.78","5497.431"
"USEP","02 Mar 2013","33","161.58","5466.776"
"USEP","02 Mar 2013","34","159.12","5388.250"
"USEP","02 Mar 2013","35","162.83","5332.328"
"USEP","02 Mar 2013","36","161.61","5255.566"
"USEP","02 Mar 2013","37","161.56","5230.274"
