"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Mar 2017","1","73.05","0.00","5072.854","0.000"
"USEP","01 Mar 2017","2","70.92","0.00","4960.333","0.000"
"USEP","01 Mar 2017","3","71.99","0.00","4858.677","0.000"
"USEP","01 Mar 2017","4","70.84","0.00","4790.002","0.000"
"USEP","01 Mar 2017","5","68.39","0.00","4727.469","0.000"
"USEP","01 Mar 2017","6","67.42","0.00","4669.732","0.000"
"USEP","01 Mar 2017","7","67.12","0.00","4630.703","0.000"
"USEP","01 Mar 2017","8","66.42","0.00","4608.969","0.000"
"USEP","01 Mar 2017","9","66.12","0.00","4596.370","0.000"
"USEP","01 Mar 2017","10","66.12","0.00","4616.544","0.000"
"USEP","01 Mar 2017","11","68.36","0.00","4691.740","0.000"
"USEP","01 Mar 2017","12","70.85","0.00","4844.935","0.000"
"USEP","01 Mar 2017","13","73.01","0.00","5009.447","0.000"
"USEP","01 Mar 2017","14","74.04","0.00","5151.847","0.000"
"USEP","01 Mar 2017","15","74.01","0.00","5335.027","0.000"
"USEP","01 Mar 2017","16","94.44","0.00","5602.318","0.000"
"USEP","01 Mar 2017","17","109.78","0.00","5874.848","0.000"
"USEP","01 Mar 2017","18","89.12","0.00","6066.024","0.000"
"USEP","01 Mar 2017","19","91.36","0.00","6179.792","0.000"
"USEP","01 Mar 2017","20","89.87","0.00","6228.593","0.000"
"USEP","01 Mar 2017","21","104.42","0.00","6279.143","0.000"
"USEP","01 Mar 2017","22","113.64","0.00","6302.054","0.000"
"USEP","01 Mar 2017","23","151.52","0.00","6303.103","0.000"
"USEP","01 Mar 2017","24","124.21","0.00","6254.342","0.000"
"USEP","01 Mar 2017","25","94.86","0.00","6209.945","0.000"
"USEP","01 Mar 2017","26","98.32","0.00","6233.111","0.000"
"USEP","01 Mar 2017","27","78.41","0.00","6290.623","0.000"
"USEP","01 Mar 2017","28","75.58","0.00","6328.510","0.000"
"USEP","01 Mar 2017","29","76.23","0.00","6317.347","0.000"
"USEP","01 Mar 2017","30","76.22","0.00","6314.186","0.000"
"USEP","01 Mar 2017","31","74.52","0.00","6298.034","0.000"
"USEP","01 Mar 2017","32","74.18","0.00","6283.824","0.000"
"USEP","01 Mar 2017","33","73.17","0.00","6250.242","0.000"
"USEP","01 Mar 2017","34","73.05","0.00","6215.934","0.000"
"USEP","01 Mar 2017","35","88.55","0.00","6147.895","0.000"
"USEP","01 Mar 2017","36","75.57","0.00","6033.923","0.000"
"USEP","01 Mar 2017","37","74.05","0.00","5954.666","0.000"
"USEP","01 Mar 2017","38","74.45","0.00","5958.051","0.000"
"USEP","01 Mar 2017","39","75.09","0.00","5994.521","0.000"
"USEP","01 Mar 2017","40","75.56","0.00","5989.983","0.000"
"USEP","01 Mar 2017","41","75.10","0.00","5944.080","0.000"
"USEP","01 Mar 2017","42","96.02","0.00","5890.360","0.000"
"USEP","01 Mar 2017","43","90.53","0.00","5808.802","0.000"
"USEP","01 Mar 2017","44","88.78","0.00","5672.977","0.000"
"USEP","01 Mar 2017","45","75.09","0.00","5519.419","0.000"
"USEP","01 Mar 2017","46","72.38","0.00","5374.459","0.000"
"USEP","01 Mar 2017","47","69.86","0.00","5235.115","0.000"
"USEP","01 Mar 2017","48","68.12","0.00","5092.481","0.000"
"USEP","02 Mar 2017","1","76.52","0.00","4930.901","0.000"
"USEP","02 Mar 2017","2","75.53","0.00","4821.944","0.000"
"USEP","02 Mar 2017","3","73.98","0.00","4735.168","0.000"
"USEP","02 Mar 2017","4","72.95","0.00","4679.717","0.000"
"USEP","02 Mar 2017","5","71.30","0.00","4643.575","0.000"
"USEP","02 Mar 2017","6","71.15","0.00","4612.404","0.000"
"USEP","02 Mar 2017","7","71.14","0.00","4594.253","0.000"
"USEP","02 Mar 2017","8","71.04","0.00","4577.400","0.000"
"USEP","02 Mar 2017","9","71.13","0.00","4580.263","0.000"
"USEP","02 Mar 2017","10","71.13","0.00","4597.369","0.000"
"USEP","02 Mar 2017","11","72.94","0.00","4690.552","0.000"
"USEP","02 Mar 2017","12","75.51","0.00","4851.416","0.000"
"USEP","02 Mar 2017","13","77.50","0.00","5021.415","0.000"
"USEP","02 Mar 2017","14","84.32","0.00","5177.224","0.000"
"USEP","02 Mar 2017","15","79.61","0.00","5368.639","0.000"
"USEP","02 Mar 2017","16","93.46","0.00","5638.197","0.000"
"USEP","02 Mar 2017","17","89.16","0.00","5934.727","0.000"
"USEP","02 Mar 2017","18","84.70","0.00","6108.200","0.000"
"USEP","02 Mar 2017","19","85.24","0.00","6192.769","0.000"
"USEP","02 Mar 2017","20","89.43","0.00","6290.758","0.000"
"USEP","02 Mar 2017","21","90.43","0.00","6339.275","0.000"
"USEP","02 Mar 2017","22","91.95","0.00","6367.778","0.000"
"USEP","02 Mar 2017","23","91.49","0.00","6354.234","0.000"
"USEP","02 Mar 2017","24","89.15","0.00","6294.719","0.000"
