"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 May 2011","1","251.64","4089.738"
"USEP","01 May 2011","2","314.94","4169.944"
"USEP","01 May 2011","3","316.09","4185.804"
"USEP","01 May 2011","4","457.70","4250.508"
"USEP","01 May 2011","5","387.09","4180.312"
"USEP","01 May 2011","6","352.35","4111.283"
"USEP","01 May 2011","7","214.27","4057.722"
"USEP","01 May 2011","8","212.20","4037.529"
"USEP","01 May 2011","9","212.21","4039.745"
"USEP","01 May 2011","10","212.23","4038.354"
"USEP","01 May 2011","11","214.30","4042.012"
"USEP","01 May 2011","12","218.33","4071.300"
"USEP","01 May 2011","13","251.65","4189.382"
"USEP","01 May 2011","14","251.66","4221.096"
"USEP","01 May 2011","15","251.40","4236.721"
"USEP","01 May 2011","16","282.48","4294.617"
"USEP","01 May 2011","17","271.66","4317.051"
"USEP","01 May 2011","18","282.50","4420.010"
"USEP","01 May 2011","19","291.96","4578.215"
"USEP","01 May 2011","20","284.86","4667.287"
"USEP","01 May 2011","21","295.07","4737.076"
"USEP","01 May 2011","22","234.03","4746.330"
"USEP","01 May 2011","23","230.61","4781.329"
"USEP","01 May 2011","24","232.09","4798.028"
"USEP","01 May 2011","25","229.53","4758.109"
"USEP","01 May 2011","26","221.68","4639.063"
"USEP","01 May 2011","27","221.68","4676.864"
"USEP","01 May 2011","28","229.51","4760.897"
"USEP","01 May 2011","29","229.55","4764.823"
"USEP","01 May 2011","30","230.48","4766.697"
"USEP","01 May 2011","31","235.00","4748.497"
"USEP","01 May 2011","32","233.38","4731.316"
"USEP","01 May 2011","33","230.49","4691.233"
"USEP","01 May 2011","34","230.36","4669.131"
"USEP","01 May 2011","35","225.83","4597.663"
"USEP","01 May 2011","36","229.93","4608.835"
"USEP","01 May 2011","37","230.49","4644.659"
"USEP","01 May 2011","38","240.63","4775.415"
"USEP","01 May 2011","39","252.06","4857.767"
