"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 May 2015","1","90.22","4863.403"
"USEP","01 May 2015","2","81.04","4775.126"
"USEP","01 May 2015","3","90.08","4765.499"
"USEP","01 May 2015","4","79.02","4686.268"
"USEP","01 May 2015","5","77.60","4625.509"
"USEP","01 May 2015","6","76.76","4567.564"
"USEP","01 May 2015","7","76.08","4523.903"
"USEP","01 May 2015","8","75.99","4501.205"
"USEP","01 May 2015","9","75.98","4482.190"
"USEP","01 May 2015","10","75.98","4474.024"
"USEP","01 May 2015","11","75.69","4497.055"
"USEP","01 May 2015","12","75.98","4529.305"
"USEP","01 May 2015","13","75.99","4564.060"
"USEP","01 May 2015","14","75.97","4569.304"
"USEP","01 May 2015","15","76.00","4593.870"
"USEP","01 May 2015","16","76.77","4677.645"
"USEP","01 May 2015","17","78.15","4809.211"
"USEP","01 May 2015","18","81.25","4933.913"
"USEP","01 May 2015","19","90.22","5028.591"
"USEP","01 May 2015","20","90.49","5107.853"
"USEP","01 May 2015","21","81.28","5172.607"
"USEP","01 May 2015","22","81.82","5212.104"
"USEP","01 May 2015","23","81.82","5225.687"
"USEP","01 May 2015","24","81.82","5214.807"
"USEP","01 May 2015","25","81.67","5204.862"
"USEP","01 May 2015","26","81.83","5223.907"
"USEP","01 May 2015","27","83.84","5248.578"
"USEP","01 May 2015","28","83.85","5257.112"
"USEP","01 May 2015","29","83.84","5251.441"
"USEP","01 May 2015","30","83.84","5256.640"
"USEP","01 May 2015","31","83.85","5258.051"
"USEP","01 May 2015","32","83.85","5240.641"
"USEP","01 May 2015","33","81.81","5221.069"
"USEP","01 May 2015","34","81.82","5205.986"
"USEP","01 May 2015","35","81.66","5200.151"
"USEP","01 May 2015","36","92.74","5200.310"
"USEP","01 May 2015","37","92.99","5242.600"
"USEP","01 May 2015","38","90.52","5346.284"
"USEP","01 May 2015","39","93.64","5437.921"
"USEP","01 May 2015","40","93.65","5456.588"
"USEP","01 May 2015","41","93.65","5455.306"
"USEP","01 May 2015","42","92.86","5464.540"
"USEP","01 May 2015","43","90.58","5436.052"
"USEP","01 May 2015","44","89.97","5356.641"
"USEP","01 May 2015","45","83.87","5255.815"
"USEP","01 May 2015","46","80.09","5136.003"
"USEP","01 May 2015","47","90.52","5035.440"
"USEP","01 May 2015","48","90.45","4965.124"
"USEP","02 May 2015","1","91.25","4907.587"
"USEP","02 May 2015","2","90.38","4834.642"
"USEP","02 May 2015","3","81.04","4730.188"
"USEP","02 May 2015","4","78.04","4665.006"
"USEP","02 May 2015","5","77.00","4607.752"
"USEP","02 May 2015","6","75.64","4555.954"
"USEP","02 May 2015","7","75.00","4514.723"
"USEP","02 May 2015","8","73.46","4486.926"
"USEP","02 May 2015","9","73.45","4464.844"
"USEP","02 May 2015","10","72.92","4467.364"
"USEP","02 May 2015","11","72.92","4495.191"
"USEP","02 May 2015","12","72.92","4539.255"
"USEP","02 May 2015","13","68.60","4598.895"
"USEP","02 May 2015","14","72.38","4654.663"
"USEP","02 May 2015","15","69.59","4742.101"
"USEP","02 May 2015","16","74.18","4972.336"
"USEP","02 May 2015","17","73.05","5243.922"
"USEP","02 May 2015","18","79.79","5429.064"
"USEP","02 May 2015","19","81.29","5504.136"
"USEP","02 May 2015","20","88.30","5588.044"
"USEP","02 May 2015","21","91.34","5666.908"
"USEP","02 May 2015","22","91.57","5709.417"
"USEP","02 May 2015","23","91.37","5707.260"
"USEP","02 May 2015","24","83.90","5665.383"
"USEP","02 May 2015","25","83.91","5618.779"
"USEP","02 May 2015","26","81.44","5584.854"
"USEP","02 May 2015","27","81.41","5565.650"
"USEP","02 May 2015","28","81.35","5554.815"
"USEP","02 May 2015","29","80.34","5535.825"
"USEP","02 May 2015","30","80.27","5503.107"
"USEP","02 May 2015","31","79.80","5471.001"
"USEP","02 May 2015","32","79.02","5441.593"
"USEP","02 May 2015","33","78.23","5418.284"
"USEP","02 May 2015","34","78.13","5391.198"
"USEP","02 May 2015","35","78.13","5363.584"
"USEP","02 May 2015","36","77.81","5340.424"
"USEP","02 May 2015","37","77.82","5349.897"
"USEP","02 May 2015","38","78.24","5422.176"
"USEP","02 May 2015","39","80.37","5487.919"
"USEP","02 May 2015","40","81.41","5512.063"
"USEP","02 May 2015","41","81.41","5511.059"
"USEP","02 May 2015","42","81.43","5526.546"
"USEP","02 May 2015","43","83.72","5517.376"
"USEP","02 May 2015","44","81.38","5444.754"
"USEP","02 May 2015","45","80.27","5373.082"
"USEP","02 May 2015","46","78.14","5283.100"
"USEP","02 May 2015","47","75.07","5195.061"
"USEP","02 May 2015","48","91.62","5124.791"
"USEP","03 May 2015","1","91.78","5037.532"
"USEP","03 May 2015","2","112.33","4931.766"
"USEP","03 May 2015","3","93.46","4808.783"
"USEP","03 May 2015","4","91.54","4729.715"
"USEP","03 May 2015","5","87.05","4635.370"
"USEP","03 May 2015","6","81.01","4579.756"
"USEP","03 May 2015","7","80.05","4537.262"
"USEP","03 May 2015","8","78.02","4507.069"
"USEP","03 May 2015","9","76.99","4486.986"
"USEP","03 May 2015","10","75.97","4479.814"
"USEP","03 May 2015","11","75.97","4495.489"
"USEP","03 May 2015","12","76.99","4525.091"
"USEP","03 May 2015","13","75.97","4554.687"
"USEP","03 May 2015","14","75.97","4561.093"
"USEP","03 May 2015","15","75.97","4566.516"
"USEP","03 May 2015","16","78.03","4643.585"
"USEP","03 May 2015","17","80.18","4766.946"
"USEP","03 May 2015","18","91.37","4893.323"
"USEP","03 May 2015","19","91.21","5000.014"
"USEP","03 May 2015","20","91.53","5090.398"
"USEP","03 May 2015","21","81.81","5166.663"
"USEP","03 May 2015","22","82.55","5202.059"
"USEP","03 May 2015","23","82.30","5205.573"
"USEP","03 May 2015","24","81.81","5182.622"
"USEP","03 May 2015","25","81.28","5171.032"
"USEP","03 May 2015","26","81.28","5179.192"
"USEP","03 May 2015","27","82.30","5205.643"
"USEP","03 May 2015","28","81.80","5210.911"
"USEP","03 May 2015","29","83.83","5220.577"
"USEP","03 May 2015","30","81.80","5212.233"
"USEP","03 May 2015","31","81.81","5194.823"
"USEP","03 May 2015","32","81.28","5179.421"
"USEP","03 May 2015","33","81.28","5173.387"
"USEP","03 May 2015","34","81.27","5159.024"
"USEP","03 May 2015","35","81.26","5136.013"
"USEP","03 May 2015","36","91.23","5121.620"
"USEP","03 May 2015","37","92.95","5177.686"
"USEP","03 May 2015","38","83.85","5288.860"
"USEP","03 May 2015","39","92.97","5383.663"
"USEP","03 May 2015","40","96.07","5423.194"
"USEP","03 May 2015","41","99.11","5461.478"
"USEP","03 May 2015","42","115.31","5507.252"
"USEP","03 May 2015","43","115.02","5498.808"
"USEP","03 May 2015","44","102.68","5419.353"
"USEP","03 May 2015","45","98.42","5305.937"
"USEP","03 May 2015","46","92.61","5210.324"
"USEP","03 May 2015","47","112.34","5089.712"
"USEP","03 May 2015","48","92.56","4934.877"
"USEP","04 May 2015","1","87.08","4784.718"
"USEP","04 May 2015","2","79.16","4687.908"
"USEP","04 May 2015","3","79.05","4627.537"
"USEP","04 May 2015","4","77.01","4560.104"
"USEP","04 May 2015","5","76.98","4500.912"
"USEP","04 May 2015","6","74.98","4464.382"
"USEP","04 May 2015","7","71.53","4438.737"
"USEP","04 May 2015","8","71.20","4410.353"
"USEP","04 May 2015","9","71.18","4404.603"
"USEP","04 May 2015","10","71.19","4433.454"
"USEP","04 May 2015","11","75.00","4498.282"
"USEP","04 May 2015","12","70.06","4627.895"
"USEP","04 May 2015","13","79.07","4812.143"
"USEP","04 May 2015","14","87.11","4992.335"
"USEP","04 May 2015","15","72.29","5210.737"
"USEP","04 May 2015","16","82.32","5528.270"
"USEP","04 May 2015","17","91.80","5838.860"
"USEP","04 May 2015","18","82.35","6049.772"
"USEP","04 May 2015","19","80.63","6190.006"
"USEP","04 May 2015","20","81.91","6279.083"
"USEP","04 May 2015","21","91.39","6347.654"
"USEP","04 May 2015","22","91.42","6395.893"
"USEP","04 May 2015","23","91.49","6411.151"
"USEP","04 May 2015","24","89.84","6378.717"
"USEP","04 May 2015","25","83.60","6334.817"
"USEP","04 May 2015","26","84.54","6336.670"
"USEP","04 May 2015","27","91.52","6394.909"
"USEP","04 May 2015","28","91.74","6430.439"
"USEP","04 May 2015","29","94.81","6439.266"
"USEP","04 May 2015","30","93.66","6438.068"
"USEP","04 May 2015","31","91.69","6436.359"
"USEP","04 May 2015","32","91.69","6427.835"
"USEP","04 May 2015","33","86.36","6388.269"
"USEP","04 May 2015","34","83.44","6324.852"
"USEP","04 May 2015","35","82.34","6217.331"
"USEP","04 May 2015","36","79.80","6067.252"
"USEP","04 May 2015","37","79.16","5965.014"
"USEP","04 May 2015","38","79.26","5967.931"
"USEP","04 May 2015","39","83.23","5999.938"
"USEP","04 May 2015","40","82.41","5978.299"
"USEP","04 May 2015","41","81.87","5936.198"
"USEP","04 May 2015","42","99.28","5879.510"
"USEP","04 May 2015","43","88.54","5795.949"
"USEP","04 May 2015","44","86.46","5662.172"
"USEP","04 May 2015","45","82.38","5515.100"
"USEP","04 May 2015","46","79.26","5365.021"
"USEP","04 May 2015","47","77.12","5220.180"
"USEP","04 May 2015","48","75.05","5132.102"
"USEP","05 May 2015","1","82.73","5052.547"
"USEP","05 May 2015","2","80.25","4940.190"
"USEP","05 May 2015","3","77.65","4841.292"
"USEP","05 May 2015","4","76.65","4778.556"
"USEP","05 May 2015","5","75.63","4726.798"
"USEP","05 May 2015","6","74.00","4684.379"
"USEP","05 May 2015","7","73.99","4651.701"
"USEP","05 May 2015","8","73.97","4632.164"
"USEP","05 May 2015","9","73.95","4630.291"
"USEP","05 May 2015","10","73.97","4647.084"
"USEP","05 May 2015","11","74.02","4704.011"
"USEP","05 May 2015","12","77.07","4826.094"
"USEP","05 May 2015","13","79.11","4972.013"
"USEP","05 May 2015","14","79.23","5090.900"
"USEP","05 May 2015","15","72.28","5255.869"
"USEP","05 May 2015","16","80.31","5553.985"
"USEP","05 May 2015","17","91.59","5847.429"
"USEP","05 May 2015","18","80.29","6043.863"
"USEP","05 May 2015","19","79.26","6172.412"
"USEP","05 May 2015","20","81.53","6288.357"
"USEP","05 May 2015","21","83.44","6370.581"
"USEP","05 May 2015","22","96.47","6419.421"
"USEP","05 May 2015","23","96.81","6438.461"
"USEP","05 May 2015","24","86.75","6390.307"
"USEP","05 May 2015","25","82.84","6366.088"
"USEP","05 May 2015","26","84.73","6383.055"
"USEP","05 May 2015","27","96.57","6431.274"
"USEP","05 May 2015","28","96.91","6481.039"
"USEP","05 May 2015","29","96.88","6490.636"
"USEP","05 May 2015","30","96.71","6478.400"
"USEP","05 May 2015","31","96.92","6474.185"
"USEP","05 May 2015","32","96.92","6476.551"
"USEP","05 May 2015","33","98.63","6478.976"
"USEP","05 May 2015","34","96.92","6452.064"
"USEP","05 May 2015","35","96.51","6383.741"
"USEP","05 May 2015","36","81.42","6249.382"
"USEP","05 May 2015","37","81.37","6160.936"
"USEP","05 May 2015","38","96.76","6173.784"
"USEP","05 May 2015","39","113.16","6171.860"
"USEP","05 May 2015","40","108.86","6145.420"
"USEP","05 May 2015","41","99.20","6069.270"
"USEP","05 May 2015","42","149.58","6010.032"
"USEP","05 May 2015","43","148.48","5938.096"
"USEP","05 May 2015","44","170.12","5805.989"
"USEP","05 May 2015","45","129.54","5669.562"
"USEP","05 May 2015","46","98.48","5521.506"
"USEP","05 May 2015","47","96.33","5404.259"
"USEP","05 May 2015","48","79.26","5259.125"
"USEP","06 May 2015","1","114.86","5111.918"
"USEP","06 May 2015","2","96.54","5002.842"
"USEP","06 May 2015","3","82.75","4914.808"
"USEP","06 May 2015","4","95.55","4846.809"
"USEP","06 May 2015","5","79.21","4785.876"
"USEP","06 May 2015","6","77.25","4741.072"
"USEP","06 May 2015","7","77.09","4710.526"
"USEP","06 May 2015","8","75.62","4678.619"
"USEP","06 May 2015","9","76.63","4690.423"
"USEP","06 May 2015","10","77.07","4697.187"
"USEP","06 May 2015","11","77.25","4753.959"
"USEP","06 May 2015","12","96.25","4883.522"
"USEP","06 May 2015","13","98.27","5044.391"
"USEP","06 May 2015","14","103.77","5190.454"
"USEP","06 May 2015","15","79.27","5388.752"
"USEP","06 May 2015","16","82.80","5659.334"
"USEP","06 May 2015","17","96.95","5950.755"
"USEP","06 May 2015","18","82.42","6153.963"
"USEP","06 May 2015","19","82.83","6294.286"
"USEP","06 May 2015","20","85.70","6355.313"
"USEP","06 May 2015","21","96.45","6371.669"
"USEP","06 May 2015","22","88.79","6383.761"
"USEP","06 May 2015","23","82.42","6334.678"
"USEP","06 May 2015","24","88.34","6370.059"
"USEP","06 May 2015","25","96.51","6384.542"
"USEP","06 May 2015","26","96.81","6428.531"
"USEP","06 May 2015","27","96.90","6440.285"
"USEP","06 May 2015","28","98.59","6481.790"
"USEP","06 May 2015","29","99.38","6503.831"
"USEP","06 May 2015","30","98.60","6487.112"
"USEP","06 May 2015","31","98.60","6498.245"
"USEP","06 May 2015","32","98.71","6498.489"
"USEP","06 May 2015","33","96.96","6494.657"
"USEP","06 May 2015","34","96.72","6464.350"
"USEP","06 May 2015","35","83.46","6368.459"
"USEP","06 May 2015","36","81.37","6220.025"
"USEP","06 May 2015","37","79.34","6113.418"
"USEP","06 May 2015","38","81.10","6110.287"
"USEP","06 May 2015","39","96.57","6120.232"
"USEP","06 May 2015","40","96.48","6094.592"
"USEP","06 May 2015","41","98.60","6052.496"
"USEP","06 May 2015","42","184.07","5992.930"
"USEP","06 May 2015","43","152.65","5910.359"
"USEP","06 May 2015","44","132.46","5794.697"
"USEP","06 May 2015","45","193.11","5657.833"
"USEP","06 May 2015","46","282.45","5516.680"
"USEP","06 May 2015","47","216.18","5385.641"
"USEP","06 May 2015","48","169.71","5264.070"
"USEP","07 May 2015","1","172.22","5153.304"
"USEP","07 May 2015","2","140.21","5037.627"
"USEP","07 May 2015","3","120.45","4922.039"
"USEP","07 May 2015","4","120.08","4859.636"
"USEP","07 May 2015","5","111.92","4804.265"
"USEP","07 May 2015","6","101.79","4761.538"
"USEP","07 May 2015","7","101.77","4726.192"
"USEP","07 May 2015","8","101.41","4697.112"
"USEP","07 May 2015","9","101.41","4686.064"
"USEP","07 May 2015","10","101.66","4706.327"
"USEP","07 May 2015","11","90.38","4765.644"
"USEP","07 May 2015","12","101.78","4889.630"
"USEP","07 May 2015","13","118.30","5056.403"
"USEP","07 May 2015","14","109.03","5189.694"
"USEP","07 May 2015","15","79.52","5373.216"
"USEP","07 May 2015","16","101.54","5654.434"
