"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 May 2018","1","100.71","0.00","5531.819","0.000"
"USEP","01 May 2018","2","97.51","0.00","5434.407","0.000"
"USEP","01 May 2018","3","100.96","0.00","5403.260","0.000"
"USEP","01 May 2018","4","100.06","0.00","5320.798","0.000"
"USEP","01 May 2018","5","95.64","0.00","5243.410","0.000"
"USEP","01 May 2018","6","93.57","0.00","5176.061","0.000"
"USEP","01 May 2018","7","92.74","0.00","5125.293","0.000"
"USEP","01 May 2018","8","92.74","0.00","5088.127","0.000"
"USEP","01 May 2018","9","91.73","0.00","5051.359","0.000"
"USEP","01 May 2018","10","91.72","0.00","5060.847","0.000"
"USEP","01 May 2018","11","90.81","0.00","5090.219","0.000"
"USEP","01 May 2018","12","91.83","0.00","5138.389","0.000"
"USEP","01 May 2018","13","91.83","0.00","5149.710","0.000"
"USEP","01 May 2018","14","91.83","0.00","5177.423","0.000"
"USEP","01 May 2018","15","91.73","0.00","5229.151","0.000"
"USEP","01 May 2018","16","85.28","0.00","5314.520","0.000"
"USEP","01 May 2018","17","85.27","0.00","5424.367","0.000"
"USEP","01 May 2018","18","90.95","0.00","5540.094","0.000"
"USEP","01 May 2018","19","94.29","0.00","5651.631","0.000"
"USEP","01 May 2018","20","96.39","0.00","5747.497","0.000"
"USEP","01 May 2018","21","97.89","0.00","5809.403","0.000"
"USEP","01 May 2018","22","96.38","0.00","5857.876","0.000"
"USEP","01 May 2018","23","94.63","0.00","5815.884","0.000"
"USEP","01 May 2018","24","94.32","0.00","5791.909","0.000"
"USEP","01 May 2018","25","91.06","0.00","5754.455","0.000"
"USEP","01 May 2018","26","91.12","0.00","5760.016","0.000"
"USEP","01 May 2018","27","94.30","0.00","5791.064","0.000"
"USEP","01 May 2018","28","94.31","0.00","5795.661","0.000"
"USEP","01 May 2018","29","94.65","0.00","5810.432","0.000"
"USEP","01 May 2018","30","94.95","0.00","5799.498","0.000"
"USEP","01 May 2018","31","92.16","0.00","5779.027","0.000"
"USEP","01 May 2018","32","91.52","0.00","5758.490","0.000"
"USEP","01 May 2018","33","91.55","0.00","5742.537","0.000"
"USEP","01 May 2018","34","91.54","0.00","5721.081","0.000"
"USEP","01 May 2018","35","91.52","0.00","5717.652","0.000"
"USEP","01 May 2018","36","91.02","0.00","5712.240","0.000"
"USEP","01 May 2018","37","91.55","0.00","5756.179","0.000"
"USEP","01 May 2018","38","99.43","0.00","5862.766","0.000"
"USEP","01 May 2018","39","123.14","0.00","5943.404","0.000"
"USEP","01 May 2018","40","130.40","0.00","5998.392","0.000"
"USEP","01 May 2018","41","237.26","0.00","6011.285","0.000"
"USEP","01 May 2018","42","235.01","0.00","6049.608","0.000"
"USEP","01 May 2018","43","235.01","0.00","6040.558","0.000"
"USEP","01 May 2018","44","123.17","0.00","5957.151","0.000"
"USEP","01 May 2018","45","97.91","0.00","5838.995","0.000"
"USEP","01 May 2018","46","95.27","0.00","5717.577","0.000"
"USEP","01 May 2018","47","100.67","0.00","5609.102","0.000"
"USEP","01 May 2018","48","97.42","0.00","5519.394","0.000"
"USEP","02 May 2018","1","96.41","0.00","5409.880","0.000"
"USEP","02 May 2018","2","94.37","0.00","5287.146","0.000"
"USEP","02 May 2018","3","91.57","0.00","5160.485","0.000"
"USEP","02 May 2018","4","96.37","0.00","5098.216","0.000"
"USEP","02 May 2018","5","95.76","0.00","5036.866","0.000"
"USEP","02 May 2018","6","94.32","0.00","4996.520","0.000"
"USEP","02 May 2018","7","92.59","0.00","4951.705","0.000"
"USEP","02 May 2018","8","86.26","0.00","4925.131","0.000"
"USEP","02 May 2018","9","85.25","0.00","4930.200","0.000"
"USEP","02 May 2018","10","86.02","0.00","4950.528","0.000"
"USEP","02 May 2018","11","91.00","0.00","5015.257","0.000"
"USEP","02 May 2018","12","94.70","0.00","5150.217","0.000"
"USEP","02 May 2018","13","91.02","0.00","5330.936","0.000"
"USEP","02 May 2018","14","93.82","0.00","5517.595","0.000"
"USEP","02 May 2018","15","86.31","0.00","5715.207","0.000"
"USEP","02 May 2018","16","93.23","0.00","6002.865","0.000"
"USEP","02 May 2018","17","97.48","0.00","6284.918","0.000"
"USEP","02 May 2018","18","99.43","0.00","6489.632","0.000"
"USEP","02 May 2018","19","101.54","0.00","6630.224","0.000"
