"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Nov 2011","1","199.62","4460.550"
"USEP","01 Nov 2011","2","177.43","4322.866"
"USEP","01 Nov 2011","3","161.10","4175.058"
"USEP","01 Nov 2011","4","161.10","4088.426"
"USEP","01 Nov 2011","5","164.17","4089.082"
"USEP","01 Nov 2011","6","164.34","4105.364"
"USEP","01 Nov 2011","7","164.16","4091.538"
"USEP","01 Nov 2011","8","162.16","4084.073"
"USEP","01 Nov 2011","9","162.08","4072.010"
"USEP","01 Nov 2011","10","162.10","4077.567"
"USEP","01 Nov 2011","11","165.67","4173.886"
"USEP","01 Nov 2011","12","173.09","4319.556"
"USEP","01 Nov 2011","13","185.87","4501.771"
"USEP","01 Nov 2011","14","199.45","4647.646"
"USEP","01 Nov 2011","15","179.80","4840.745"
"USEP","01 Nov 2011","16","200.12","5139.740"
"USEP","01 Nov 2011","17","215.73","5438.288"
"USEP","01 Nov 2011","18","216.53","5650.532"
"USEP","01 Nov 2011","19","232.17","5764.430"
"USEP","01 Nov 2011","20","221.34","5846.559"
"USEP","01 Nov 2011","21","234.72","5921.680"
"USEP","01 Nov 2011","22","252.44","5978.428"
"USEP","01 Nov 2011","23","242.35","5972.131"
"USEP","01 Nov 2011","24","225.12","5914.747"
"USEP","01 Nov 2011","25","225.11","5861.613"
"USEP","01 Nov 2011","26","225.13","5882.552"
"USEP","01 Nov 2011","27","242.33","5957.653"
"USEP","01 Nov 2011","28","251.98","5986.882"
"USEP","01 Nov 2011","29","259.49","5989.924"
"USEP","01 Nov 2011","30","251.92","5974.174"
"USEP","01 Nov 2011","31","276.71","6030.578"
"USEP","01 Nov 2011","32","503.53","6091.610"
"USEP","01 Nov 2011","33","386.96","6078.732"
"USEP","01 Nov 2011","34","233.98","5914.941"
"USEP","01 Nov 2011","35","221.36","5818.637"
"USEP","01 Nov 2011","36","206.42","5705.118"
"USEP","01 Nov 2011","37","201.84","5652.480"
"USEP","01 Nov 2011","38","206.42","5668.871"
"USEP","01 Nov 2011","39","201.43","5663.534"
"USEP","01 Nov 2011","40","198.38","5615.623"
"USEP","01 Nov 2011","41","193.75","5549.765"
"USEP","01 Nov 2011","42","222.01","5477.676"
"USEP","01 Nov 2011","43","221.61","5373.708"
"USEP","01 Nov 2011","44","216.80","5246.297"
"USEP","01 Nov 2011","45","215.74","5095.885"
"USEP","01 Nov 2011","46","206.19","4939.449"
"USEP","01 Nov 2011","47","175.76","4741.474"
"USEP","01 Nov 2011","48","162.64","4606.514"
"USEP","02 Nov 2011","1","201.43","4479.143"
"USEP","02 Nov 2011","2","200.40","4449.199"
"USEP","02 Nov 2011","3","195.95","4377.377"
"USEP","02 Nov 2011","4","196.06","4306.416"
"USEP","02 Nov 2011","5","185.77","4240.951"
"USEP","02 Nov 2011","6","177.36","4201.474"
"USEP","02 Nov 2011","7","172.20","4171.957"
"USEP","02 Nov 2011","8","171.18","4157.604"
"USEP","02 Nov 2011","9","171.19","4154.478"
"USEP","02 Nov 2011","10","172.22","4171.336"
"USEP","02 Nov 2011","11","185.79","4237.805"
"USEP","02 Nov 2011","12","199.57","4372.969"
"USEP","02 Nov 2011","13","211.47","4534.916"
"USEP","02 Nov 2011","14","211.88","4663.276"
"USEP","02 Nov 2011","15","200.03","4832.699"
"USEP","02 Nov 2011","16","209.61","5133.324"
"USEP","02 Nov 2011","17","239.96","5429.998"
"USEP","02 Nov 2011","18","193.92","5615.479"
"USEP","02 Nov 2011","19","201.47","5727.791"
"USEP","02 Nov 2011","20","225.11","5825.292"
"USEP","02 Nov 2011","21","242.25","5914.285"
"USEP","02 Nov 2011","22","259.53","5959.239"
"USEP","02 Nov 2011","23","282.17","5992.026"
"USEP","02 Nov 2011","24","259.53","5935.288"
"USEP","02 Nov 2011","25","236.49","5866.886"
"USEP","02 Nov 2011","26","250.92","5918.167"
"USEP","02 Nov 2011","27","259.52","5944.254"
"USEP","02 Nov 2011","28","242.33","5920.060"
"USEP","02 Nov 2011","29","225.10","5814.577"
"USEP","02 Nov 2011","30","202.11","5737.045"
"USEP","02 Nov 2011","31","207.06","5712.404"
"USEP","02 Nov 2011","32","207.88","5718.298"
"USEP","02 Nov 2011","33","225.08","5800.532"
"USEP","02 Nov 2011","34","242.33","5859.213"
"USEP","02 Nov 2011","35","259.51","5842.498"
"USEP","02 Nov 2011","36","211.27","5705.992"
"USEP","02 Nov 2011","37","193.15","5595.345"
"USEP","02 Nov 2011","38","196.11","5607.268"
"USEP","02 Nov 2011","39","196.11","5600.718"
"USEP","02 Nov 2011","40","186.95","5561.211"
"USEP","02 Nov 2011","41","186.69","5507.988"
"USEP","02 Nov 2011","42","201.61","5449.406"
"USEP","02 Nov 2011","43","216.29","5343.520"
"USEP","02 Nov 2011","44","216.25","5202.089"
"USEP","02 Nov 2011","45","202.42","5069.181"
"USEP","02 Nov 2011","46","184.01","4942.745"
"USEP","02 Nov 2011","47","181.66","4811.343"
"USEP","02 Nov 2011","48","181.04","4645.598"
"USEP","03 Nov 2011","1","201.37","4511.731"
"USEP","03 Nov 2011","2","195.59","4393.733"
"USEP","03 Nov 2011","3","174.89","4289.587"
"USEP","03 Nov 2011","4","162.08","4181.430"
"USEP","03 Nov 2011","5","164.21","4151.625"
"USEP","03 Nov 2011","6","164.23","4156.346"
"USEP","03 Nov 2011","7","169.79","4134.662"
"USEP","03 Nov 2011","8","169.69","4124.220"
"USEP","03 Nov 2011","9","165.21","4104.748"
"USEP","03 Nov 2011","10","169.71","4126.452"
"USEP","03 Nov 2011","11","169.86","4176.052"
"USEP","03 Nov 2011","12","170.96","4313.836"
"USEP","03 Nov 2011","13","199.37","4473.313"
"USEP","03 Nov 2011","14","201.95","4618.119"
"USEP","03 Nov 2011","15","172.25","4790.061"
"USEP","03 Nov 2011","16","198.04","5084.891"
"USEP","03 Nov 2011","17","210.44","5379.130"
"USEP","03 Nov 2011","18","188.23","5573.482"
"USEP","03 Nov 2011","19","196.36","5680.278"
"USEP","03 Nov 2011","20","225.09","5779.613"
"USEP","03 Nov 2011","21","242.26","5839.656"
"USEP","03 Nov 2011","22","245.52","5869.928"
"USEP","03 Nov 2011","23","226.65","5839.755"
"USEP","03 Nov 2011","24","212.34","5783.758"
"USEP","03 Nov 2011","25","201.38","5731.657"
"USEP","03 Nov 2011","26","196.16","5704.556"
"USEP","03 Nov 2011","27","192.00","5696.211"
"USEP","03 Nov 2011","28","207.93","5749.997"
"USEP","03 Nov 2011","29","225.14","5821.624"
"USEP","03 Nov 2011","30","207.97","5769.459"
"USEP","03 Nov 2011","31","207.95","5777.565"
"USEP","03 Nov 2011","32","201.59","5735.743"
"USEP","03 Nov 2011","33","207.90","5750.037"
"USEP","03 Nov 2011","34","193.64","5711.464"
"USEP","03 Nov 2011","35","196.16","5676.416"
"USEP","03 Nov 2011","36","191.16","5608.059"
"USEP","03 Nov 2011","37","185.13","5535.094"
"USEP","03 Nov 2011","38","185.52","5537.748"
"USEP","03 Nov 2011","39","181.54","5509.956"
"USEP","03 Nov 2011","40","177.95","5456.414"
"USEP","03 Nov 2011","41","176.50","5438.263"
"USEP","03 Nov 2011","42","196.12","5350.578"
"USEP","03 Nov 2011","43","191.59","5248.588"
"USEP","03 Nov 2011","44","191.07","5092.178"
"USEP","03 Nov 2011","45","185.19","4939.439"
"USEP","03 Nov 2011","46","176.37","4840.179"
"USEP","03 Nov 2011","47","169.65","4711.659"
"USEP","03 Nov 2011","48","167.32","4564.577"
"USEP","04 Nov 2011","1","197.58","4412.316"
"USEP","04 Nov 2011","2","177.45","4281.680"
"USEP","04 Nov 2011","3","170.43","4166.505"
"USEP","04 Nov 2011","4","158.96","4082.119"
"USEP","04 Nov 2011","5","166.89","4060.147"
"USEP","04 Nov 2011","6","166.20","4078.293"
"USEP","04 Nov 2011","7","157.10","4054.258"
"USEP","04 Nov 2011","8","165.21","4033.071"
"USEP","04 Nov 2011","9","163.57","4031.649"
"USEP","04 Nov 2011","10","163.59","4049.397"
"USEP","04 Nov 2011","11","165.25","4123.316"
"USEP","04 Nov 2011","12","176.90","4258.177"
"USEP","04 Nov 2011","13","181.64","4421.769"
"USEP","04 Nov 2011","14","196.48","4549.985"
"USEP","04 Nov 2011","15","169.99","4722.400"
"USEP","04 Nov 2011","16","178.94","5038.253"
"USEP","04 Nov 2011","17","212.20","5319.754"
"USEP","04 Nov 2011","18","191.28","5541.137"
"USEP","04 Nov 2011","19","186.22","5627.670"
"USEP","04 Nov 2011","20","217.02","5731.245"
"USEP","04 Nov 2011","21","225.10","5794.289"
"USEP","04 Nov 2011","22","225.12","5817.986"
"USEP","04 Nov 2011","23","225.11","5816.311"
"USEP","04 Nov 2011","24","217.04","5765.816"
"USEP","04 Nov 2011","25","201.08","5733.645"
"USEP","04 Nov 2011","26","191.18","5734.237"
"USEP","04 Nov 2011","27","193.20","5746.826"
"USEP","04 Nov 2011","28","196.02","5771.020"
