"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Nov 2013","1","147.15","4798.754"
"USEP","01 Nov 2013","2","146.07","4719.224"
"USEP","01 Nov 2013","3","138.88","4664.002"
"USEP","01 Nov 2013","4","135.97","4614.561"
"USEP","01 Nov 2013","5","132.82","4553.380"
"USEP","01 Nov 2013","6","136.42","4521.159"
"USEP","01 Nov 2013","7","136.42","4516.353"
"USEP","01 Nov 2013","8","133.26","4474.123"
"USEP","01 Nov 2013","9","110.23","4421.228"
"USEP","01 Nov 2013","10","132.85","4447.673"
"USEP","01 Nov 2013","11","139.82","4537.953"
"USEP","01 Nov 2013","12","147.94","4676.611"
"USEP","01 Nov 2013","13","150.48","4847.609"
"USEP","01 Nov 2013","14","147.37","4976.739"
"USEP","01 Nov 2013","15","150.51","5141.604"
"USEP","01 Nov 2013","16","147.55","5441.231"
"USEP","01 Nov 2013","17","169.71","5768.078"
"USEP","01 Nov 2013","18","161.46","5989.417"
"USEP","01 Nov 2013","19","149.19","6086.898"
"USEP","01 Nov 2013","20","172.30","6173.033"
"USEP","01 Nov 2013","21","181.84","6264.268"
"USEP","01 Nov 2013","22","186.47","6292.522"
"USEP","01 Nov 2013","23","169.78","6260.992"
"USEP","01 Nov 2013","24","154.17","6202.013"
"USEP","01 Nov 2013","25","141.49","6159.530"
"USEP","01 Nov 2013","26","147.55","6170.195"
"USEP","01 Nov 2013","27","146.64","6180.801"
"USEP","01 Nov 2013","28","146.41","6226.918"
"USEP","01 Nov 2013","29","146.40","6229.731"
"USEP","01 Nov 2013","30","147.54","6214.115"
"USEP","01 Nov 2013","31","156.46","6205.209"
"USEP","01 Nov 2013","32","153.17","6227.455"
"USEP","01 Nov 2013","33","150.83","6204.245"
"USEP","01 Nov 2013","34","147.59","6096.982"
"USEP","01 Nov 2013","35","140.02","5920.294"
"USEP","01 Nov 2013","36","147.42","5750.201"
"USEP","01 Nov 2013","37","147.42","5685.958"
"USEP","01 Nov 2013","38","147.46","5717.851"
"USEP","01 Nov 2013","39","147.39","5703.194"
"USEP","01 Nov 2013","40","144.31","5667.112"
"USEP","01 Nov 2013","41","139.00","5627.372"
"USEP","01 Nov 2013","42","147.56","5573.850"
"USEP","01 Nov 2013","43","156.41","5509.215"
"USEP","01 Nov 2013","44","147.60","5385.035"
"USEP","01 Nov 2013","45","142.23","5230.199"
"USEP","01 Nov 2013","46","131.83","5089.876"
"USEP","01 Nov 2013","47","147.45","4969.478"
"USEP","01 Nov 2013","48","137.99","4827.406"
"USEP","02 Nov 2013","1","149.22","4728.070"
"USEP","02 Nov 2013","2","146.80","4648.133"
"USEP","02 Nov 2013","3","145.58","4623.924"
"USEP","02 Nov 2013","4","143.97","4509.147"
"USEP","02 Nov 2013","5","136.93","4422.599"
"USEP","02 Nov 2013","6","133.82","4357.482"
"USEP","02 Nov 2013","7","132.78","4341.181"
"USEP","02 Nov 2013","8","133.79","4348.611"
"USEP","02 Nov 2013","9","133.79","4344.585"
"USEP","02 Nov 2013","10","133.80","4346.056"
"USEP","02 Nov 2013","11","130.90","4324.670"
"USEP","02 Nov 2013","12","133.81","4375.394"
"USEP","02 Nov 2013","13","132.88","4439.308"
"USEP","02 Nov 2013","14","130.98","4438.225"
"USEP","02 Nov 2013","15","130.99","4484.118"
"USEP","02 Nov 2013","16","144.70","4651.189"
"USEP","02 Nov 2013","17","145.69","4818.132"
"USEP","02 Nov 2013","18","147.97","4911.871"
"USEP","02 Nov 2013","19","451.84","5007.832"
"USEP","02 Nov 2013","20","360.67","5045.062"
"USEP","02 Nov 2013","21","191.30","5114.105"
"USEP","02 Nov 2013","22","159.70","5193.829"
"USEP","02 Nov 2013","23","152.52","5215.771"
"USEP","02 Nov 2013","24","147.43","5182.010"
"USEP","02 Nov 2013","25","147.29","5144.119"
"USEP","02 Nov 2013","26","154.14","5168.899"
"USEP","02 Nov 2013","27","153.07","5199.927"
"USEP","02 Nov 2013","28","163.95","5195.206"
"USEP","02 Nov 2013","29","147.40","5136.793"
"USEP","02 Nov 2013","30","146.27","5109.374"
"USEP","02 Nov 2013","31","146.57","5076.900"
"USEP","02 Nov 2013","32","147.34","5081.840"
"USEP","02 Nov 2013","33","153.06","5047.234"
"USEP","02 Nov 2013","34","153.72","5016.261"
"USEP","02 Nov 2013","35","156.35","4991.605"
"USEP","02 Nov 2013","36","154.08","4977.684"
"USEP","02 Nov 2013","37","170.40","5042.130"
"USEP","02 Nov 2013","38","191.32","5133.926"
"USEP","02 Nov 2013","39","191.32","5200.374"
"USEP","02 Nov 2013","40","160.66","5193.730"
"USEP","02 Nov 2013","41","162.32","5207.536"
"USEP","02 Nov 2013","42","165.32","5218.425"
"USEP","02 Nov 2013","43","161.43","5192.234"
"USEP","02 Nov 2013","44","153.09","5119.403"
"USEP","02 Nov 2013","45","149.91","5002.862"
"USEP","02 Nov 2013","46","147.22","4839.498"
"USEP","02 Nov 2013","47","161.35","4697.614"
"USEP","02 Nov 2013","48","161.41","4662.556"
"USEP","03 Nov 2013","1","161.36","4722.752"
"USEP","03 Nov 2013","2","161.31","4651.493"
"USEP","03 Nov 2013","3","149.12","4479.605"
"USEP","03 Nov 2013","4","140.52","4375.722"
"USEP","03 Nov 2013","5","139.67","4362.919"
"USEP","03 Nov 2013","6","137.86","4313.379"
"USEP","03 Nov 2013","7","134.76","4274.344"
"USEP","03 Nov 2013","8","134.68","4247.581"
"USEP","03 Nov 2013","9","133.73","4223.248"
"USEP","03 Nov 2013","10","133.64","4220.256"
"USEP","03 Nov 2013","11","132.85","4229.803"
"USEP","03 Nov 2013","12","132.86","4295.988"
"USEP","03 Nov 2013","13","133.74","4335.634"
"USEP","03 Nov 2013","14","133.75","4337.866"
"USEP","03 Nov 2013","15","133.87","4423.469"
"USEP","03 Nov 2013","16","137.90","4596.067"
"USEP","03 Nov 2013","17","149.25","4783.297"
"USEP","03 Nov 2013","18","149.26","4840.114"
"USEP","03 Nov 2013","19","151.31","4914.102"
"USEP","03 Nov 2013","20","161.34","4990.133"
"USEP","03 Nov 2013","21","146.82","5049.406"
"USEP","03 Nov 2013","22","141.25","5088.594"
"USEP","03 Nov 2013","23","138.97","5105.775"
"USEP","03 Nov 2013","24","134.92","5100.328"
"USEP","03 Nov 2013","25","134.77","5050.027"
"USEP","03 Nov 2013","26","134.74","5019.939"
"USEP","03 Nov 2013","27","134.75","5001.932"
"USEP","03 Nov 2013","28","134.74","4987.673"
"USEP","03 Nov 2013","29","133.88","4960.567"
"USEP","03 Nov 2013","30","123.78","4949.886"
"USEP","03 Nov 2013","31","127.69","4963.643"
"USEP","03 Nov 2013","32","131.11","4967.863"
"USEP","03 Nov 2013","33","123.80","4999.323"
"USEP","03 Nov 2013","34","127.77","4975.566"
"USEP","03 Nov 2013","35","134.68","4985.511"
"USEP","03 Nov 2013","36","127.81","5010.411"
"USEP","03 Nov 2013","37","133.86","5078.411"
"USEP","03 Nov 2013","38","147.30","5175.977"
"USEP","03 Nov 2013","39","164.03","5225.652"
"USEP","03 Nov 2013","40","165.40","5233.544"
"USEP","03 Nov 2013","41","161.97","5212.963"
"USEP","03 Nov 2013","42","165.42","5242.465"
"USEP","03 Nov 2013","43","329.63","5193.049"
"USEP","03 Nov 2013","44","333.02","5069.753"
"USEP","03 Nov 2013","45","167.50","4999.919"
"USEP","03 Nov 2013","46","153.19","4959.896"
"USEP","03 Nov 2013","47","161.40","4827.396"
