"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Nov 2018","1","110.87","0.00","5305.788","0.000"
"USEP","01 Nov 2018","2","108.75","0.00","5197.343","0.000"
"USEP","01 Nov 2018","3","108.68","0.00","5149.477","0.000"
"USEP","01 Nov 2018","4","104.10","0.00","5081.671","0.000"
"USEP","01 Nov 2018","5","102.78","0.00","5026.245","0.000"
"USEP","01 Nov 2018","6","102.76","0.00","4981.123","0.000"
"USEP","01 Nov 2018","7","102.61","0.00","4953.713","0.000"
"USEP","01 Nov 2018","8","101.76","0.00","4927.561","0.000"
"USEP","01 Nov 2018","9","101.76","0.00","4926.006","0.000"
"USEP","01 Nov 2018","10","102.72","0.00","4959.553","0.000"
"USEP","01 Nov 2018","11","102.77","0.00","5032.219","0.000"
"USEP","01 Nov 2018","12","107.10","0.00","5171.404","0.000"
"USEP","01 Nov 2018","13","108.98","0.00","5361.691","0.000"
"USEP","01 Nov 2018","14","109.55","0.00","5539.224","0.000"
"USEP","01 Nov 2018","15","115.15","0.00","5752.402","0.000"
"USEP","01 Nov 2018","16","119.54","0.00","6023.347","0.000"
"USEP","01 Nov 2018","17","128.69","0.00","6293.511","0.000"
"USEP","01 Nov 2018","18","134.31","0.00","6468.614","0.000"
"USEP","01 Nov 2018","19","134.35","0.00","6567.159","0.000"
"USEP","01 Nov 2018","20","133.33","0.00","6623.131","0.000"
"USEP","01 Nov 2018","21","194.97","0.00","6667.812","0.000"
"USEP","01 Nov 2018","22","303.68","0.00","6698.129","0.000"
"USEP","01 Nov 2018","23","203.71","0.00","6693.248","0.000"
"USEP","01 Nov 2018","24","133.33","0.00","6630.069","0.000"
"USEP","01 Nov 2018","25","130.28","0.00","6586.736","0.000"
"USEP","01 Nov 2018","26","130.28","0.00","6588.615","0.000"
"USEP","01 Nov 2018","27","133.33","0.00","6622.600","0.000"
"USEP","01 Nov 2018","28","164.56","0.00","6640.094","0.000"
"USEP","01 Nov 2018","29","143.68","0.00","6643.488","0.000"
"USEP","01 Nov 2018","30","138.58","0.00","6609.742","0.000"
"USEP","01 Nov 2018","31","133.31","0.00","6589.142","0.000"
"USEP","01 Nov 2018","32","128.19","0.00","6563.710","0.000"
"USEP","01 Nov 2018","33","128.15","0.00","6542.056","0.000"
"USEP","01 Nov 2018","34","127.12","0.00","6491.541","0.000"
"USEP","01 Nov 2018","35","120.45","0.00","6412.055","0.000"
"USEP","01 Nov 2018","36","115.37","0.00","6301.195","0.000"
"USEP","01 Nov 2018","37","109.49","0.00","6237.072","0.000"
"USEP","01 Nov 2018","38","108.69","0.00","6276.558","0.000"
"USEP","01 Nov 2018","39","108.82","0.00","6300.891","0.000"
"USEP","01 Nov 2018","40","111.08","0.00","6281.931","0.000"
"USEP","01 Nov 2018","41","119.50","0.00","6251.182","0.000"
"USEP","01 Nov 2018","42","126.97","0.00","6202.749","0.000"
"USEP","01 Nov 2018","43","125.00","0.00","6134.724","0.000"
"USEP","01 Nov 2018","44","130.21","0.00","6012.234","0.000"
"USEP","01 Nov 2018","45","126.52","0.00","5870.350","0.000"
"USEP","01 Nov 2018","46","119.54","0.00","5740.216","0.000"
"USEP","01 Nov 2018","47","111.13","0.00","5597.060","0.000"
"USEP","01 Nov 2018","48","105.58","0.00","5450.122","0.000"
"USEP","02 Nov 2018","1","108.71","0.00","5305.684","0.000"
"USEP","02 Nov 2018","2","104.91","0.00","5207.516","0.000"
"USEP","02 Nov 2018","3","102.80","0.00","5123.807","0.000"
"USEP","02 Nov 2018","4","100.73","0.00","5061.935","0.000"
"USEP","02 Nov 2018","5","99.50","0.00","5015.853","0.000"
"USEP","02 Nov 2018","6","96.41","0.00","4963.112","0.000"
"USEP","02 Nov 2018","7","95.01","0.00","4931.840","0.000"
"USEP","02 Nov 2018","8","94.67","0.00","4908.789","0.000"
"USEP","02 Nov 2018","9","94.67","0.00","4905.539","0.000"
"USEP","02 Nov 2018","10","95.70","0.00","4941.015","0.000"
