"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Oct 2010","1","130.76","4520.702"
"USEP","01 Oct 2010","2","121.61","4400.776"
"USEP","01 Oct 2010","3","126.21","4299.453"
"USEP","01 Oct 2010","4","122.44","4228.849"
"USEP","01 Oct 2010","5","119.10","4195.783"
"USEP","01 Oct 2010","6","117.04","4157.042"
"USEP","01 Oct 2010","7","116.91","4134.459"
"USEP","01 Oct 2010","8","116.67","4107.546"
"USEP","01 Oct 2010","9","116.69","4101.801"
"USEP","01 Oct 2010","10","116.73","4131.367"
"USEP","01 Oct 2010","11","117.01","4190.873"
"USEP","01 Oct 2010","12","119.05","4313.880"
"USEP","01 Oct 2010","13","122.03","4458.796"
"USEP","01 Oct 2010","14","135.78","4542.257"
"USEP","01 Oct 2010","15","119.10","4692.127"
"USEP","01 Oct 2010","16","146.05","5008.761"
"USEP","01 Oct 2010","17","155.94","5309.019"
"USEP","01 Oct 2010","18","148.29","5516.387"
"USEP","01 Oct 2010","19","146.27","5657.768"
"USEP","01 Oct 2010","20","156.39","5738.109"
"USEP","01 Oct 2010","21","155.92","5802.649"
"USEP","01 Oct 2010","22","166.19","5850.858"
"USEP","01 Oct 2010","23","166.20","5853.790"
"USEP","01 Oct 2010","24","154.39","5793.345"
"USEP","01 Oct 2010","25","149.16","5754.639"
"USEP","01 Oct 2010","26","151.38","5777.034"
"USEP","01 Oct 2010","27","154.43","5836.574"
"USEP","01 Oct 2010","28","156.46","5876.657"
"USEP","01 Oct 2010","29","164.18","5893.689"
"USEP","01 Oct 2010","30","164.16","5897.929"
"USEP","01 Oct 2010","31","164.16","5881.443"
"USEP","01 Oct 2010","32","156.46","5856.966"
"USEP","01 Oct 2010","33","154.38","5814.671"
"USEP","01 Oct 2010","34","152.28","5774.837"
"USEP","01 Oct 2010","35","147.13","5706.077"
"USEP","01 Oct 2010","36","146.09","5589.928"
"USEP","01 Oct 2010","37","146.26","5523.176"
"USEP","01 Oct 2010","38","146.41","5527.818"
"USEP","01 Oct 2010","39","149.02","5529.070"
"USEP","01 Oct 2010","40","146.28","5476.418"
"USEP","01 Oct 2010","41","146.11","5430.784"
"USEP","01 Oct 2010","42","156.31","5370.035"
"USEP","01 Oct 2010","43","156.39","5284.099"
"USEP","01 Oct 2010","44","155.93","5172.344"
"USEP","01 Oct 2010","45","150.11","5062.189"
"USEP","01 Oct 2010","46","156.03","4964.916"
"USEP","01 Oct 2010","47","156.30","4881.430"
"USEP","01 Oct 2010","48","151.23","4745.828"
"USEP","02 Oct 2010","1","142.05","4628.049"
"USEP","02 Oct 2010","2","154.10","4534.439"
"USEP","02 Oct 2010","3","145.19","4456.246"
"USEP","02 Oct 2010","4","141.71","4412.490"
"USEP","02 Oct 2010","5","136.84","4336.345"
"USEP","02 Oct 2010","6","135.75","4295.844"
"USEP","02 Oct 2010","7","121.76","4239.927"
"USEP","02 Oct 2010","8","121.61","4201.593"
"USEP","02 Oct 2010","9","119.59","4190.242"
"USEP","02 Oct 2010","10","119.60","4183.726"
"USEP","02 Oct 2010","11","121.62","4201.529"
"USEP","02 Oct 2010","12","131.07","4262.486"
"USEP","02 Oct 2010","13","135.87","4332.846"
"USEP","02 Oct 2010","14","135.78","4365.340"
"USEP","02 Oct 2010","15","135.90","4427.524"
"USEP","02 Oct 2010","16","151.05","4603.517"
"USEP","02 Oct 2010","17","146.97","4856.262"
"USEP","02 Oct 2010","18","151.20","5047.055"
"USEP","02 Oct 2010","19","156.26","5183.243"
"USEP","02 Oct 2010","20","164.29","5308.546"
"USEP","02 Oct 2010","21","168.93","5400.606"
"USEP","02 Oct 2010","22","172.32","5436.285"
"USEP","02 Oct 2010","23","169.54","5421.927"
"USEP","02 Oct 2010","24","168.92","5371.626"
"USEP","02 Oct 2010","25","164.14","5297.314"
"USEP","02 Oct 2010","26","156.34","5236.024"
"USEP","02 Oct 2010","27","156.14","5199.082"
"USEP","02 Oct 2010","28","151.53","5190.424"
"USEP","02 Oct 2010","29","151.26","5173.934"
"USEP","02 Oct 2010","30","151.26","5133.916"
"USEP","02 Oct 2010","31","151.08","5112.331"
"USEP","02 Oct 2010","32","150.34","5099.478"
"USEP","02 Oct 2010","33","150.01","5075.543"
"USEP","02 Oct 2010","34","148.03","5044.426"
"USEP","02 Oct 2010","35","146.93","5013.970"
"USEP","02 Oct 2010","36","146.18","4986.918"
"USEP","02 Oct 2010","37","146.29","4993.722"
"USEP","02 Oct 2010","38","150.32","5091.243"
"USEP","02 Oct 2010","39","151.27","5146.808"
"USEP","02 Oct 2010","40","151.25","5133.707"
"USEP","02 Oct 2010","41","151.11","5113.245"
"USEP","02 Oct 2010","42","150.04","5086.417"
"USEP","02 Oct 2010","43","149.36","5061.657"
"USEP","02 Oct 2010","44","146.30","4990.660"
"USEP","02 Oct 2010","45","149.33","4921.955"
"USEP","02 Oct 2010","46","152.18","4874.864"
"USEP","02 Oct 2010","47","147.29","4804.186"
"USEP","02 Oct 2010","48","145.50","4720.859"
"USEP","03 Oct 2010","1","150.32","4639.376"
"USEP","03 Oct 2010","2","146.97","4550.050"
"USEP","03 Oct 2010","3","141.05","4491.941"
"USEP","03 Oct 2010","4","135.80","4402.078"
"USEP","03 Oct 2010","5","134.59","4318.284"
"USEP","03 Oct 2010","6","121.37","4266.188"
"USEP","03 Oct 2010","7","117.13","4205.629"
"USEP","03 Oct 2010","8","116.50","4156.853"
"USEP","03 Oct 2010","9","115.64","4121.064"
"USEP","03 Oct 2010","10","115.64","4116.234"
"USEP","03 Oct 2010","11","115.69","4126.144"
"USEP","03 Oct 2010","12","115.69","4129.598"
"USEP","03 Oct 2010","13","115.69","4143.747"
"USEP","03 Oct 2010","14","115.70","4130.980"
"USEP","03 Oct 2010","15","115.00","4103.724"
"USEP","03 Oct 2010","16","117.10","4210.052"
"USEP","03 Oct 2010","17","135.76","4380.662"
"USEP","03 Oct 2010","18","142.56","4489.918"
"USEP","03 Oct 2010","19","146.16","4576.411"
"USEP","03 Oct 2010","20","149.06","4659.952"
"USEP","03 Oct 2010","21","151.18","4725.809"
"USEP","03 Oct 2010","22","146.15","4772.905"
"USEP","03 Oct 2010","23","146.21","4774.704"
"USEP","03 Oct 2010","24","146.01","4749.262"
"USEP","03 Oct 2010","25","145.17","4731.723"
"USEP","03 Oct 2010","26","146.18","4757.950"
"USEP","03 Oct 2010","27","146.01","4770.474"
"USEP","03 Oct 2010","28","146.01","4770.653"
"USEP","03 Oct 2010","29","146.04","4767.815"
"USEP","03 Oct 2010","30","146.00","4761.608"
"USEP","03 Oct 2010","31","145.16","4747.066"
"USEP","03 Oct 2010","32","144.16","4714.925"
"USEP","03 Oct 2010","33","144.16","4709.194"
"USEP","03 Oct 2010","34","144.15","4704.040"
"USEP","03 Oct 2010","35","147.07","4707.877"
"USEP","03 Oct 2010","36","147.07","4702.564"
"USEP","03 Oct 2010","37","149.15","4743.472"
"USEP","03 Oct 2010","38","149.06","4873.224"
"USEP","03 Oct 2010","39","154.32","4965.696"
"USEP","03 Oct 2010","40","156.16","4996.068"
"USEP","03 Oct 2010","41","156.35","5022.230"
"USEP","03 Oct 2010","42","156.36","5033.377"
"USEP","03 Oct 2010","43","156.36","5035.495"
"USEP","03 Oct 2010","44","155.42","4992.266"
"USEP","03 Oct 2010","45","151.31","4913.044"
"USEP","03 Oct 2010","46","149.03","4833.628"
"USEP","03 Oct 2010","47","144.05","4731.634"
"USEP","03 Oct 2010","48","139.49","4613.209"
"USEP","04 Oct 2010","1","140.77","4497.631"
"USEP","04 Oct 2010","2","131.70","4412.952"
"USEP","04 Oct 2010","3","120.62","4329.879"
"USEP","04 Oct 2010","4","119.11","4251.547"
"USEP","04 Oct 2010","5","119.00","4197.508"
"USEP","04 Oct 2010","6","117.01","4158.538"
"USEP","04 Oct 2010","7","116.97","4129.404"
"USEP","04 Oct 2010","8","116.96","4123.052"
"USEP","04 Oct 2010","9","116.50","4100.916"
"USEP","04 Oct 2010","10","116.49","4104.539"
"USEP","04 Oct 2010","11","117.01","4174.755"
"USEP","04 Oct 2010","12","121.12","4320.893"
"USEP","04 Oct 2010","13","140.73","4491.951"
"USEP","04 Oct 2010","14","136.44","4612.642"
"USEP","04 Oct 2010","15","131.86","4799.514"
"USEP","04 Oct 2010","16","147.01","5128.369"
"USEP","04 Oct 2010","17","152.79","5462.487"
"USEP","04 Oct 2010","18","150.40","5688.602"
"USEP","04 Oct 2010","19","156.43","5833.095"
"USEP","04 Oct 2010","20","164.54","5918.857"
"USEP","04 Oct 2010","21","171.61","5988.631"
"USEP","04 Oct 2010","22","184.47","6058.162"
"USEP","04 Oct 2010","23","183.77","6047.451"
"USEP","04 Oct 2010","24","171.50","5977.424"
"USEP","04 Oct 2010","25","170.29","5940.397"
"USEP","04 Oct 2010","26","170.30","5959.542"
"USEP","04 Oct 2010","27","171.51","5981.996"
"USEP","04 Oct 2010","28","170.27","5975.476"
"USEP","04 Oct 2010","29","170.27","5966.515"
"USEP","04 Oct 2010","30","170.45","5969.263"
"USEP","04 Oct 2010","31","171.64","6005.688"
"USEP","04 Oct 2010","32","171.65","5989.715"
"USEP","04 Oct 2010","33","170.29","5959.492"
"USEP","04 Oct 2010","34","159.27","5860.072"
"USEP","04 Oct 2010","35","151.38","5784.752"
"USEP","04 Oct 2010","36","149.12","5671.401"
"USEP","04 Oct 2010","37","147.59","5583.298"
"USEP","04 Oct 2010","38","151.34","5612.099"
"USEP","04 Oct 2010","39","151.33","5624.315"
"USEP","04 Oct 2010","40","151.32","5586.742"
"USEP","04 Oct 2010","41","150.03","5539.403"
"USEP","04 Oct 2010","42","159.57","5478.088"
"USEP","04 Oct 2010","43","162.44","5398.613"
"USEP","04 Oct 2010","44","156.40","5280.396"
"USEP","04 Oct 2010","45","150.12","5150.063"
"USEP","04 Oct 2010","46","156.38","5055.111"
"USEP","04 Oct 2010","47","156.35","4950.662"
"USEP","04 Oct 2010","48","146.09","4836.988"
"USEP","05 Oct 2010","1","154.74","4710.959"
"USEP","05 Oct 2010","2","154.49","4592.096"
"USEP","05 Oct 2010","3","135.78","4465.967"
"USEP","05 Oct 2010","4","135.23","4375.026"
"USEP","05 Oct 2010","5","134.70","4329.357"
"USEP","05 Oct 2010","6","134.52","4314.149"
"USEP","05 Oct 2010","7","119.13","4274.657"
"USEP","05 Oct 2010","8","119.09","4242.233"
"USEP","05 Oct 2010","9","119.02","4233.724"
"USEP","05 Oct 2010","10","119.06","4245.886"
"USEP","05 Oct 2010","11","121.18","4312.161"
"USEP","05 Oct 2010","12","149.90","4448.309"
"USEP","05 Oct 2010","13","154.52","4577.340"
"USEP","05 Oct 2010","14","142.28","4692.426"
"USEP","05 Oct 2010","15","141.49","4851.664"
"USEP","05 Oct 2010","16","154.59","5134.944"
"USEP","05 Oct 2010","17","156.44","5455.683"
"USEP","05 Oct 2010","18","156.42","5674.075"
"USEP","05 Oct 2010","19","156.42","5782.968"
"USEP","05 Oct 2010","20","169.25","5893.679"
"USEP","05 Oct 2010","21","172.30","6004.824"
