"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Oct 2013","1","184.96","4944.265"
"USEP","01 Oct 2013","2","157.39","4825.845"
"USEP","01 Oct 2013","3","151.91","4764.461"
"USEP","01 Oct 2013","4","148.00","4684.906"
"USEP","01 Oct 2013","5","149.10","4648.854"
"USEP","01 Oct 2013","6","149.06","4609.118"
"USEP","01 Oct 2013","7","146.48","4574.328"
"USEP","01 Oct 2013","8","145.10","4554.617"
"USEP","01 Oct 2013","9","145.05","4532.173"
"USEP","01 Oct 2013","10","145.04","4543.321"
"USEP","01 Oct 2013","11","148.05","4616.956"
"USEP","01 Oct 2013","12","151.79","4772.214"
"USEP","01 Oct 2013","13","156.43","4948.013"
"USEP","01 Oct 2013","14","147.47","5069.311"
"USEP","01 Oct 2013","15","152.04","5232.202"
"USEP","01 Oct 2013","16","152.49","5534.050"
"USEP","01 Oct 2013","17","165.42","5847.041"
"USEP","01 Oct 2013","18","156.58","6033.153"
"USEP","01 Oct 2013","19","147.53","6046.621"
"USEP","01 Oct 2013","20","153.04","6215.984"
"USEP","01 Oct 2013","21","159.95","6253.040"
"USEP","01 Oct 2013","22","170.86","6305.369"
"USEP","01 Oct 2013","23","174.76","6329.563"
"USEP","01 Oct 2013","24","170.84","6300.653"
"USEP","01 Oct 2013","25","162.75","6279.262"
"USEP","01 Oct 2013","26","176.57","6331.974"
"USEP","01 Oct 2013","27","187.65","6408.765"
"USEP","01 Oct 2013","28","190.97","6436.284"
"USEP","01 Oct 2013","29","190.97","6420.912"
"USEP","01 Oct 2013","30","191.71","6439.291"
"USEP","01 Oct 2013","31","192.71","6446.975"
"USEP","01 Oct 2013","32","192.70","6448.595"
"USEP","01 Oct 2013","33","196.75","6454.703"
"USEP","01 Oct 2013","34","192.08","6421.573"
"USEP","01 Oct 2013","35","182.60","6357.753"
"USEP","01 Oct 2013","36","190.94","6242.320"
"USEP","01 Oct 2013","37","192.04","6166.254"
"USEP","01 Oct 2013","38","192.65","6184.519"
"USEP","01 Oct 2013","39","192.07","6177.770"
"USEP","01 Oct 2013","40","175.32","6137.453"
"USEP","01 Oct 2013","41","161.61","6093.941"
"USEP","01 Oct 2013","42","202.20","6042.854"
"USEP","01 Oct 2013","43","208.83","5958.359"
"USEP","01 Oct 2013","44","207.03","5837.449"
"USEP","01 Oct 2013","45","192.03","5657.122"
"USEP","01 Oct 2013","46","192.02","5529.473"
"USEP","01 Oct 2013","47","191.91","5395.377"
"USEP","01 Oct 2013","48","191.77","5269.611"
"USEP","02 Oct 2013","1","191.91","5165.853"
"USEP","02 Oct 2013","2","190.33","5052.492"
"USEP","02 Oct 2013","3","155.11","4958.231"
"USEP","02 Oct 2013","4","147.08","4889.297"
"USEP","02 Oct 2013","5","145.08","4816.407"
"USEP","02 Oct 2013","6","140.05","4769.371"
"USEP","02 Oct 2013","7","137.63","4712.917"
"USEP","02 Oct 2013","8","136.83","4672.550"
"USEP","02 Oct 2013","9","136.76","4667.451"
"USEP","02 Oct 2013","10","137.20","4691.650"
"USEP","02 Oct 2013","11","142.71","4788.590"
"USEP","02 Oct 2013","12","149.17","4938.495"
"USEP","02 Oct 2013","13","190.52","5108.916"
"USEP","02 Oct 2013","14","170.24","5202.676"
"USEP","02 Oct 2013","15","191.82","5331.567"
"USEP","02 Oct 2013","16","147.47","5581.325"
"USEP","02 Oct 2013","17","147.55","5814.532"
"USEP","02 Oct 2013","18","147.50","5979.949"
"USEP","02 Oct 2013","19","149.22","6125.386"
"USEP","02 Oct 2013","20","151.51","6153.909"
"USEP","02 Oct 2013","21","152.75","6169.937"
"USEP","02 Oct 2013","22","151.51","6151.782"
"USEP","02 Oct 2013","23","148.19","6114.352"
"USEP","02 Oct 2013","24","147.53","6067.779"
"USEP","02 Oct 2013","25","147.52","6021.403"
"USEP","02 Oct 2013","26","147.52","6038.928"
"USEP","02 Oct 2013","27","147.52","6095.203"
"USEP","02 Oct 2013","28","147.54","6146.911"
"USEP","02 Oct 2013","29","152.97","6179.817"
"USEP","02 Oct 2013","30","152.72","6165.633"
"USEP","02 Oct 2013","31","153.22","6193.346"
"USEP","02 Oct 2013","32","156.54","6218.921"
"USEP","02 Oct 2013","33","161.55","6188.937"
"USEP","02 Oct 2013","34","171.58","6120.639"
"USEP","02 Oct 2013","35","153.21","6025.563"
"USEP","02 Oct 2013","36","147.52","5895.658"
"USEP","02 Oct 2013","37","147.51","5811.560"
"USEP","02 Oct 2013","38","147.53","5851.325"
"USEP","02 Oct 2013","39","148.14","5872.577"
"USEP","02 Oct 2013","40","147.51","5828.538"
"USEP","02 Oct 2013","41","148.78","5801.372"
"USEP","02 Oct 2013","42","157.55","5752.527"
"USEP","02 Oct 2013","43","172.67","5675.427"
"USEP","02 Oct 2013","44","171.72","5555.705"
"USEP","02 Oct 2013","45","161.53","5447.866"
"USEP","02 Oct 2013","46","149.14","5294.680"
"USEP","02 Oct 2013","47","147.41","5189.570"
"USEP","02 Oct 2013","48","145.24","5051.960"
"USEP","03 Oct 2013","1","147.28","4918.913"
"USEP","03 Oct 2013","2","145.37","4792.432"
"USEP","03 Oct 2013","3","137.19","4663.321"
"USEP","03 Oct 2013","4","131.12","4546.785"
"USEP","03 Oct 2013","5","131.12","4511.920"
"USEP","03 Oct 2013","6","131.10","4498.014"
"USEP","03 Oct 2013","7","130.34","4470.371"
"USEP","03 Oct 2013","8","130.35","4466.455"
"USEP","03 Oct 2013","9","130.34","4459.094"
"USEP","03 Oct 2013","10","130.34","4479.893"
"USEP","03 Oct 2013","11","132.93","4565.785"
"USEP","03 Oct 2013","12","138.48","4708.180"
"USEP","03 Oct 2013","13","147.12","4869.755"
"USEP","03 Oct 2013","14","145.38","5003.428"
"USEP","03 Oct 2013","15","147.47","5176.931"
"USEP","03 Oct 2013","16","147.37","5470.827"
"USEP","03 Oct 2013","17","147.54","5784.866"
"USEP","03 Oct 2013","18","147.51","5988.800"
"USEP","03 Oct 2013","19","147.56","6085.029"
"USEP","03 Oct 2013","20","147.50","6043.858"
"USEP","03 Oct 2013","21","147.56","6151.449"
"USEP","03 Oct 2013","22","156.65","6236.296"
"USEP","03 Oct 2013","23","156.68","6232.628"
"USEP","03 Oct 2013","24","156.59","6227.872"
"USEP","03 Oct 2013","25","152.55","6188.813"
"USEP","03 Oct 2013","26","153.25","6211.143"
"USEP","03 Oct 2013","27","165.07","6303.779"
"USEP","03 Oct 2013","28","172.47","6362.271"
"USEP","03 Oct 2013","29","177.56","6386.738"
"USEP","03 Oct 2013","30","177.56","6382.956"
"USEP","03 Oct 2013","31","187.65","6375.591"
"USEP","03 Oct 2013","32","190.34","6372.917"
"USEP","03 Oct 2013","33","187.65","6357.619"
"USEP","03 Oct 2013","34","172.47","6310.941"
"USEP","03 Oct 2013","35","156.67","6201.536"
"USEP","03 Oct 2013","36","156.52","6038.003"
"USEP","03 Oct 2013","37","156.75","5926.874"
"USEP","03 Oct 2013","38","157.46","5945.616"
"USEP","03 Oct 2013","39","162.56","5958.439"
"USEP","03 Oct 2013","40","156.64","5921.397"
"USEP","03 Oct 2013","41","149.17","5867.423"
"USEP","03 Oct 2013","42","172.45","5810.969"
"USEP","03 Oct 2013","43","192.03","5726.066"
"USEP","03 Oct 2013","44","202.12","5602.572"
"USEP","03 Oct 2013","45","192.01","5502.312"
"USEP","03 Oct 2013","46","158.30","5349.758"
"USEP","03 Oct 2013","47","148.15","5224.742"
"USEP","03 Oct 2013","48","147.14","5076.557"
"USEP","04 Oct 2013","1","147.26","4949.439"
"USEP","04 Oct 2013","2","147.05","4819.235"
"USEP","04 Oct 2013","3","137.17","4688.882"
"USEP","04 Oct 2013","4","132.12","4593.060"
"USEP","04 Oct 2013","5","132.09","4557.848"
"USEP","04 Oct 2013","6","132.89","4566.009"
"USEP","04 Oct 2013","7","132.11","4531.074"
"USEP","04 Oct 2013","8","131.09","4491.136"
"USEP","04 Oct 2013","9","128.34","4490.589"
"USEP","04 Oct 2013","10","131.09","4524.067"
"USEP","04 Oct 2013","11","138.59","4601.360"
"USEP","04 Oct 2013","12","146.87","4738.333"
"USEP","04 Oct 2013","13","152.04","4897.378"
"USEP","04 Oct 2013","14","147.34","4997.067"
"USEP","04 Oct 2013","15","151.99","5149.546"
"USEP","04 Oct 2013","16","140.13","5435.823"
"USEP","04 Oct 2013","17","147.48","5723.333"
"USEP","04 Oct 2013","18","147.42","5920.289"
"USEP","04 Oct 2013","19","147.52","6060.234"
"USEP","04 Oct 2013","20","152.47","6130.415"
"USEP","04 Oct 2013","21","171.82","6226.714"
"USEP","04 Oct 2013","22","172.33","6278.253"
"USEP","04 Oct 2013","23","172.83","6284.321"
"USEP","04 Oct 2013","24","165.10","6238.428"
"USEP","04 Oct 2013","25","157.56","6197.943"
"USEP","04 Oct 2013","26","156.55","6210.214"
"USEP","04 Oct 2013","27","171.81","6280.072"
"USEP","04 Oct 2013","28","177.55","6332.103"
"USEP","04 Oct 2013","29","177.52","6334.399"
