"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Oct 2018","1","115.10","0.00","5595.241","0.000"
"USEP","01 Oct 2018","2","107.50","0.00","5476.820","0.000"
"USEP","01 Oct 2018","3","107.49","0.00","5358.619","0.000"
"USEP","01 Oct 2018","4","106.93","0.00","5281.420","0.000"
"USEP","01 Oct 2018","5","106.81","0.00","5219.881","0.000"
"USEP","01 Oct 2018","6","106.15","0.00","5165.082","0.000"
"USEP","01 Oct 2018","7","106.15","0.00","5145.152","0.000"
"USEP","01 Oct 2018","8","108.25","0.00","5122.797","0.000"
"USEP","01 Oct 2018","9","106.08","0.00","5114.184","0.000"
"USEP","01 Oct 2018","10","106.80","0.00","5144.258","0.000"
"USEP","01 Oct 2018","11","106.09","0.00","5226.074","0.000"
"USEP","01 Oct 2018","12","108.33","0.00","5389.368","0.000"
"USEP","01 Oct 2018","13","115.11","0.00","5578.029","0.000"
"USEP","01 Oct 2018","14","117.15","0.00","5779.091","0.000"
"USEP","01 Oct 2018","15","108.24","0.00","5982.732","0.000"
"USEP","01 Oct 2018","16","117.88","0.00","6266.250","0.000"
"USEP","01 Oct 2018","17","138.30","0.00","6550.097","0.000"
"USEP","01 Oct 2018","18","298.97","0.00","6719.380","0.000"
"USEP","01 Oct 2018","19","346.44","0.00","6845.360","0.000"
"USEP","01 Oct 2018","20","398.76","0.00","6882.908","0.000"
"USEP","01 Oct 2018","21","467.40","0.00","6957.915","0.000"
"USEP","01 Oct 2018","22","649.68","102.99","6978.678","6.900"
"USEP","01 Oct 2018","23","659.26","0.00","6969.644","0.000"
"USEP","01 Oct 2018","24","558.34","0.00","6894.448","0.000"
"USEP","01 Oct 2018","25","439.90","0.00","6855.717","0.000"
"USEP","01 Oct 2018","26","509.40","0.00","6879.305","0.000"
"USEP","01 Oct 2018","27","741.36","0.00","6949.257","0.000"
"USEP","01 Oct 2018","28","901.97","0.00","6992.442","0.000"
"USEP","01 Oct 2018","29","901.99","0.00","6990.936","0.000"
"USEP","01 Oct 2018","30","901.88","0.00","6979.520","0.000"
"USEP","01 Oct 2018","31","741.22","0.00","6968.213","0.000"
"USEP","01 Oct 2018","32","740.48","0.00","6957.001","0.000"
"USEP","01 Oct 2018","33","820.77","0.00","6970.961","0.000"
"USEP","01 Oct 2018","34","673.33","0.00","6938.502","0.000"
"USEP","01 Oct 2018","35","439.94","0.00","6887.729","0.000"
"USEP","01 Oct 2018","36","320.32","0.00","6758.847","0.000"
"USEP","01 Oct 2018","37","170.30","0.00","6694.888","0.000"
"USEP","01 Oct 2018","38","139.58","0.00","6716.284","0.000"
"USEP","01 Oct 2018","39","146.72","0.00","6707.616","0.000"
"USEP","01 Oct 2018","40","140.29","0.00","6668.925","0.000"
"USEP","01 Oct 2018","41","151.66","0.00","6615.333","0.000"
"USEP","01 Oct 2018","42","172.77","0.00","6571.989","0.000"
"USEP","01 Oct 2018","43","300.10","0.00","6499.651","0.000"
"USEP","01 Oct 2018","44","168.78","0.00","6373.016","0.000"
"USEP","01 Oct 2018","45","134.89","0.00","6245.013","0.000"
"USEP","01 Oct 2018","46","136.44","0.00","6114.114","0.000"
"USEP","01 Oct 2018","47","167.90","0.00","5982.776","0.000"
"USEP","01 Oct 2018","48","128.13","0.00","5811.137","0.000"
"USEP","02 Oct 2018","1","127.35","0.00","5667.480","0.000"
"USEP","02 Oct 2018","2","121.12","0.00","5561.584","0.000"
"USEP","02 Oct 2018","3","121.08","0.00","5493.704","0.000"
"USEP","02 Oct 2018","4","117.72","0.00","5414.039","0.000"
"USEP","02 Oct 2018","5","117.72","0.00","5366.626","0.000"
"USEP","02 Oct 2018","6","116.02","0.00","5313.496","0.000"
"USEP","02 Oct 2018","7","112.28","0.00","5264.825","0.000"
"USEP","02 Oct 2018","8","115.68","0.00","5244.090","0.000"
"USEP","02 Oct 2018","9","116.03","0.00","5253.469","0.000"
"USEP","02 Oct 2018","10","116.38","0.00","5279.760","0.000"
"USEP","02 Oct 2018","11","118.72","0.00","5344.221","0.000"
"USEP","02 Oct 2018","12","121.05","0.00","5495.463","0.000"
"USEP","02 Oct 2018","13","121.09","0.00","5685.073","0.000"
"USEP","02 Oct 2018","14","121.22","0.00","5840.783","0.000"
"USEP","02 Oct 2018","15","123.01","0.00","6037.029","0.000"
"USEP","02 Oct 2018","16","128.35","0.00","6300.354","0.000"
"USEP","02 Oct 2018","17","151.26","0.00","6548.571","0.000"
"USEP","02 Oct 2018","18","309.71","0.00","6728.520","0.000"
"USEP","02 Oct 2018","19","345.31","0.00","6834.734","0.000"
"USEP","02 Oct 2018","20","579.73","0.00","6902.977","0.000"
"USEP","02 Oct 2018","21","740.78","0.00","6961.672","0.000"
"USEP","02 Oct 2018","22","902.00","0.00","6992.238","0.000"
"USEP","02 Oct 2018","23","741.38","0.00","6955.862","0.000"
"USEP","02 Oct 2018","24","504.49","0.00","6885.999","0.000"
"USEP","02 Oct 2018","25","393.75","0.00","6824.232","0.000"
"USEP","02 Oct 2018","26","485.32","0.00","6846.413","0.000"
"USEP","02 Oct 2018","27","541.53","0.00","6919.855","0.000"
