"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Sep 2015","1","76.96","5287.464"
"USEP","01 Sep 2015","2","73.35","5167.274"
"USEP","01 Sep 2015","3","66.39","5068.212"
"USEP","01 Sep 2015","4","67.56","5005.675"
"USEP","01 Sep 2015","5","65.93","4934.624"
"USEP","01 Sep 2015","6","73.33","4891.732"
"USEP","01 Sep 2015","7","68.89","4850.327"
"USEP","01 Sep 2015","8","67.50","4823.241"
"USEP","01 Sep 2015","9","66.29","4808.236"
"USEP","01 Sep 2015","10","59.26","4825.964"
"USEP","01 Sep 2015","11","53.88","4894.093"
"USEP","01 Sep 2015","12","66.37","5040.713"
"USEP","01 Sep 2015","13","67.55","5194.400"
"USEP","01 Sep 2015","14","66.37","5329.013"
"USEP","01 Sep 2015","15","53.32","5499.563"
"USEP","01 Sep 2015","16","56.36","5797.321"
"USEP","01 Sep 2015","17","59.41","6107.126"
"USEP","01 Sep 2015","18","60.69","6293.958"
"USEP","01 Sep 2015","19","60.69","6413.715"
"USEP","01 Sep 2015","20","64.31","6494.935"
"USEP","01 Sep 2015","21","66.08","6564.913"
"USEP","01 Sep 2015","22","66.14","6592.476"
"USEP","01 Sep 2015","23","66.13","6599.618"
"USEP","01 Sep 2015","24","64.31","6534.049"
"USEP","01 Sep 2015","25","64.27","6479.811"
"USEP","01 Sep 2015","26","66.19","6508.041"
"USEP","01 Sep 2015","27","70.70","6562.090"
"USEP","01 Sep 2015","28","77.09","6605.567"
"USEP","01 Sep 2015","29","77.09","6605.214"
"USEP","01 Sep 2015","30","85.16","6598.560"
"USEP","01 Sep 2015","31","85.16","6590.846"
"USEP","01 Sep 2015","32","72.54","6607.088"
"USEP","01 Sep 2015","33","66.48","6608.808"
"USEP","01 Sep 2015","34","66.10","6554.829"
"USEP","01 Sep 2015","35","64.30","6469.926"
"USEP","01 Sep 2015","36","60.69","6349.702"
"USEP","01 Sep 2015","37","59.42","6254.864"
"USEP","01 Sep 2015","38","60.70","6272.637"
"USEP","01 Sep 2015","39","64.84","6281.459"
"USEP","01 Sep 2015","40","66.06","6255.143"
"USEP","01 Sep 2015","41","66.48","6207.610"
"USEP","01 Sep 2015","42","60.91","6160.693"
"USEP","01 Sep 2015","43","63.34","6079.801"
"USEP","01 Sep 2015","44","60.83","5960.973"
"USEP","01 Sep 2015","45","57.62","5828.289"
"USEP","01 Sep 2015","46","55.91","5707.473"
"USEP","01 Sep 2015","47","53.78","5575.217"
"USEP","01 Sep 2015","48","52.11","5427.841"
"USEP","02 Sep 2015","1","66.33","5294.954"
"USEP","02 Sep 2015","2","56.29","5180.842"
"USEP","02 Sep 2015","3","52.68","5058.869"
"USEP","02 Sep 2015","4","51.65","4993.240"
"USEP","02 Sep 2015","5","51.22","4939.932"
"USEP","02 Sep 2015","6","50.74","4882.120"
"USEP","02 Sep 2015","7","50.24","4840.452"
"USEP","02 Sep 2015","8","49.59","4814.031"
"USEP","02 Sep 2015","9","49.59","4794.430"
"USEP","02 Sep 2015","10","49.59","4811.084"
"USEP","02 Sep 2015","11","50.72","4871.475"
"USEP","02 Sep 2015","12","51.62","5008.234"
"USEP","02 Sep 2015","13","53.16","5174.684"
"USEP","02 Sep 2015","14","53.78","5302.418"
"USEP","02 Sep 2015","15","51.36","5473.416"
"USEP","02 Sep 2015","16","53.37","5757.715"
"USEP","02 Sep 2015","17","57.72","6050.026"
"USEP","02 Sep 2015","18","66.14","6233.702"
"USEP","02 Sep 2015","19","73.54","6355.944"
"USEP","02 Sep 2015","20","77.10","6431.503"
"USEP","02 Sep 2015","21","89.19","6505.223"
"USEP","02 Sep 2015","22","89.19","6544.655"
"USEP","02 Sep 2015","23","86.60","6535.436"
"USEP","02 Sep 2015","24","85.17","6475.592"
"USEP","02 Sep 2015","25","76.81","6438.044"
"USEP","02 Sep 2015","26","78.86","6456.447"
"USEP","02 Sep 2015","27","89.19","6528.458"
"USEP","02 Sep 2015","28","93.22","6560.644"
"USEP","02 Sep 2015","29","89.87","6559.302"
"USEP","02 Sep 2015","30","89.19","6540.580"
"USEP","02 Sep 2015","31","73.58","6538.403"
"USEP","02 Sep 2015","32","70.02","6547.056"
"USEP","02 Sep 2015","33","77.84","6546.737"
"USEP","02 Sep 2015","34","85.57","6514.174"
"USEP","02 Sep 2015","35","66.34","6442.258"
"USEP","02 Sep 2015","36","55.88","6303.088"
"USEP","02 Sep 2015","37","56.21","6208.116"
"USEP","02 Sep 2015","38","56.40","6223.747"
"USEP","02 Sep 2015","39","57.71","6234.025"
"USEP","02 Sep 2015","40","57.71","6191.049"
"USEP","02 Sep 2015","41","56.77","6146.334"
"USEP","02 Sep 2015","42","56.40","6101.932"
"USEP","02 Sep 2015","43","56.40","6031.920"
"USEP","02 Sep 2015","44","55.94","5912.739"
"USEP","02 Sep 2015","45","53.82","5778.674"
"USEP","02 Sep 2015","46","53.38","5644.225"
"USEP","02 Sep 2015","47","52.77","5513.927"
"USEP","02 Sep 2015","48","51.34","5359.181"
"USEP","03 Sep 2015","1","53.18","5210.270"
"USEP","03 Sep 2015","2","51.67","5103.827"
"USEP","03 Sep 2015","3","50.74","5036.051"
"USEP","03 Sep 2015","4","48.24","4970.900"
"USEP","03 Sep 2015","5","47.25","4914.893"
"USEP","03 Sep 2015","6","48.23","4861.669"
"USEP","03 Sep 2015","7","47.27","4828.753"
"USEP","03 Sep 2015","8","47.23","4804.007"
"USEP","03 Sep 2015","9","47.23","4794.922"
"USEP","03 Sep 2015","10","47.23","4812.242"
