"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Sep 2018","1","97.95","0.00","5516.442","0.000"
"USEP","01 Sep 2018","2","92.67","0.00","5410.561","0.000"
"USEP","01 Sep 2018","3","92.10","0.00","5280.854","0.000"
"USEP","01 Sep 2018","4","96.85","0.00","5197.666","0.000"
"USEP","01 Sep 2018","5","94.85","0.00","5130.163","0.000"
"USEP","01 Sep 2018","6","91.27","0.00","5066.259","0.000"
"USEP","01 Sep 2018","7","89.11","0.00","5023.199","0.000"
"USEP","01 Sep 2018","8","86.44","0.00","4986.058","0.000"
"USEP","01 Sep 2018","9","86.43","0.00","4959.921","0.000"
"USEP","01 Sep 2018","10","86.05","0.00","4961.680","0.000"
"USEP","01 Sep 2018","11","86.63","0.00","5008.150","0.000"
"USEP","01 Sep 2018","12","88.72","0.00","5068.456","0.000"
"USEP","01 Sep 2018","13","91.07","0.00","5143.468","0.000"
"USEP","01 Sep 2018","14","91.29","0.00","5198.570","0.000"
"USEP","01 Sep 2018","15","90.80","0.00","5280.595","0.000"
"USEP","01 Sep 2018","16","91.12","0.00","5461.811","0.000"
"USEP","01 Sep 2018","17","99.31","0.00","5677.022","0.000"
"USEP","01 Sep 2018","18","101.52","0.00","5845.928","0.000"
"USEP","01 Sep 2018","19","106.14","0.00","5957.022","0.000"
"USEP","01 Sep 2018","20","112.75","0.00","6057.406","0.000"
"USEP","01 Sep 2018","21","122.82","0.00","6141.255","0.000"
"USEP","01 Sep 2018","22","122.83","0.00","6173.391","0.000"
"USEP","01 Sep 2018","23","124.73","0.00","6173.123","0.000"
"USEP","01 Sep 2018","24","118.56","0.00","6144.023","0.000"
"USEP","01 Sep 2018","25","113.38","0.00","6090.511","0.000"
"USEP","01 Sep 2018","26","111.46","0.00","6049.683","0.000"
"USEP","01 Sep 2018","27","111.18","0.00","6036.582","0.000"
"USEP","01 Sep 2018","28","109.93","0.00","6015.927","0.000"
"USEP","01 Sep 2018","29","108.37","0.00","6001.270","0.000"
"USEP","01 Sep 2018","30","106.52","0.00","5984.133","0.000"
"USEP","01 Sep 2018","31","105.78","0.00","5976.147","0.000"
"USEP","01 Sep 2018","32","105.80","0.00","5977.668","0.000"
"USEP","01 Sep 2018","33","105.76","0.00","5948.071","0.000"
"USEP","01 Sep 2018","34","105.24","0.00","5917.908","0.000"
"USEP","01 Sep 2018","35","101.53","0.00","5860.271","0.000"
"USEP","01 Sep 2018","36","100.43","0.00","5815.258","0.000"
"USEP","01 Sep 2018","37","101.55","0.00","5841.872","0.000"
"USEP","01 Sep 2018","38","105.77","0.00","5922.953","0.000"
"USEP","01 Sep 2018","39","108.39","0.00","5973.259","0.000"
"USEP","01 Sep 2018","40","107.67","0.00","5966.192","0.000"
"USEP","01 Sep 2018","41","109.92","0.00","5985.957","0.000"
"USEP","01 Sep 2018","42","108.39","0.00","5989.774","0.000"
"USEP","01 Sep 2018","43","107.65","0.00","5976.360","0.000"
"USEP","01 Sep 2018","44","102.12","0.00","5894.833","0.000"
"USEP","01 Sep 2018","45","95.87","0.00","5805.750","0.000"
"USEP","01 Sep 2018","46","93.35","0.00","5732.960","0.000"
"USEP","01 Sep 2018","47","91.86","0.00","5635.389","0.000"
"USEP","01 Sep 2018","48","95.69","0.00","5572.757","0.000"
"USEP","02 Sep 2018","1","97.96","0.00","5498.545","0.000"
"USEP","02 Sep 2018","2","95.73","0.00","5388.126","0.000"
"USEP","02 Sep 2018","3","92.79","0.00","5216.641","0.000"
"USEP","02 Sep 2018","4","95.80","0.00","5152.329","0.000"
"USEP","02 Sep 2018","5","95.54","0.00","5092.327","0.000"
"USEP","02 Sep 2018","6","94.66","0.00","5043.168","0.000"
"USEP","02 Sep 2018","7","91.62","0.00","5001.569","0.000"
"USEP","02 Sep 2018","8","89.12","0.00","4972.763","0.000"
"USEP","02 Sep 2018","9","88.61","0.00","4939.211","0.000"
"USEP","02 Sep 2018","10","86.62","0.00","4935.623","0.000"
"USEP","02 Sep 2018","11","88.60","0.00","4952.053","0.000"
"USEP","02 Sep 2018","12","88.71","0.00","4987.340","0.000"
"USEP","02 Sep 2018","13","88.72","0.00","5026.797","0.000"
"USEP","02 Sep 2018","14","88.62","0.00","5058.595","0.000"
"USEP","02 Sep 2018","15","88.73","0.00","5076.532","0.000"
"USEP","02 Sep 2018","16","88.64","0.00","5180.708","0.000"
"USEP","02 Sep 2018","17","90.78","0.00","5295.525","0.000"
"USEP","02 Sep 2018","18","95.42","0.00","5421.843","0.000"
"USEP","02 Sep 2018","19","95.25","0.00","5515.959","0.000"
"USEP","02 Sep 2018","20","96.47","0.00","5626.383","0.000"
"USEP","02 Sep 2018","21","100.43","0.00","5689.353","0.000"
"USEP","02 Sep 2018","22","95.59","0.00","5721.663","0.000"
"USEP","02 Sep 2018","23","93.43","0.00","5699.154","0.000"
"USEP","02 Sep 2018","24","93.24","0.00","5674.532","0.000"
"USEP","02 Sep 2018","25","92.18","0.00","5638.858","0.000"
"USEP","02 Sep 2018","26","91.83","0.00","5631.278","0.000"
"USEP","02 Sep 2018","27","92.13","0.00","5639.752","0.000"
"USEP","02 Sep 2018","28","92.17","0.00","5640.895","0.000"
"USEP","02 Sep 2018","29","92.87","0.00","5648.743","0.000"
"USEP","02 Sep 2018","30","91.82","0.00","5639.071","0.000"
"USEP","02 Sep 2018","31","91.81","0.00","5631.696","0.000"
"USEP","02 Sep 2018","32","91.81","0.00","5623.639","0.000"
"USEP","02 Sep 2018","33","91.31","0.00","5613.675","0.000"
"USEP","02 Sep 2018","34","91.83","0.00","5619.157","0.000"
"USEP","02 Sep 2018","35","91.82","0.00","5615.553","0.000"
"USEP","02 Sep 2018","36","91.32","0.00","5610.325","0.000"
"USEP","02 Sep 2018","37","91.82","0.00","5646.193","0.000"
"USEP","02 Sep 2018","38","93.42","0.00","5758.948","0.000"
"USEP","02 Sep 2018","39","98.77","0.00","5839.183","0.000"
"USEP","02 Sep 2018","40","103.14","0.00","5875.554","0.000"
"USEP","02 Sep 2018","41","103.24","0.00","5902.849","0.000"
"USEP","02 Sep 2018","42","111.67","0.00","5962.355","0.000"
"USEP","02 Sep 2018","43","112.75","0.00","5950.969","0.000"
"USEP","02 Sep 2018","44","103.13","0.00","5865.440","0.000"
"USEP","02 Sep 2018","45","93.43","0.00","5727.483","0.000"
"USEP","02 Sep 2018","46","93.40","0.00","5643.952","0.000"
"USEP","02 Sep 2018","47","95.74","0.00","5517.068","0.000"
"USEP","02 Sep 2018","48","93.70","0.00","5392.778","0.000"
"USEP","03 Sep 2018","1","90.79","0.00","5261.888","0.000"
"USEP","03 Sep 2018","2","89.13","0.00","5153.125","0.000"
"USEP","03 Sep 2018","3","89.12","0.00","5078.306","0.000"
"USEP","03 Sep 2018","4","89.22","0.00","4998.120","0.000"
"USEP","03 Sep 2018","5","88.60","0.00","4953.748","0.000"
"USEP","03 Sep 2018","6","87.28","0.00","4899.471","0.000"
"USEP","03 Sep 2018","7","86.58","0.00","4878.865","0.000"
"USEP","03 Sep 2018","8","86.04","0.00","4856.172","0.000"
"USEP","03 Sep 2018","9","85.59","0.00","4848.662","0.000"
"USEP","03 Sep 2018","10","85.59","0.00","4867.369","0.000"
"USEP","03 Sep 2018","11","86.53","0.00","4942.585","0.000"
"USEP","03 Sep 2018","12","88.65","0.00","5092.660","0.000"
"USEP","03 Sep 2018","13","91.82","0.00","5285.242","0.000"
"USEP","03 Sep 2018","14","90.83","0.00","5465.971","0.000"
"USEP","03 Sep 2018","15","91.10","0.00","5647.302","0.000"
"USEP","03 Sep 2018","16","93.89","0.00","5913.395","0.000"
"USEP","03 Sep 2018","17","104.32","0.00","6231.361","0.000"
"USEP","03 Sep 2018","18","104.33","0.00","6423.531","0.000"
"USEP","03 Sep 2018","19","102.35","0.00","6524.099","0.000"
"USEP","03 Sep 2018","20","104.36","0.00","6584.271","0.000"
"USEP","03 Sep 2018","21","108.13","0.00","6634.831","0.000"
"USEP","03 Sep 2018","22","109.54","0.00","6652.603","0.000"
"USEP","03 Sep 2018","23","109.55","0.00","6661.465","0.000"
"USEP","03 Sep 2018","24","104.91","0.00","6630.348","0.000"
"USEP","03 Sep 2018","25","104.38","0.00","6586.627","0.000"
"USEP","03 Sep 2018","26","104.92","0.00","6589.738","0.000"
"USEP","03 Sep 2018","27","108.81","0.00","6641.709","0.000"
"USEP","03 Sep 2018","28","108.81","0.00","6660.724","0.000"
"USEP","03 Sep 2018","29","109.22","0.00","6666.440","0.000"
